F	mu_RL	dmu_RL	x0_RL	mu_IT	dmu_IT	x0_IT	
-3.3	0.4014673954784599	0.1099952951198441	0.146658709475714	0.4913307939810068	0.1808219975260152	0.7131150498130685
-3	0.6690871701298099	0.2329578333512314	0.2900974950691154	0.904325455830682	0.3200375243332764	0.625353625644834
-2.7	0.6408642910548257	0.1591310155975988	0.1942551652870742	0.7613153831203893	0.2505986079664286	0.6978705355187038
-2.4	0.5581538162196509	0.1817199538058018	0.2324970688785516	0.990709687687692	0.3188477348702948	0.5900729270680765
-2.1	0.6588962007612502	0.1273981701704289	0.269619222505553	0.9028529242992055	0.2762168404985654	0.6814512216433084
-1.8	0.6247384445842258	0.1199072374306986	0.2607589494602864	0.8415238506486495	0.292103842214762	0.6400670050930626
-1.5	0.6446146183212487	0.1085733635393705	0.2694962821262675	1.119812457887493	0.3345776967172198	0.5377864311816729
-1.2	0.6851715783856543	0.1331509848340298	0.2636372417461422	0.6872235412411001	0.1696512932980286	0.7234738668575156
-0.8999999999999999	0.6591527133898117	0.08016759396407257	0.3194772943697153	0.8204290104438656	0.1762170477625899	0.6962953109242486
-0.6	0.6744254550889269	0.2160013871201819	0.3422441695562004	0.5582455822239994	0.3262494154997734	0.7481168938557612
0.6	0.4458028332293372	0.1234925769741797	0.4119969576408649	1.169410489283394	0.4678229767359274	0.6779152714114376
0.8999999999999999	0.6109546065375913	0.100453257903501	0.3140906247030225	1.324778328418986	0.2933217311445421	0.6051526500682551
1.2	0.7065701889185114	0.1446577426721297	0.2744193666398334	1.755668327410801	0.4451481253635018	0.5554620469805408
1.5	0.6927110413853512	0.1215853392306572	0.1735702450193401	1.540870980297993	0.4113498977687597	0.578157096588987
1.8	0.6033302948927	0.09244192066333852	0.1634333101034346	1.323788693734304	0.3209108937070229	0.5962538905942469
2.1	0.6963403738916837	0.1305608252074126	0.1661940066241707	1.710000844004309	0.3590085022974774	0.4983544634826076
2.4	0.5440234168916177	0.1062028150432613	0.1756275291556799	1.24983911987947	0.2862436998456817	0.7404343676471883
2.7	0.560394801682935	0.12190173010247	0.1203461060088031	1.498504687188032	0.3970770821313707	0.6014014127739706
3	0.4280001487066418	0.1021930326454066	0.09711729010044441	1.343869266644799	0.3363356976760028	0.6810761421459339
3.3	0.3041500206130482	0.1012896736620825	0.07882575168285146	0.9142316546708348	0.2960465425822139	0.6194743823245051
