centers	rel_counts	
0.025	0.002252252252252252
0.07500000000000001	0.01576576576576576
0.125	0.01126126126126126
0.175	0.03603603603603604
0.225	0.07432432432432433
0.275	0.1036036036036036
0.3250000000000001	0.1103603603603604
0.3750000000000001	0.1036036036036036
0.425	0.1283783783783784
0.475	0.0990990990990991
0.525	0.0990990990990991
0.5750000000000001	0.07432432432432433
0.6250000000000001	0.04279279279279279
0.675	0.0518018018018018
0.7250000000000001	0.01801801801801802
0.775	0.01576576576576576
0.8250000000000001	0.006756756756756757
0.8750000000000001	0.002252252252252252
0.925	0.002252252252252252
0.9750000000000001	0
1.025	0.002252252252252252
1.075	0
1.125	0
1.175	0
1.225	0
1.275	0
1.325	0
1.375	0
1.425	0
1.475	0
1.525	0
1.575	0
1.625	0
1.675	0
1.725	0
1.775	0
1.825	0
1.875	0
1.925	0
1.975	0
