 	slice	peaks
1	1	11324
2	2	11420
3	3	11376
4	4	11371
5	5	11340
6	6	11320
7	7	11293
8	8	11258
9	9	11191
10	10	11153
11	11	11128
12	12	11102
13	13	11088
14	14	11050
15	15	11019
16	16	10995
17	17	10995
18	18	10945
19	19	10924
20	20	10904
21	21	10880
22	22	10853
23	23	10812
24	24	10793
25	25	10776
26	26	10762
27	27	10737
28	28	10714
29	29	10685
30	30	10658
31	31	10643
32	32	10619
33	33	10606
34	34	10590
35	35	10542
36	36	10537
37	37	10511
38	38	10487
39	39	10485
40	40	10464
41	41	10419
42	42	10407
43	43	10381
44	44	10366
45	45	10355
46	46	10345
47	47	10322
48	48	10297
49	49	10272
50	50	10266
51	51	10258
52	52	10225
53	53	10228
54	54	10197
55	55	10184
56	56	10164
57	57	10151
58	58	10125
59	59	10101
60	60	10103
61	61	10085
62	62	10056
63	63	10041
64	64	10011
65	65	10011
66	66	9982
67	67	9972
68	68	9945
69	69	9937
70	70	9915
71	71	9900
72	72	9879
73	73	9868
74	74	9846
75	75	9842
76	76	9822
77	77	9793
78	78	9796
79	79	9779
80	80	9768
81	81	9841
82	82	9823
83	83	9804
84	84	9794
85	85	9777
86	86	9759
87	87	9750
88	88	9746
89	89	9728
90	90	9720
91	91	9698
92	92	9684
93	93	9678
94	94	9658
95	95	9643
96	96	9624
97	97	9608
98	98	9599
99	99	9583
100	100	9560
101	101	9543
102	102	9533
103	103	9527
104	104	9498
105	105	9481
106	106	9478
107	107	9463
108	108	9454
109	109	9432
110	110	9425
111	111	9405
112	112	9375
113	113	9360
114	114	9346
115	115	9337
116	116	9326
117	117	9318
118	118	9297
119	119	9291
120	120	9275
121	121	9259
122	122	9241
123	123	9219
124	124	9216
125	125	9207
126	126	9187
127	127	9182
128	128	9159
129	129	9140
130	130	9134
131	131	9120
132	132	9114
133	133	9110
134	134	9092
135	135	9079
136	136	9067
137	137	9060
138	138	9054
139	139	9041
140	140	9034
141	141	9026
142	142	9014
143	143	9004
144	144	8997
145	145	8984
146	146	8988
147	147	8975
148	148	8965
149	149	8955
150	150	8933
151	151	8925
152	152	8917
153	153	8895
154	154	8890
155	155	8884
156	156	8866
157	157	8857
158	158	8852
159	159	8837
160	160	8826
161	161	8817
162	162	8799
163	163	8797
164	164	8795
165	165	8779
166	166	8765
167	167	8757
168	168	8745
169	169	8731
170	170	8723
171	171	8711
172	172	8711
173	173	8702
174	174	8690
175	175	8679
176	176	8680
177	177	8658
178	178	8659
179	179	8649
180	180	8645
181	181	8631
182	182	8640
183	183	8630
184	184	8614
185	185	8619
186	186	8607
187	187	8597
188	188	8585
189	189	8567
190	190	8573
191	191	8555
192	192	8552
193	193	8543
194	194	8546
195	195	8545
196	196	8532
197	197	8517
198	198	8514
199	199	8509
200	200	8500
201	201	8483
202	202	8480
203	203	8472
204	204	8461
205	205	8464
206	206	8455
207	207	8438
208	208	8435
209	209	8421
210	210	8414
211	211	8408
212	212	8403
213	213	8391
214	214	8384
215	215	8378
216	216	8373
217	217	8372
218	218	8364
219	219	8359
220	220	8348
221	221	8338
222	222	8329
223	223	8334
224	224	8322
225	225	8315
226	226	8310
227	227	8298
228	228	8289
229	229	8280
230	230	8280
231	231	8318
232	232	8317
233	233	8305
234	234	8302
235	235	8297
236	236	8296
237	237	8296
238	238	8287
239	239	8278
240	240	8277
241	241	8269
242	242	8259
243	243	8263
244	244	8250
245	245	8242
246	246	8241
247	247	8231
248	248	8222
249	249	8213
250	250	8211
251	251	8212
252	252	8199
253	253	8195
254	254	8189
255	255	8188
256	256	8187
257	257	8177
258	258	8172
259	259	8162
260	260	8166
261	261	8149
262	262	8153
263	263	8142
264	264	8137
265	265	8134
266	266	8124
267	267	8120
268	268	8111
269	269	8101
270	270	8096
271	271	8081
272	272	8084
273	273	8075
274	274	8067
275	275	8065
276	276	8064
277	277	8063
278	278	8058
279	279	8044
280	280	8032
281	281	8037
282	282	8027
283	283	8022
284	284	8022
285	285	8008
286	286	8011
