 	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory
1	19.322	28.865	1883.821	59.200	1	1	200	0
2	19.097	29.184	1883.813	59.202	1	1	201	0
3	19.219	28.547	1883.823	59.156	1	1	202	0
4	19.262	29.166	1883.837	59.029	1	1	203	0
5	19.148	28.790	1883.809	59.229	1	1	204	0
6	19.330	28.643	1883.808	59.301	1	1	205	0
7	19.128	30.057	1883.834	59.134	1	1	206	0
8	19.134	28.739	1883.804	59.306	1	1	207	0
9	19.024	28.814	1883.813	59.457	1	1	208	0
10	19.440	28.108	1883.856	59.403	1	1	209	0
11	19.226	28.499	1883.806	59.212	1	1	210	0
12	19.361	28.876	1883.801	59.277	1	1	211	0
13	19.320	29.368	1883.826	59.446	1	1	212	0
14	19.394	29.415	1883.824	59.288	1	1	213	0
15	19.421	29.041	1883.840	59.118	1	1	214	0
16	19.386	29.002	1883.846	59.243	1	1	215	0
17	19.394	29.261	1883.822	59.335	1	1	216	0
18	19.407	29.326	1883.860	59.485	1	1	217	0
19	19.316	28.600	1883.870	59.428	1	1	218	0
20	19.305	28.859	1883.839	59.597	1	1	219	0
21	19.175	28.444	1883.884	59.620	1	1	220	0
22	19.342	28.556	1883.815	59.410	1	1	221	0
23	19.349	28.972	1883.871	59.341	1	1	222	0
24	19.479	27.492	1883.844	59.468	1	1	223	0
25	19.305	28.675	1883.857	59.284	1	1	224	0
26	19.252	29.884	1883.863	59.212	1	1	225	0
27	19.279	29.196	1883.881	59.186	1	1	226	0
28	19.423	29.033	1883.851	59.363	1	1	227	0
29	19.543	28.432	1883.871	59.554	1	1	228	0
30	19.412	28.483	1883.850	59.308	1	1	229	0
31	19.350	29.446	1883.844	59.369	1	1	230	0
32	19.223	28.847	1883.827	59.379	1	1	231	0
33	19.181	27.742	1883.804	59.442	1	1	232	0
34	19.362	28.082	1883.847	59.388	1	1	233	0
35	19.192	29.089	1883.812	59.404	1	1	234	0
36	19.237	28.577	1883.854	59.422	1	1	235	0
37	19.236	29.067	1883.816	59.394	1	1	236	0
38	19.086	28.645	1883.827	59.437	1	1	237	0
39	19.051	29.241	1883.820	59.523	1	1	238	0
40	19.040	28.051	1883.808	59.430	1	1	239	0
41	19.148	28.800	1883.796	59.406	1	1	240	0
42	19.283	29.018	1883.798	59.447	1	1	241	0
43	19.022	28.983	1883.819	59.447	1	1	242	0
44	19.037	28.397	1883.826	59.498	1	1	243	0
45	19.128	28.313	1883.796	59.405	1	1	244	0
46	19.061	29.002	1883.790	59.459	1	1	245	0
47	19.178	29.521	1883.798	59.478	1	1	246	0
48	19.113	29.071	1883.806	59.413	1	1	247	0
49	19.248	28.337	1883.828	59.424	1	1	248	0
50	19.153	28.602	1883.793	59.434	1	1	249	0
51	19.071	28.921	1883.803	59.427	1	1	250	0
52	19.134	29.068	1883.798	59.408	1	1	251	0
53	18.970	29.551	1883.797	59.457	1	1	252	0
54	19.101	27.891	1883.842	59.439	1	1	253	0
55	18.983	29.605	1883.780	59.436	1	1	254	0
56	19.025	28.799	1883.800	59.436	1	1	255	0
57	19.020	29.000	1883.815	59.467	1	1	256	0
58	19.088	29.269	1883.798	59.492	1	1	257	0
59	19.264	28.693	1883.793	59.451	1	1	258	0
60	19.112	28.601	1883.798	59.456	1	1	259	0
61	19.311	28.166	1883.756	59.452	1	1	260	0
62	19.108	28.796	1883.773	59.486	1	1	261	0
63	19.157	28.253	1883.798	59.462	1	1	262	0
64	18.897	29.164	1883.808	59.444	1	1	263	0
65	19.148	29.278	1883.768	59.471	1	1	264	0
66	19.012	29.863	1883.808	59.474	1	1	265	0
67	19.155	29.227	1883.776	59.474	1	1	266	0
68	19.155	29.704	1883.758	59.484	1	1	267	0
69	19.022	29.468	1883.781	59.477	1	1	268	0
70	19.267	28.831	1883.796	59.491	1	1	269	0
71	19.149	28.850	1883.774	59.498	1	1	270	0
72	19.213	28.931	1883.774	59.494	1	1	271	0
73	19.025	28.489	1883.786	59.473	1	1	272	0
74	19.190	29.110	1883.759	59.490	1	1	273	0
75	19.249	28.338	1883.752	59.493	1	1	274	0
76	19.114	29.063	1883.754	59.438	1	1	275	0
77	19.130	28.467	1883.739	59.464	1	1	276	0
78	18.891	29.368	1883.763	59.429	1	1	277	0
79	19.223	28.373	1883.796	59.453	1	1	278	0
80	18.984	28.489	1883.792	59.444	1	1	279	0
81	19.024	28.491	1883.736	59.433	1	1	280	0
82	19.114	28.590	1883.787	59.448	1	1	281	0
83	19.141	28.538	1883.775	59.430	1	1	282	0
84	19.148	28.958	1883.801	59.468	1	1	283	0
85	19.220	28.078	1883.820	59.493	1	1	284	0
86	19.109	28.471	1883.808	59.486	1	1	285	0
87	19.046	28.800	1883.835	59.515	1	1	286	0
88	19.173	29.246	1883.789	59.470	1	1	287	0
89	19.290	28.810	1883.763	59.449	1	1	288	0
90	18.954	29.515	1883.795	59.459	1	1	289	0
91	19.291	27.523	1883.789	59.470	1	1	290	0
92	19.175	27.793	1883.797	59.489	1	1	291	0
93	19.068	28.946	1883.827	59.460	1	1	292	0
94	18.983	28.975	1883.810	59.476	1	1	293	0
95	19.234	27.651	1883.746	59.464	1	1	294	0
96	18.969	29.082	1883.796	59.458	1	1	295	0
97	18.977	28.225	1883.800	59.450	1	1	296	0
98	19.219	28.726	1883.786	59.440	1	1	297	0
99	19.193	28.605	1883.854	59.468	1	1	298	0
100	19.054	28.257	1883.819	59.482	1	1	299	0
101	18.777	28.667	1883.815	59.447	1	1	300	0
102	19.027	28.628	1883.812	59.476	1	1	301	0
103	19.173	27.973	1883.829	59.492	1	1	302	0
104	19.067	28.804	1883.801	59.522	1	1	303	0
105	19.093	29.392	1883.825	59.506	1	1	304	0
106	19.222	28.865	1883.792	59.531	1	1	305	0
107	19.362	28.724	1883.837	59.533	1	1	306	0
108	19.031	28.607	1883.848	59.567	1	1	307	0
109	19.179	28.404	1883.842	59.511	1	1	308	0
110	19.108	29.112	1883.775	59.489	1	1	309	0
111	18.967	29.583	1883.782	59.517	1	1	310	0
112	19.188	29.131	1883.749	59.506	1	1	311	0
113	19.044	29.457	1883.788	59.489	1	1	312	0
114	19.180	29.198	1883.800	59.532	1	1	313	0
115	19.175	28.433	1883.813	59.519	1	1	314	0
116	19.132	28.931	1883.806	59.496	1	1	315	0
117	19.286	27.723	1883.847	59.508	1	1	316	0
118	19.166	28.504	1883.796	59.506	1	1	317	0
119	19.277	27.320	1883.811	59.488	1	1	318	0
120	19.161	28.225	1883.814	59.496	1	1	319	0
121	19.022	28.671	1883.789	59.496	1	1	320	0
122	19.290	27.855	1883.803	59.489	1	1	321	0
123	19.130	29.583	1883.783	59.480	1	1	322	0
124	19.118	28.402	1883.787	59.490	1	1	323	0
125	19.158	28.564	1883.789	59.506	1	1	324	0
126	18.912	28.730	1883.761	59.466	1	1	325	0
127	18.995	29.037	1883.805	59.450	1	1	326	0
128	19.179	28.553	1883.809	59.447	1	1	327	0
