 	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory
1	20.054	26.014	2565.870	49.150	1	1	200	0
2	19.875	26.459	2565.845	49.116	1	1	201	0
3	19.752	26.457	2565.853	49.135	1	1	202	0
4	19.918	26.118	2565.870	49.025	1	1	203	0
5	19.830	26.329	2565.824	49.146	1	1	204	0
6	19.938	26.763	2565.836	49.247	1	1	205	0
7	19.911	26.491	2565.843	49.100	1	1	206	0
8	19.955	24.559	2565.816	49.274	1	1	207	0
9	20.042	24.526	2565.887	49.431	1	1	208	0
10	19.833	26.314	2565.835	49.320	1	1	209	0
11	20.003	26.255	2565.897	49.167	1	1	210	0
12	20.040	25.970	2565.866	49.226	1	1	211	0
13	20.089	25.592	2565.855	49.395	1	1	212	0
14	19.930	26.507	2565.869	49.235	1	1	213	0
15	19.996	26.149	2565.846	49.054	1	1	214	0
16	19.930	26.186	2565.862	49.210	1	1	215	0
17	20.059	25.658	2565.899	49.302	1	1	216	0
18	20.045	24.818	2565.863	49.398	1	1	217	0
19	20.032	25.718	2565.858	49.422	1	1	218	0
20	20.114	25.410	2565.899	49.618	1	1	219	0
21	19.935	25.220	2565.886	49.648	1	1	220	0
22	19.970	25.567	2565.888	49.417	1	1	221	0
23	20.052	25.555	2565.899	49.360	1	1	222	0
24	20.292	25.125	2565.886	49.413	1	1	223	0
25	20.083	25.315	2565.908	49.256	1	1	224	0
26	20.025	26.084	2565.873	49.197	1	1	225	0
27	20.115	25.541	2565.897	49.165	1	1	226	0
28	19.982	24.673	2565.891	49.366	1	1	227	0
29	20.169	24.657	2565.923	49.510	1	1	228	0
30	20.180	25.992	2565.873	49.279	1	1	229	0
31	19.894	25.036	2565.911	49.344	1	1	230	0
32	20.107	25.768	2565.896	49.409	1	1	231	0
33	19.947	25.424	2565.878	49.410	1	1	232	0
34	20.131	25.263	2565.862	49.362	1	1	233	0
35	19.883	25.290	2565.892	49.388	1	1	234	0
36	20.006	24.803	2565.880	49.396	1	1	235	0
37	20.031	24.607	2565.869	49.410	1	1	236	0
38	19.965	25.284	2565.842	49.385	1	1	237	0
39	19.800	25.140	2565.860	49.421	1	1	238	0
40	19.870	25.389	2565.869	49.430	1	1	239	0
41	19.855	26.306	2565.839	49.429	1	1	240	0
42	20.024	24.827	2565.844	49.426	1	1	241	0
43	19.902	26.259	2565.856	49.439	1	1	242	0
44	19.636	26.261	2565.826	49.421	1	1	243	0
45	19.886	26.062	2565.844	49.405	1	1	244	0
46	20.222	24.237	2565.837	49.416	1	1	245	0
47	20.038	25.353	2565.813	49.428	1	1	246	0
48	19.847	25.886	2565.819	49.429	1	1	247	0
49	19.719	24.974	2565.853	49.422	1	1	248	0
50	19.752	25.513	2565.823	49.384	1	1	249	0
51	19.846	26.057	2565.800	49.411	1	1	250	0
52	19.863	25.126	2565.830	49.371	1	1	251	0
53	19.772	26.150	2565.826	49.397	1	1	252	0
54	19.534	24.827	2565.762	49.342	1	1	253	0
55	19.841	24.823	2565.842	49.441	1	1	254	0
56	19.619	26.235	2565.818	49.358	1	1	255	0
57	19.990	25.249	2565.836	49.407	1	1	256	0
58	19.817	26.284	2565.805	49.432	1	1	257	0
59	19.899	26.123	2565.813	49.436	1	1	258	0
60	19.866	26.058	2565.804	49.340	1	1	259	0
61	19.678	26.257	2565.838	49.454	1	1	260	0
62	20.064	24.828	2565.836	49.376	1	1	261	0
63	19.823	25.278	2565.806	49.434	1	1	262	0
64	19.977	25.826	2565.841	49.419	1	1	263	0
65	19.775	26.291	2565.809	49.399	1	1	264	0
66	19.909	25.082	2565.844	49.418	1	1	265	0
67	19.992	25.710	2565.841	49.428	1	1	266	0
68	19.878	24.851	2565.813	49.421	1	1	267	0
69	19.995	25.691	2565.816	49.390	1	1	268	0
70	19.836	25.820	2565.816	49.468	1	1	269	0
71	20.108	24.809	2565.828	49.468	1	1	270	0
72	19.952	25.867	2565.777	49.443	1	1	271	0
73	19.809	24.911	2565.841	49.430	1	1	272	0
74	19.891	26.185	2565.805	49.476	1	1	273	0
75	19.810	25.381	2565.759	49.431	1	1	274	0
76	19.881	25.304	2565.803	49.392	1	1	275	0
77	19.572	26.606	2565.752	49.443	1	1	276	0
78	19.811	25.221	2565.787	49.475	1	1	277	0
79	19.854	25.200	2565.788	49.437	1	1	278	0
80	19.530	25.653	2565.804	49.421	1	1	279	0
81	19.885	25.756	2565.801	49.422	1	1	280	0
82	19.763	25.913	2565.813	49.459	1	1	281	0
83	20.000	25.174	2565.802	49.414	1	1	282	0
84	20.128	25.289	2565.837	49.428	1	1	283	0
85	19.642	24.786	2565.788	49.446	1	1	284	0
86	19.768	24.756	2565.821	49.435	1	1	285	0
87	19.965	25.926	2565.818	49.433	1	1	286	0
88	20.028	24.637	2565.844	49.476	1	1	287	0
89	19.963	24.827	2565.801	49.423	1	1	288	0
90	19.848	24.928	2565.820	49.464	1	1	289	0
91	19.800	23.704	2565.818	49.427	1	1	290	0
92	20.142	24.222	2565.817	49.422	1	1	291	0
93	19.905	24.962	2565.822	49.452	1	1	292	0
94	19.818	25.636	2565.783	49.436	1	1	293	0
95	19.571	25.659	2565.874	49.470	1	1	294	0
96	19.857	24.851	2565.858	49.418	1	1	295	0
97	19.810	25.382	2565.840	49.422	1	1	296	0
98	20.067	25.920	2565.840	49.429	1	1	297	0
99	19.935	25.840	2565.865	49.459	1	1	298	0
100	19.744	25.261	2565.845	49.449	1	1	299	0
101	19.882	25.615	2565.845	49.448	1	1	300	0
102	19.769	25.548	2565.866	49.484	1	1	301	0
103	20.038	24.404	2565.870	49.488	1	1	302	0
104	20.104	25.164	2565.853	49.486	1	1	303	0
105	19.851	26.026	2565.844	49.522	1	1	304	0
106	19.809	25.550	2565.826	49.499	1	1	305	0
107	19.769	25.064	2565.837	49.466	1	1	306	0
108	19.843	25.297	2565.842	49.567	1	1	307	0
109	20.009	25.107	2565.816	49.489	1	1	308	0
110	19.947	25.591	2565.874	49.512	1	1	309	0
111	20.023	24.357	2565.852	49.475	1	1	310	0
112	19.904	25.767	2565.860	49.508	1	1	311	0
113	19.864	24.965	2565.864	49.482	1	1	312	0
114	19.928	24.782	2565.881	49.499	1	1	313	0
115	19.713	25.505	2565.873	49.485	1	1	314	0
116	19.921	26.275	2565.828	49.495	1	1	315	0
117	19.839	25.001	2565.839	49.451	1	1	316	0
118	19.755	24.222	2565.838	49.498	1	1	317	0
119	19.746	25.409	2565.820	49.455	1	1	318	0
120	19.849	25.877	2565.834	49.456	1	1	319	0
121	19.910	24.923	2565.856	49.475	1	1	320	0
122	19.694	25.809	2565.824	49.457	1	1	321	0
123	19.882	25.137	2565.832	49.434	1	1	322	0
124	19.809	25.870	2565.841	49.438	1	1	323	0
125	19.945	24.647	2565.832	49.477	1	1	324	0
126	19.602	25.572	2565.786	49.456	1	1	325	0
127	19.815	25.820	2565.842	49.461	1	1	326	0
128	19.851	25.698	2565.879	49.451	1	1	327	0
129	19.928	24.136	2565.811	49.359	1	1	328	0
130	19.748	24.591	2565.829	49.422	1	1	329	0
131	19.629	25.839	2565.788	49.412	1	1	330	0
132	19.982	25.473	2565.810	49.469	1	1	331	0
133	19.781	25.611	2565.836	49.444	1	1	332	0
134	19.874	25.202	2565.815	49.449	1	1	333	0
135	19.758	25.314	2565.822	49.474	1	1	334	0
136	19.725	25.086	2565.842	49.414	1	1	335	0
137	20.031	24.616	2565.816	49.453	1	1	336	0
138	19.770	26.172	2565.838	49.430	1	1	337	0
139	19.888	25.571	2565.801	49.460	1	1	338	0
140	19.917	24.390	2565.825	49.471	1	1	339	0
141	19.632	25.016	2565.800	49.432	1	1	340	0
142	19.588	24.244	2565.809	49.433	1	1	341	0
143	19.792	24.571	2565.866	49.455	1	1	342	0
144	19.774	24.073	2565.802	49.425	1	1	343	0
145	19.617	24.980	2565.798	49.447	1	1	344	0
146	19.550	24.701	2565.818	49.443	1	1	345	0
147	19.577	25.608	2565.835	49.446	1	1	346	0
148	19.751	25.042	2565.813	49.404	1	1	347	0
149	19.655	25.156	2565.793	49.448	1	1	348	0
150	19.512	25.797	2565.797	49.456	1	1	349	0
151	19.632	25.025	2565.800	49.467	1	1	350	0
152	19.756	24.694	2565.818	49.482	1	1	351	0
153	19.855	23.918	2565.805	49.450	1	1	352	0
154	19.758	25.634	2565.799	49.456	1	1	353	0
155	19.814	25.512	2565.779	49.456	1	1	354	0
156	20.019	25.505	2565.827	49.445	1	1	355	0
157	19.803	25.913	2565.821	49.427	1	1	356	0
158	19.808	25.713	2565.806	49.395	1	1	357	0
159	19.898	25.170	2565.785	49.417	1	1	358	0
160	19.913	26.010	2565.806	49.416	1	1	359	0
161	19.961	24.683	2565.792	49.429	1	1	360	0
162	19.792	26.796	2565.792	49.444	1	1	361	0
163	20.030	24.140	2565.827	49.449	1	1	362	0
164	20.023	25.317	2565.766	49.442	1	1	363	0
165	19.946	25.596	2565.764	49.399	1	1	364	0
166	19.835	25.828	2565.780	49.448	1	1	365	0
167	19.997	25.194	2565.755	49.406	1	1	366	0
168	19.864	26.558	2565.793	49.432	1	1	367	0
169	20.050	25.741	2565.786	49.461	1	1	368	0
170	19.728	24.587	2565.773	49.451	1	1	369	0
171	19.676	24.837	2565.763	49.411	1	1	370	0
172	19.695	25.008	2565.779	49.472	1	1	371	0
173	19.866	24.626	2565.804	49.388	1	1	372	0
174	19.905	25.594	2565.787	49.421	1	1	373	0
175	19.948	24.787	2565.732	49.409	1	1	374	0
176	19.672	25.663	2565.779	49.416	1	1	375	0
177	19.618	25.289	2565.777	49.442	1	1	376	0
178	19.607	25.690	2565.794	49.435	1	1	377	0
179	19.913	24.738	2565.750	49.438	1	1	378	0
180	19.913	25.853	2565.753	49.410	1	1	379	0
181	19.623	25.249	2565.765	49.375	1	1	380	0
182	19.642	25.257	2565.756	49.378	1	1	381	0
183	19.616	26.259	2565.724	49.416	1	1	382	0
184	19.960	26.124	2565.756	49.384	1	1	383	0
185	19.812	25.846	2565.779	49.405	1	1	384	0
186	19.962	24.993	2565.798	49.405	1	1	385	0
187	19.613	26.280	2565.796	49.430	1	1	386	0
188	19.738	25.307	2565.752	49.430	1	1	387	0
189	20.011	25.565	2565.767	49.367	1	1	388	0
190	19.848	25.402	2565.749	49.435	1	1	389	0
191	19.675	25.479	2565.745	49.350	1	1	390	0
192	19.722	26.071	2565.751	49.430	1	1	391	0
193	19.770	26.175	2565.752	49.423	1	1	392	0
194	20.020	25.180	2565.760	49.432	1	1	393	0
195	19.709	25.530	2565.745	49.390	1	1	394	0
196	20.115	24.754	2565.737	49.384	1	1	395	0
197	20.026	24.649	2565.773	49.412	1	1	396	0
198	19.828	24.923	2565.742	49.437	1	1	397	0
199	19.820	25.466	2565.758	49.434	1	1	398	0
200	19.771	25.847	2565.732	49.410	1	1	399	0
201	19.815	25.819	2565.785	49.408	1	1	400	0
202	19.866	25.105	2565.779	49.434	1	1	401	0
203	19.791	26.007	2565.750	49.397	1	1	402	0
204	19.886	25.581	2565.770	49.403	1	1	403	0
205	19.892	25.219	2565.778	49.462	1	1	404	0
206	19.705	25.563	2565.805	49.385	1	1	405	0
207	19.787	25.563	2565.794	49.425	1	1	406	0
208	19.809	25.392	2565.807	49.447	1	1	407	0
209	20.077	25.526	2565.790	49.440	1	1	408	0
210	19.803	24.959	2565.804	49.445	1	1	409	0
211	19.707	26.658	2565.810	49.378	1	1	410	0
212	19.888	26.042	2565.812	49.371	1	1	411	0
213	20.041	25.811	2565.794	49.438	1	1	412	0
214	19.875	25.505	2565.826	49.380	1	1	413	0
215	19.844	25.758	2565.789	49.426	1	1	414	0
216	19.824	25.585	2565.789	49.374	1	1	415	0
