 	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory
1	22.318	20.775	364.821	33.186	1	1	200	0
2	22.626	19.964	364.855	33.226	1	1	201	0
3	22.522	18.382	364.832	33.283	1	1	202	0
4	22.416	19.683	364.875	33.061	1	1	203	0
5	22.581	19.356	364.798	33.288	1	1	204	0
6	22.688	19.006	364.836	33.402	1	1	205	0
7	22.354	19.691	364.843	33.237	1	1	206	0
8	22.501	19.076	364.824	33.421	1	1	207	0
9	22.641	19.221	364.860	33.595	1	1	208	0
10	22.617	19.764	364.820	33.474	1	1	209	0
11	22.702	19.210	364.866	33.333	1	1	210	0
12	22.452	20.205	364.893	33.406	1	1	211	0
13	22.706	19.028	364.789	33.515	1	1	212	0
14	22.639	19.592	364.851	33.397	1	1	213	0
15	22.584	19.495	364.818	33.206	1	1	214	0
16	22.704	19.200	364.855	33.409	1	1	215	0
17	22.728	19.062	364.843	33.508	1	1	216	0
18	22.587	18.848	364.824	33.587	1	1	217	0
19	22.544	19.497	364.859	33.574	1	1	218	0
20	22.647	19.502	364.857	33.690	1	1	219	0
21	22.349	19.928	364.889	33.769	1	1	220	0
22	22.583	19.673	364.829	33.567	1	1	221	0
23	22.579	19.599	364.891	33.527	1	1	222	0
24	22.743	18.898	364.874	33.536	1	1	223	0
25	22.589	19.296	364.868	33.362	1	1	224	0
26	22.740	18.758	364.892	33.421	1	1	225	0
27	22.679	19.384	364.893	33.271	1	1	226	0
28	22.390	20.225	364.889	33.527	1	1	227	0
29	22.639	19.557	364.880	33.574	1	1	228	0
30	22.574	19.098	364.916	33.463	1	1	229	0
31	22.487	19.303	364.856	33.484	1	1	230	0
32	22.763	18.740	364.914	33.524	1	1	231	0
33	22.354	19.078	364.886	33.637	1	1	232	0
34	22.594	19.108	364.852	33.569	1	1	233	0
35	22.767	18.287	364.874	33.546	1	1	234	0
36	22.528	19.465	364.876	33.546	1	1	235	0
37	22.429	20.562	364.884	33.615	1	1	236	0
38	22.465	19.316	364.912	33.562	1	1	237	0
39	22.264	19.613	364.858	33.584	1	1	238	0
40	22.183	19.765	364.910	33.556	1	1	239	0
41	22.451	19.806	364.861	33.617	1	1	240	0
42	22.571	19.134	364.898	33.586	1	1	241	0
43	22.478	19.541	364.875	33.600	1	1	242	0
44	22.363	19.009	364.887	33.652	1	1	243	0
45	22.255	19.209	364.806	33.597	1	1	244	0
46	22.533	19.106	364.906	33.570	1	1	245	0
47	22.457	19.220	364.835	33.576	1	1	246	0
48	22.489	18.971	364.860	33.579	1	1	247	0
49	22.235	20.217	364.856	33.585	1	1	248	0
50	22.248	19.097	364.932	33.553	1	1	249	0
51	22.338	19.836	364.940	33.616	1	1	250	0
52	22.372	19.408	364.873	33.580	1	1	251	0
53	22.524	19.343	364.893	33.627	1	1	252	0
54	22.233	20.017	364.891	33.616	1	1	253	0
55	22.541	18.788	364.916	33.599	1	1	254	0
56	22.197	20.023	364.809	33.578	1	1	255	0
57	22.494	19.256	364.855	33.596	1	1	256	0
58	22.336	19.685	364.876	33.532	1	1	257	0
59	22.465	19.323	364.844	33.650	1	1	258	0
60	22.535	19.621	364.826	33.621	1	1	259	0
61	22.452	19.747	364.910	33.612	1	1	260	0
62	22.370	19.747	364.879	33.645	1	1	261	0
63	22.357	19.427	364.857	33.664	1	1	262	0
64	22.410	20.226	364.911	33.590	1	1	263	0
65	22.522	20.308	364.856	33.572	1	1	264	0
66	22.513	19.103	364.840	33.589	1	1	265	0
67	22.426	20.165	364.880	33.597	1	1	266	0
68	22.447	19.461	364.810	33.594	1	1	267	0
69	22.520	19.212	364.877	33.574	1	1	268	0
70	22.518	20.064	364.800	33.605	1	1	269	0
71	22.479	19.264	364.879	33.557	1	1	270	0
72	22.367	20.129	364.776	33.616	1	1	271	0
73	22.652	19.139	364.815	33.603	1	1	272	0
74	22.566	19.490	364.825	33.634	1	1	273	0
75	22.338	19.843	364.896	33.639	1	1	274	0
76	22.425	19.002	364.848	33.653	1	1	275	0
77	22.242	19.155	364.832	33.618	1	1	276	0
78	22.502	18.450	364.877	33.609	1	1	277	0
79	22.247	18.946	364.813	33.554	1	1	278	0
80	22.208	18.503	364.832	33.613	1	1	279	0
81	22.357	19.366	364.812	33.599	1	1	280	0
82	22.368	19.281	364.898	33.623	1	1	281	0
83	22.395	20.506	364.884	33.614	1	1	282	0
84	22.562	18.939	364.871	33.606	1	1	283	0
85	22.629	17.763	364.822	33.558	1	1	284	0
86	22.457	19.229	364.801	33.605	1	1	285	0
87	22.542	19.039	364.883	33.609	1	1	286	0
88	22.413	19.732	364.874	33.652	1	1	287	0
89	22.487	18.884	364.852	33.616	1	1	288	0
90	22.196	19.191	364.874	33.577	1	1	289	0
91	22.345	18.562	364.874	33.658	1	1	290	0
92	22.413	19.124	364.761	33.580	1	1	291	0
93	22.495	19.257	364.884	33.676	1	1	292	0
94	22.672	19.302	364.804	33.591	1	1	293	0
95	22.010	19.373	364.858	33.614	1	1	294	0
96	22.352	18.778	364.814	33.660	1	1	295	0
97	22.249	20.217	364.802	33.671	1	1	296	0
98	22.423	18.855	364.784	33.568	1	1	297	0
99	22.481	18.916	364.748	33.650	1	1	298	0
100	22.135	19.667	364.814	33.611	1	1	299	0
101	22.233	19.059	364.832	33.587	1	1	300	0
102	22.432	18.340	364.754	33.610	1	1	301	0
103	22.489	19.493	364.819	33.570	1	1	302	0
104	22.628	18.727	364.821	33.571	1	1	303	0
105	22.342	19.008	364.841	33.629	1	1	304	0
106	22.452	18.787	364.786	33.568	1	1	305	0
107	22.194	18.889	364.834	33.616	1	1	306	0
108	22.277	19.518	364.860	33.619	1	1	307	0
109	22.574	18.790	364.864	33.610	1	1	308	0
110	22.629	19.321	364.782	33.647	1	1	309	0
111	22.554	19.627	364.816	33.598	1	1	310	0
112	22.368	18.857	364.806	33.716	1	1	311	0
113	22.371	19.743	364.876	33.682	1	1	312	0
114	22.506	19.168	364.877	33.701	1	1	313	0
115	22.535	19.468	364.850	33.646	1	1	314	0
116	22.366	19.303	364.850	33.628	1	1	315	0
117	22.263	19.949	364.833	33.661	1	1	316	0
118	22.416	18.594	364.866	33.621	1	1	317	0
119	22.382	18.697	364.887	33.644	1	1	318	0
120	22.373	18.921	364.849	33.545	1	1	319	0
121	22.592	19.761	364.794	33.577	1	1	320	0
122	22.361	20.024	364.833	33.588	1	1	321	0
123	22.345	18.982	364.816	33.537	1	1	322	0
124	22.373	19.399	364.823	33.546	1	1	323	0
125	22.201	19.673	364.808	33.562	1	1	324	0
126	22.318	18.875	364.772	33.570	1	1	325	0
127	22.647	17.779	364.802	33.607	1	1	326	0
