 	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory
1	19.552	64.378	2916.010	14.540	1	1	200	0
2	19.579	64.330	2915.990	14.558	1	1	201	0
3	19.477	62.726	2915.999	14.531	1	1	202	0
4	19.403	63.750	2916.021	14.339	1	1	203	0
5	19.620	63.364	2916.000	14.539	1	1	204	0
6	19.710	64.765	2915.993	14.655	1	1	205	0
7	19.397	65.095	2916.006	14.465	1	1	206	0
8	19.810	61.611	2916.011	14.703	1	1	207	0
9	19.566	62.947	2916.028	14.795	1	1	208	0
10	19.576	64.151	2916.035	14.720	1	1	209	0
11	19.604	64.132	2916.027	14.557	1	1	210	0
12	19.510	64.093	2916.033	14.639	1	1	211	0
13	19.632	64.145	2916.019	14.773	1	1	212	0
14	19.778	63.282	2916.027	14.656	1	1	213	0
15	19.769	64.736	2916.054	14.464	1	1	214	0
16	19.727	63.353	2916.028	14.649	1	1	215	0
17	19.641	64.212	2916.047	14.708	1	1	216	0
18	19.597	64.619	2916.043	14.824	1	1	217	0
19	19.545	64.706	2916.018	14.813	1	1	218	0
20	19.388	67.360	2916.033	14.924	1	1	219	0
21	19.643	64.893	2916.042	14.942	1	1	220	0
22	19.418	65.826	2916.020	14.792	1	1	221	0
23	19.590	64.676	2916.053	14.763	1	1	222	0
24	19.484	65.019	2916.041	14.826	1	1	223	0
25	19.567	64.450	2916.032	14.656	1	1	224	0
26	19.830	62.539	2916.042	14.602	1	1	225	0
27	19.628	65.221	2916.048	14.561	1	1	226	0
28	19.559	65.498	2916.030	14.741	1	1	227	0
29	19.509	65.775	2916.026	14.856	1	1	228	0
30	19.861	62.657	2916.032	14.723	1	1	229	0
31	19.717	63.841	2916.050	14.762	1	1	230	0
32	19.543	64.565	2916.041	14.761	1	1	231	0
33	19.570	63.238	2916.057	14.809	1	1	232	0
34	19.398	63.900	2916.048	14.774	1	1	233	0
35	19.370	63.958	2916.059	14.765	1	1	234	0
36	19.561	65.056	2916.050	14.785	1	1	235	0
37	19.503	63.279	2916.009	14.797	1	1	236	0
38	19.468	64.193	2916.009	14.795	1	1	237	0
39	19.158	64.058	2916.020	14.815	1	1	238	0
40	19.320	65.344	2915.999	14.816	1	1	239	0
41	19.372	62.711	2916.012	14.807	1	1	240	0
42	19.405	64.969	2915.991	14.778	1	1	241	0
43	19.159	65.167	2916.000	14.802	1	1	242	0
44	19.330	63.199	2916.004	14.802	1	1	243	0
45	19.224	64.317	2916.003	14.799	1	1	244	0
46	19.453	64.784	2915.976	14.808	1	1	245	0
47	19.724	63.766	2915.969	14.808	1	1	246	0
48	19.311	63.663	2915.966	14.793	1	1	247	0
49	19.327	63.991	2915.995	14.794	1	1	248	0
50	19.151	63.323	2915.989	14.782	1	1	249	0
51	19.300	64.225	2915.974	14.790	1	1	250	0
52	19.384	63.889	2915.987	14.791	1	1	251	0
53	19.366	64.509	2915.963	14.787	1	1	252	0
54	19.131	64.072	2915.970	14.774	1	1	253	0
55	19.186	64.795	2915.982	14.821	1	1	254	0
56	19.206	64.643	2915.962	14.792	1	1	255	0
57	19.512	64.800	2915.981	14.797	1	1	256	0
58	19.182	64.986	2915.985	14.805	1	1	257	0
59	19.304	64.677	2915.988	14.804	1	1	258	0
60	19.545	63.430	2915.982	14.804	1	1	259	0
61	19.335	65.545	2915.956	14.783	1	1	260	0
62	19.459	64.895	2915.982	14.800	1	1	261	0
63	19.523	63.763	2915.980	14.814	1	1	262	0
64	19.315	65.069	2915.979	14.796	1	1	263	0
65	19.137	65.181	2915.979	14.822	1	1	264	0
66	19.393	63.498	2915.956	14.815	1	1	265	0
67	19.345	64.829	2915.993	14.805	1	1	266	0
68	19.185	65.443	2915.967	14.816	1	1	267	0
69	19.349	64.799	2915.977	14.811	1	1	268	0
70	19.391	64.629	2915.974	14.819	1	1	269	0
71	19.253	64.431	2915.975	14.809	1	1	270	0
72	19.264	65.467	2915.957	14.798	1	1	271	0
73	19.204	65.297	2915.961	14.816	1	1	272	0
74	19.237	64.720	2915.962	14.824	1	1	273	0
75	19.446	64.041	2915.956	14.819	1	1	274	0
76	19.330	63.837	2915.986	14.807	1	1	275	0
77	19.378	63.618	2915.964	14.823	1	1	276	0
78	19.447	63.877	2915.953	14.807	1	1	277	0
79	19.151	63.317	2915.963	14.804	1	1	278	0
80	19.144	63.216	2915.939	14.807	1	1	279	0
81	19.023	64.783	2915.937	14.817	1	1	280	0
82	19.318	63.924	2915.959	14.803	1	1	281	0
83	19.175	65.361	2915.954	14.812	1	1	282	0
84	19.352	64.455	2915.947	14.825	1	1	283	0
85	19.310	63.349	2915.955	14.824	1	1	284	0
86	19.114	64.405	2915.974	14.821	1	1	285	0
87	19.311	64.614	2915.968	14.829	1	1	286	0
88	19.189	64.612	2915.990	14.836	1	1	287	0
