 	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory
118	24.937	40.306	1716.933	111.991	1	1	317	0
119	24.862	41.365	1716.965	112.061	1	1	318	0
120	24.896	41.257	1716.928	112.012	1	1	319	0
121	25.122	40.611	1716.939	111.999	1	1	320	0
122	24.944	41.525	1716.955	112.032	1	1	321	0
123	25.047	41.829	1716.945	111.998	1	1	322	0
124	24.846	42.285	1716.949	112.009	1	1	323	0
125	24.812	41.440	1716.909	111.998	1	1	324	0
126	24.733	41.256	1716.933	111.984	1	1	325	0
127	24.919	41.558	1716.923	111.970	1	1	326	0
128	24.799	42.335	1716.910	112.007	1	1	327	0
129	24.932	41.938	1716.913	112.005	1	1	328	0
130	24.831	41.128	1716.908	111.994	1	1	329	0
131	24.797	41.713	1716.940	111.993	1	1	330	0
132	24.944	40.723	1716.897	111.961	1	1	331	0
133	24.915	41.592	1716.939	111.967	1	1	332	0
134	24.840	42.018	1716.916	111.988	1	1	333	0
135	24.954	40.962	1716.922	111.996	1	1	334	0
136	24.709	41.289	1716.904	111.979	1	1	335	0
137	24.849	41.943	1716.909	112.015	1	1	336	0
138	24.720	42.789	1716.897	111.986	1	1	337	0
139	24.840	42.170	1716.919	111.996	1	1	338	0
140	24.863	41.041	1716.905	112.002	1	1	339	0
141	24.578	40.874	1716.915	112.000	1	1	340	0
142	24.856	40.138	1716.892	111.975	1	1	341	0
143	24.736	41.550	1716.868	111.967	1	1	342	0
144	24.938	40.613	1716.904	111.979	1	1	343	0
145	24.501	40.998	1716.899	111.970	1	1	344	0
146	24.432	39.623	1716.885	111.974	1	1	345	0
147	24.782	40.402	1716.895	111.967	1	1	346	0
148	24.916	41.262	1716.889	111.975	1	1	347	0
149	24.799	40.905	1716.905	111.969	1	1	348	0
150	24.903	40.253	1716.905	111.998	1	1	349	0
151	24.610	41.421	1716.890	111.956	1	1	350	0
152	24.787	41.313	1716.875	111.953	1	1	351	0
153	24.837	39.649	1716.871	111.975	1	1	352	0
154	24.739	40.411	1716.919	111.960	1	1	353	0
155	24.860	41.064	1716.911	111.997	1	1	354	0
156	25.000	40.927	1716.915	111.988	1	1	355	0
157	24.885	41.502	1716.886	111.982	1	1	356	0
158	24.871	41.293	1716.903	111.977	1	1	357	0
159	24.841	40.735	1716.885	111.984	1	1	358	0
160	25.255	41.643	1716.892	111.959	1	1	359	0
161	24.881	41.378	1716.888	112.011	1	1	360	0
162	24.915	42.705	1716.917	112.000	1	1	361	0
163	25.051	41.167	1716.874	111.976	1	1	362	0
164	24.902	41.851	1716.872	111.985	1	1	363	0
165	24.703	41.966	1716.900	111.994	1	1	364	0
166	25.215	41.158	1716.906	111.952	1	1	365	0
167	24.763	42.299	1716.878	112.005	1	1	366	0
168	24.899	41.395	1716.879	111.999	1	1	367	0
169	25.146	41.855	1716.910	111.993	1	1	368	0
170	24.966	41.991	1716.900	111.949	1	1	369	0
171	24.964	41.369	1716.895	111.989	1	1	370	0
172	24.867	41.168	1716.871	111.965	1	1	371	0
173	24.980	39.971	1716.872	112.006	1	1	372	0
174	25.048	41.189	1716.877	111.986	1	1	373	0
175	25.118	40.959	1716.915	111.982	1	1	374	0
176	24.810	41.134	1716.914	111.997	1	1	375	0
177	24.673	40.927	1716.920	111.999	1	1	376	0
178	25.039	41.258	1716.866	111.999	1	1	377	0
179	24.925	41.514	1716.875	112.002	1	1	378	0
180	25.028	40.711	1716.886	111.938	1	1	379	0
