 	no	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory	x_corr	y_corr	Time	SDx	SDy
1	26410	30.679	164.228	2129.046	164.230	0.540	0.601	501	29	0.030	-0.174	75.150	0.000	0.000
2	26411	30.899	159.858	2129.032	164.181	0.537	0.598	502	29	0.024	-0.258	75.300	0.004	0.059
3	26412	31.017	156.333	2129.042	164.231	0.548	0.623	503	29	0.040	-0.189	75.450	0.008	0.044
4	26413	30.835	158.608	2129.039	164.350	0.555	0.622	504	29	0.016	-0.021	75.600	0.010	0.100
5	26414	30.749	158.466	2129.022	164.348	0.559	0.649	505	29	0.008	0.002	75.750	0.012	0.113
6	26415	30.449	160.739	2129.014	164.384	0.554	0.623	506	29	-0.011	0.069	75.900	0.018	0.129
7	26416	30.761	156.060	2129.019	164.279	0.540	0.619	507	29	0.006	-0.109	76.050	0.017	0.118
8	26417	30.727	161.922	2129.027	164.213	0.550	0.630	508	29	0.021	-0.219	76.200	0.016	0.117
9	26418	30.998	155.791	2129.053	164.216	0.546	0.598	509	29	0.051	-0.226	76.350	0.019	0.116
10	26419	30.728	158.385	2129.047	164.170	0.541	0.600	510	29	0.045	-0.306	76.500	0.019	0.123
11	26420	30.966	155.787	2129.069	164.274	0.549	0.620	511	29	0.069	-0.138	76.650	0.023	0.117
12	26421	30.948	159.684	2129.065	164.197	0.542	0.584	512	29	0.046	-0.259	76.800	0.022	0.117
13	26422	31.290	159.634	2129.051	164.147	0.550	0.594	513	29	0.026	-0.334	76.950	0.022	0.123
14	26423	30.736	157.794	2129.030	164.239	0.545	0.605	514	29	0.024	-0.173	77.100	0.021	0.118
15	26424	30.683	160.485	2129.059	164.310	0.541	0.639	515	29	0.045	-0.062	77.250	0.020	0.117
16	26425	30.646	151.530	2129.045	164.257	0.553	0.621	516	29	0.026	-0.152	77.400	0.020	0.113
17	26426	31.095	158.856	2129.044	164.342	0.543	0.648	517	29	0.013	-0.027	77.550	0.020	0.114
18	26427	30.319	145.825	2129.030	164.310	0.554	0.654	518	29	-0.019	-0.072	77.700	0.022	0.112
19	26428	30.691	156.416	2129.028	164.364	0.557	0.639	519	29	-0.018	0.043	77.850	0.024	0.117
20	26429	30.691	152.597	2129.046	164.371	0.538	0.653	520	29	-0.005	0.048	78.000	0.024	0.121
21	26430	30.817	150.264	2129.047	164.333	0.553	0.626	521	29	0.019	-0.019	78.150	0.024	0.123
22	26431	31.168	156.432	2129.044	164.282	0.550	0.622	522	29	0.016	-0.090	78.300	0.024	0.119
23	26432	31.051	151.599	2129.034	164.337	0.544	0.644	523	29	0.001	-0.003	78.450	0.024	0.120
24	26433	31.194	156.942	2129.043	164.271	0.539	0.623	524	29	0.006	-0.096	78.600	0.024	0.118
25	26434	31.195	162.822	2129.025	164.281	0.540	0.609	525	29	-0.001	-0.090	78.750	0.024	0.116
26	26435	30.791	157.260	2129.055	164.263	0.543	0.611	526	29	0.037	-0.112	78.900	0.023	0.108
27	26436	31.284	160.894	2129.038	164.183	0.533	0.576	527	29	0.026	-0.254	79.050	0.023	0.112
28	26437	31.412	165.860	2129.047	164.192	0.538	0.604	528	29	0.022	-0.214	79.200	0.023	0.112
29	26438	31.226	160.889	2129.036	164.229	0.531	0.595	529	29	-0.001	-0.160	79.350	0.023	0.110
30	26439	32.586	163.166	2129.031	164.250	0.538	0.597	530	29	0.014	-0.120	79.500	0.022	0.101
31	26440	30.743	160.953	2129.034	164.214	0.539	0.597	531	29	0.022	-0.186	79.650	0.018	0.102
32	26441	31.004	162.580	2129.043	164.167	0.526	0.589	532	29	0.043	-0.248	79.800	0.018	0.101
33	26442	30.981	156.289	2129.025	164.168	0.536	0.609	533	29	0.019	-0.234	79.950	0.018	0.092
34	26443	31.240	154.647	2129.022	164.244	0.531	0.604	534	29	0.006	-0.123	80.100	0.018	0.091
35	26444	31.341	167.971	2129.018	164.196	0.531	0.572	535	29	0.018	-0.200	80.250	0.016	0.092
36	26445	31.171	166.718	2129.018	164.235	0.533	0.596	536	29	0.026	-0.128	80.400	0.016	0.092
37	26446	31.879	166.497	2129.014	164.185	0.534	0.581	537	29	0.014	-0.198	80.550	0.016	0.091
38	26447	30.887	163.138	2129.016	164.265	0.547	0.592	538	29	0.021	-0.086	80.700	0.014	0.091
39	26448	32.042	153.877	2128.994	164.278	0.543	0.625	539	29	-0.010	-0.053	80.850	0.014	0.084
40	26449	31.073	171.247	2129.007	164.253	0.521	0.579	540	29	0.014	-0.099	81.000	0.013	0.073
41	26450	31.303	161.519	2128.987	164.218	0.530	0.596	541	29	-0.013	-0.155	81.150	0.014	0.068
42	26451	31.986	161.576	2129.025	164.227	0.531	0.609	542	29	0.056	-0.136	81.300	0.017	0.067
43	26452	30.914	168.855	2128.968	164.198	0.521	0.593	543	29	-0.040	-0.178	81.450	0.021	0.058
44	26453	31.063	162.819	2129.010	164.212	0.537	0.624	544	29	0.035	-0.149	81.600	0.022	0.057
45	26454	31.135	165.166	2128.976	164.237	0.539	0.603	545	29	-0.043	-0.106	81.750	0.025	0.056
46	26455	30.893	165.182	2128.979	164.292	0.526	0.603	546	29	-0.029	-0.021	81.900	0.026	0.063
47	26456	30.788	162.516	2128.972	164.361	0.532	0.635	547	29	-0.027	0.086	82.050	0.027	0.078
48	26457	30.722	159.719	2128.981	164.293	0.523	0.617	548	29	-0.006	-0.026	82.200	0.027	0.080
49	26458	30.991	159.454	2128.976	164.260	0.536	0.582	549	29	-0.013	-0.064	82.350	0.027	0.080
50	26459	31.060	158.945	2128.967	164.229	0.537	0.621	550	29	-0.021	-0.114	82.500	0.028	0.080
51	26460	31.265	170.215	2128.941	164.241	0.520	0.581	551	29	-0.077	-0.090	82.650	0.033	0.079
52	26461	30.621	166.417	2128.977	164.238	0.518	0.599	552	29	-0.002	-0.091	82.800	0.031	0.073
53	26462	30.587	161.493	2129.009	164.146	0.533	0.592	553	29	0.043	-0.230	82.950	0.032	0.073
54	26463	30.626	163.340	2129.001	164.277	0.524	0.619	554	29	0.021	-0.016	83.100	0.033	0.075
55	26464	31.060	170.108	2128.968	164.329	0.524	0.615	555	29	-0.035	0.056	83.250	0.033	0.080
56	26465	30.735	165.425	2128.974	164.314	0.541	0.609	556	29	-0.016	0.027	83.400	0.032	0.083
57	26466	31.537	162.419	2128.956	164.341	0.526	0.623	557	29	-0.042	0.086	83.550	0.033	0.086
58	26467	32.485	162.485	2128.981	164.192	0.538	0.593	558	29	-8.000E-4	-0.158	83.700	0.032	0.089
59	26468	31.166	163.842	2128.981	164.181	0.539	0.585	559	29	0.014	-0.168	83.850	0.033	0.091
60	26469	30.740	163.096	2128.982	164.173	0.531	0.601	560	29	0.002	-0.174	84.000	0.032	0.094
61	26470	31.057	165.668	2128.996	164.210	0.519	0.578	561	29	0.035	-0.115	84.150	0.034	0.092
62	26471	31.319	164.967	2128.991	164.210	0.517	0.570	562	29	0.022	-0.098	84.300	0.031	0.092
63	26472	30.673	166.897	2128.989	164.172	0.532	0.581	563	29	0.030	-0.158	84.450	0.032	0.090
64	26473	31.142	164.123	2128.986	164.163	0.537	0.589	564	29	0.024	-0.189	84.600	0.031	0.093
65	26474	31.030	169.145	2128.974	164.246	0.519	0.599	565	29	0.006	-0.078	84.750	0.030	0.092
66	26475	30.837	164.009	2128.992	164.216	0.534	0.593	566	29	0.046	-0.118	84.900	0.031	0.092
67	26476	30.766	157.842	2128.998	164.218	0.536	0.599	567	29	0.062	-0.123	85.050	0.033	0.083
68	26477	31.344	167.452	2128.980	164.115	0.530	0.570	568	29	0.014	-0.288	85.200	0.033	0.092
69	26478	31.171	164.998	2128.966	164.188	0.528	0.577	569	29	-0.006	-0.155	85.350	0.033	0.092
70	26479	31.419	169.206	2129.012	164.203	0.536	0.583	570	29	0.078	-0.150	85.500	0.036	0.093
71	26480	30.981	164.727	2128.960	164.237	0.534	0.603	571	29	-0.016	-0.096	85.650	0.030	0.093
72	26481	31.019	163.447	2128.998	164.188	0.536	0.589	572	29	0.046	-0.198	85.800	0.031	0.095
73	26482	30.698	159.530	2128.980	164.125	0.549	0.581	573	29	0.011	-0.296	85.950	0.030	0.100
74	26483	31.715	167.285	2128.967	164.180	0.526	0.597	574	29	-0.005	-0.192	86.100	0.031	0.098
75	26484	31.523	165.463	2128.971	164.195	0.531	0.596	575	29	0.008	-0.186	86.250	0.029	0.088
76	26485	31.076	159.192	2128.956	164.283	0.529	0.601	576	29	-0.016	-0.056	86.400	0.029	0.082
77	26486	31.076	164.900	2128.980	164.297	0.532	0.592	577	29	0.030	-0.016	86.550	0.025	0.068
78	26487	30.943	164.239	2128.966	164.265	0.515	0.599	578	29	-0.010	-0.072	86.700	0.026	0.071
79	26488	30.866	164.918	2128.956	164.192	0.530	0.584	579	29	-0.018	-0.174	86.850	0.027	0.071
80	26489	30.962	164.755	2128.973	164.210	0.534	0.587	580	29	0.011	-0.165	87.000	0.027	0.070
81	26490	31.513	154.841	2128.973	164.235	0.532	0.613	581	29	0.030	-0.107	87.150	0.027	0.071
82	26491	30.471	154.152	2128.990	164.260	0.539	0.634	582	29	0.040	-0.066	87.300	0.027	0.072
83	26492	30.687	164.854	2128.969	164.212	0.523	0.597	583	29	0.006	-0.142	87.450	0.027	0.072
84	26493	30.960	156.084	2128.972	164.232	0.536	0.590	584	29	0.014	-0.125	87.600	0.027	0.071
85	26494	30.630	163.474	2128.990	164.133	0.533	0.598	585	29	0.045	-0.272	87.750	0.028	0.076
