 	trajectory	start	end
1	12	75.600	94.050
2	89	80.250	123.450
3	188	78.900	113.850
4	209	110.550	144.750
5	316	77.100	96.750
6	395	78.600	116.850
7	430	80.400	110.400
8	450	76.500	122.250
9	463	83.550	104.250
10	516	97.800	116.250
11	705	83.550	99.000
12	890	76.350	119.700
13	936	78.900	94.800
14	1029	81.600	100.350
15	1219	101.100	118.350
16	1235	173.400	182.700
17	1313	111.600	131.850
18	1369	128.100	239.400
19	1503	150.300	187.050
20	1519	189.000	213.150
21	1653	207.150	253.950
22	1656	206.700	233.400
23	1667	231.150	271.800
24	1687	236.100	243.150
