 	no	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory	x_corr	y_corr	Time	SDx	SDy
1	21119	39.676	80.846	2980.443	165.386	0.686	0.677	501	23	0.072	-0.045	75.150	0.000	0.000
2	21120	38.937	80.958	2980.441	165.346	0.705	0.706	502	23	0.085	-0.112	75.300	0.009	0.048
3	21121	39.427	82.576	2980.442	165.336	0.682	0.648	503	23	0.085	-0.141	75.450	0.007	0.049
4	21122	39.104	86.510	2980.457	165.343	0.669	0.616	504	23	0.091	-0.152	75.600	0.008	0.048
5	21123	38.713	78.856	2980.459	165.457	0.717	0.685	505	23	0.114	0.056	75.750	0.015	0.086
6	21124	39.938	80.575	2980.439	165.336	0.664	0.660	506	23	0.075	-0.128	75.900	0.015	0.080
7	21125	39.071	80.644	2980.385	165.472	0.648	0.697	507	23	-0.002	0.082	76.050	0.036	0.097
8	21126	39.077	83.187	2980.372	165.463	0.665	0.652	508	23	-0.021	0.062	76.200	0.047	0.100
9	21127	38.782	77.189	2980.385	165.402	0.712	0.677	509	23	-0.011	-0.048	76.350	0.051	0.093
10	21128	39.611	78.233	2980.412	165.375	0.687	0.652	510	23	0.035	-0.098	76.500	0.048	0.089
11	21129	39.510	84.609	2980.432	165.306	0.677	0.631	511	23	0.056	-0.205	76.650	0.046	0.096
12	21130	39.102	74.920	2980.422	165.312	0.730	0.692	512	23	0.022	-0.194	76.800	0.044	0.099
13	21131	38.981	80.465	2980.397	165.356	0.674	0.693	513	23	-0.016	-0.120	76.950	0.046	0.096
14	21132	39.307	83.802	2980.452	165.406	0.674	0.710	514	23	0.104	-0.026	77.100	0.047	0.093
15	21133	39.333	78.727	2980.429	165.373	0.692	0.672	515	23	0.043	-0.082	77.250	0.046	0.090
16	21134	39.319	85.087	2980.426	165.466	0.673	0.647	516	23	0.042	0.062	77.400	0.044	0.093
17	21135	39.361	84.937	2980.407	165.397	0.664	0.653	517	23	-0.001	-0.059	77.550	0.044	0.090
18	21136	39.040	75.783	2980.409	165.398	0.693	0.703	518	23	-0.006	-0.050	77.700	0.045	0.088
19	21137	38.625	81.018	2980.443	165.346	0.681	0.676	519	23	0.051	-0.104	77.850	0.044	0.086
20	21138	39.754	78.998	2980.406	165.370	0.655	0.661	520	23	-0.024	-0.074	78.000	0.045	0.084
21	21139	39.394	84.425	2980.422	165.376	0.649	0.639	521	23	0.026	-0.069	78.150	0.044	0.083
22	21140	39.085	80.823	2980.414	165.331	0.677	0.701	522	23	0.014	-0.131	78.300	0.043	0.084
23	21141	39.817	81.694	2980.409	165.334	0.687	0.658	523	23	0.008	-0.128	78.450	0.042	0.083
24	21142	39.662	77.972	2980.450	165.329	0.728	0.691	524	23	0.064	-0.123	78.600	0.040	0.082
25	21143	40.131	81.536	2980.447	165.324	0.700	0.621	525	23	0.080	-0.139	78.750	0.037	0.078
26	21144	40.209	80.242	2980.388	165.286	0.667	0.671	526	23	-0.024	-0.195	78.900	0.037	0.082
27	21145	39.467	82.775	2980.419	165.359	0.658	0.656	527	23	0.040	-0.093	79.050	0.036	0.072
28	21146	39.292	83.685	2980.408	165.335	0.677	0.637	528	23	0.006	-0.106	79.200	0.035	0.062
29	21147	39.264	82.807	2980.396	165.361	0.686	0.676	529	23	-0.019	-0.069	79.350	0.036	0.062
30	21148	39.067	84.502	2980.352	165.357	0.619	0.669	530	23	-0.067	-0.069	79.500	0.041	0.062
31	21149	38.593	78.971	2980.399	165.321	0.688	0.668	531	23	0.013	-0.134	79.650	0.040	0.058
32	21150	39.488	83.776	2980.379	165.410	0.665	0.627	532	23	-0.013	0.022	79.800	0.041	0.058
33	21151	39.419	78.506	2980.348	165.378	0.671	0.684	533	23	-0.058	-0.016	79.950	0.044	0.060
34	21152	39.306	74.892	2980.355	165.333	0.715	0.681	534	23	-0.054	-0.101	80.100	0.040	0.058
35	21153	39.129	84.172	2980.321	165.406	0.671	0.676	535	23	-0.091	0.016	80.250	0.045	0.062
36	21154	39.247	86.877	2980.338	165.307	0.644	0.638	536	23	-0.056	-0.133	80.400	0.045	0.054
37	21155	39.196	83.174	2980.378	165.306	0.683	0.657	537	23	0.003	-0.125	80.550	0.046	0.054
38	21156	38.900	78.294	2980.361	165.303	0.719	0.675	538	23	-0.021	-0.146	80.700	0.046	0.055
39	21157	39.309	82.442	2980.372	165.311	0.679	0.643	539	23	2.000E-4	-0.120	80.850	0.044	0.055
40	21158	38.959	82.183	2980.363	165.343	0.702	0.652	540	23	-0.010	-0.075	81.000	0.043	0.055
41	21159	39.494	80.273	2980.327	165.382	0.686	0.688	541	23	-0.064	-0.011	81.150	0.044	0.058
42	21160	38.681	82.545	2980.378	165.299	0.667	0.682	542	23	0.026	-0.139	81.300	0.045	0.058
43	21161	39.190	86.414	2980.337	165.316	0.670	0.607	543	23	-0.045	-0.109	81.450	0.045	0.058
44	21162	39.484	80.655	2980.375	165.351	0.685	0.652	544	23	0.024	-0.046	81.600	0.042	0.058
45	21163	39.616	79.945	2980.339	165.358	0.684	0.671	545	23	-0.056	-0.032	81.750	0.036	0.058
46	21164	39.594	87.755	2980.382	165.330	0.653	0.628	546	23	0.022	-0.080	81.900	0.038	0.052
47	21165	39.325	77.326	2980.355	165.333	0.690	0.702	547	23	-0.008	-0.078	82.050	0.035	0.052
48	21166	39.919	78.642	2980.310	165.378	0.687	0.733	548	23	-0.075	-0.008	82.200	0.036	0.054
49	21167	39.236	83.325	2980.299	165.366	0.649	0.658	549	23	-0.091	-0.013	82.350	0.039	0.055
50	21168	39.087	76.842	2980.300	165.363	0.688	0.706	550	23	-0.082	-0.019	82.500	0.040	0.056
51	21169	39.802	83.646	2980.354	165.348	0.640	0.627	551	23	-0.010	-0.038	82.650	0.039	0.054
52	21170	38.795	82.496	2980.293	165.394	0.660	0.678	552	23	-0.090	0.038	82.800	0.040	0.056
53	21171	39.349	78.307	2980.292	165.394	0.672	0.714	553	23	-0.098	0.046	82.950	0.042	0.060
54	21172	39.568	86.401	2980.322	165.350	0.644	0.639	554	23	-0.059	-0.019	83.100	0.043	0.060
55	21173	39.733	85.376	2980.301	165.287	0.633	0.655	555	23	-0.096	-0.131	83.250	0.043	0.060
56	21174	39.756	79.385	2980.340	165.284	0.661	0.647	556	23	-0.024	-0.141	83.400	0.043	0.060
57	21175	39.170	81.099	2980.311	165.324	0.637	0.677	557	23	-0.069	-0.059	83.550	0.042	0.059
58	21176	38.997	88.827	2980.317	165.312	0.639	0.665	558	23	-0.058	-0.085	83.700	0.042	0.055
59	21177	39.267	89.580	2980.307	165.289	0.652	0.613	559	23	-0.058	-0.115	83.850	0.041	0.055
60	21178	39.235	84.669	2980.332	165.323	0.682	0.600	560	23	-0.032	-0.054	84.000	0.040	0.055
61	21179	39.439	79.770	2980.360	165.299	0.691	0.634	561	23	0.022	-0.093	84.150	0.043	0.054
62	21180	39.492	82.601	2980.309	165.320	0.637	0.677	562	23	-0.062	-0.042	84.300	0.040	0.051
63	21181	39.022	82.438	2980.323	165.244	0.639	0.664	563	23	-0.030	-0.163	84.450	0.040	0.056
64	21182	39.417	92.082	2980.343	165.250	0.641	0.608	564	23	0.001	-0.170	84.600	0.038	0.061
65	21183	39.821	84.531	2980.367	165.320	0.644	0.652	565	23	0.040	-0.080	84.750	0.043	0.061
66	21184	38.806	83.754	2980.338	165.357	0.692	0.697	566	23	0.005	-0.013	84.900	0.042	0.062
67	21185	39.015	84.247	2980.335	165.258	0.672	0.633	567	23	0.006	-0.179	85.050	0.042	0.067
68	21186	39.680	84.713	2980.335	165.295	0.631	0.642	568	23	-0.011	-0.118	85.200	0.042	0.066
69	21187	40.267	88.585	2980.345	165.280	0.646	0.612	569	23	0.006	-0.128	85.350	0.042	0.066
70	21188	40.113	84.272	2980.337	165.254	0.661	0.633	570	23	0.005	-0.187	85.500	0.041	0.069
71	21189	39.554	81.225	2980.356	165.260	0.688	0.626	571	23	0.024	-0.179	85.650	0.042	0.071
72	21190	39.601	81.660	2980.325	165.243	0.652	0.657	572	23	-0.024	-0.230	85.800	0.040	0.070
73	21191	39.425	81.928	2980.348	165.299	0.677	0.669	573	23	0.006	-0.138	85.950	0.037	0.060
74	21192	39.285	79.621	2980.385	165.365	0.721	0.657	574	23	0.070	-0.016	86.100	0.041	0.060
75	21193	39.060	79.092	2980.343	165.385	0.696	0.674	575	23	0.010	-0.001	86.250	0.036	0.065
76	21194	39.381	84.640	2980.321	165.424	0.657	0.676	576	23	-0.027	0.050	86.400	0.036	0.074
77	21195	38.910	84.368	2980.364	165.322	0.666	0.664	577	23	0.051	-0.096	86.550	0.036	0.073
78	21196	40.500	82.823	2980.342	165.362	0.690	0.662	578	23	-0.002	-0.035	86.700	0.033	0.075
79	21197	39.286	87.337	2980.368	165.343	0.673	0.645	579	23	0.046	-0.053	86.850	0.032	0.075
80	21198	39.346	82.469	2980.378	165.271	0.706	0.640	580	23	0.066	-0.187	87.000	0.033	0.077
81	21199	39.324	80.620	2980.310	165.267	0.659	0.666	581	23	-0.024	-0.176	87.150	0.034	0.079
82	21200	39.523	79.228	2980.325	165.251	0.675	0.665	582	23	-0.018	-0.198	87.300	0.030	0.080
83	21201	39.722	87.214	2980.352	165.246	0.630	0.616	583	23	0.026	-0.208	87.450	0.029	0.082
84	21202	39.822	84.767	2980.391	165.316	0.660	0.674	584	23	0.090	-0.109	87.600	0.034	0.081
85	21203	38.943	80.009	2980.429	165.347	0.696	0.677	585	23	0.154	-0.048	87.750	0.045	0.082
86	21204	38.934	74.803	2980.394	165.362	0.709	0.711	586	23	0.094	-0.008	87.900	0.048	0.082
87	21205	39.321	79.612	2980.369	165.261	0.675	0.635	587	23	0.030	-0.147	88.050	0.048	0.081
88	21206	39.941	86.673	2980.322	165.256	0.628	0.643	588	23	-0.040	-0.179	88.200	0.049	0.082
89	21207	39.004	77.366	2980.348	165.258	0.716	0.669	589	23	0.005	-0.181	88.350	0.049	0.084
90	21208	39.429	93.301	2980.404	165.261	0.610	0.618	590	23	0.101	-0.163	88.500	0.052	0.083
