 	trajectory	start	end
1	29	79.500	159.600
2	161	84.300	118.800
3	189	79.800	161.100
4	245	82.200	121.800
5	333	75.900	120.300
6	353	78.750	151.350
7	376	150.900	191.250
8	511	78.450	115.500
9	540	80.100	117.900
10	549	86.550	128.550
11	552	78.150	130.050
12	666	80.550	144.900
13	673	81.150	114.750
14	698	85.800	164.100
15	767	84.150	124.200
16	847	79.350	130.650
17	861	77.700	105.900
18	906	77.700	105.000
19	925	84.300	96.750
20	1050	75.750	92.700
21	1070	82.050	106.800
22	1120	92.700	105.150
23	1259	92.850	100.650
24	1320	92.400	102.600
25	1340	124.500	167.400
26	1437	124.200	138.000
27	1555	138.300	143.250
28	1621	150.450	172.500
29	1650	142.050	158.550
30	1658	175.500	204.150
31	1707	167.550	196.200
32	1814	209.700	226.500
33	1888	247.950	257.400
34	1893	262.200	290.100
