 	no	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory	x_corr	y_corr	Time	SDx	SDy
1	10958	52.962	274.293	2806.107	1860.580	0.579	0.557	501	12	0.061	-0.126	75.150	0.000	0.000
2	10959	51.686	-60.055	2806.096	1860.810	0.592	0.992	502	12	0.061	0.237	75.300	0.000	0.257
3	10960	53.420	272.577	2806.094	1860.574	0.573	0.559	503	12	0.056	-0.152	75.450	0.003	0.218
4	10961	53.155	277.354	2806.111	1860.475	0.565	0.555	504	12	0.064	-0.333	75.600	0.003	0.239
5	10962	51.950	270.139	2806.094	1860.573	0.591	0.562	505	12	0.058	-0.150	75.750	0.003	0.208
6	10963	51.800	274.175	2806.112	1860.514	0.578	0.559	506	12	0.080	-0.235	75.900	0.009	0.194
7	10964	52.799	280.122	2806.103	1860.493	0.581	0.528	507	12	0.074	-0.278	76.050	0.009	0.186
8	10965	53.100	276.533	2806.110	1860.575	0.576	0.553	508	12	0.086	-0.152	76.200	0.011	0.172
9	10966	53.039	256.652	2806.093	1860.629	0.591	0.555	509	12	0.050	-0.077	76.350	0.012	0.163
10	10967	53.248	265.286	2806.105	1860.622	0.582	0.530	510	12	0.070	-0.094	76.500	0.012	0.154
11	10968	51.319	33.573	2806.110	1860.720	0.592	0.876	511	12	0.067	0.064	76.650	0.011	0.158
12	10969	51.522	269.696	2806.066	1860.570	0.583	0.557	512	12	-0.019	-0.174	76.800	0.027	0.152
13	10970	53.182	250.570	2806.109	1860.669	0.601	0.532	513	12	0.051	-0.011	76.950	0.026	0.148
14	10971	52.990	263.214	2806.113	1860.621	0.586	0.545	514	12	0.090	-0.074	77.100	0.026	0.143
15	10972	53.501	283.317	2806.112	1860.548	0.578	0.534	515	12	0.062	-0.194	77.250	0.025	0.140
16	10973	51.854	263.883	2806.108	1860.570	0.584	0.562	516	12	0.061	-0.163	77.400	0.024	0.135
17	10974	52.762	260.887	2806.129	1860.475	0.582	0.574	517	12	0.082	-0.326	77.550	0.024	0.140
18	10975	52.530	279.305	2806.133	1860.454	0.581	0.543	518	12	0.080	-0.354	77.700	0.024	0.146
19	10976	52.784	274.557	2806.133	1860.502	0.571	0.553	519	12	0.083	-0.246	77.850	0.024	0.144
20	10977	51.482	276.597	2806.124	1860.459	0.595	0.543	520	12	0.053	-0.323	78.000	0.023	0.145
21	10978	51.701	265.184	2806.111	1860.588	0.596	0.557	521	12	0.054	-0.123	78.150	0.023	0.145
22	10979	52.964	266.388	2806.113	1860.599	0.580	0.559	522	12	0.059	-0.094	78.300	0.023	0.113
23	10980	51.748	268.010	2806.105	1860.590	0.595	0.556	523	12	0.048	-0.110	78.450	0.023	0.114
24	10981	51.631	276.189	2806.093	1860.494	0.582	0.559	524	12	0.019	-0.251	78.600	0.025	0.109
25	10982	51.573	272.512	2806.079	1860.565	0.591	0.560	525	12	0.018	-0.147	78.750	0.027	0.109
26	10983	53.142	264.764	2806.100	1860.624	0.594	0.535	526	12	0.043	-0.046	78.900	0.027	0.111
27	10984	53.188	258.038	2806.071	1860.626	0.593	0.547	527	12	0.011	-0.058	79.050	0.028	0.110
28	10985	52.219	275.088	2806.082	1860.587	0.574	0.538	528	12	0.011	-0.094	79.200	0.029	0.110
29	10986	51.505	255.803	2806.096	1860.536	0.586	0.590	529	12	0.029	-0.181	79.350	0.029	0.109
30	10987	51.718	274.054	2806.090	1860.511	0.575	0.559	530	12	0.042	-0.214	79.500	0.028	0.110
31	10988	53.373	273.561	2806.068	1860.514	0.580	0.536	531	12	0.010	-0.218	79.650	0.029	0.097
32	10989	52.847	272.867	2806.059	1860.548	0.561	0.552	532	12	0.002	-0.149	79.800	0.027	0.097
33	10990	52.166	260.788	2806.079	1860.533	0.578	0.574	533	12	0.038	-0.160	79.950	0.027	0.090
