 	no	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory	x_corr	y_corr	Time	SDx	SDy
1	700	31.443	101.875	1052.352	1834.864	0.582	0.496	501	1	0.059	-0.130	75.150	0.000	0.000
2	701	30.927	96.944	1052.324	1834.890	0.645	0.517	502	1	0.030	-0.091	75.300	0.020	0.027
3	702	31.171	93.960	1052.384	1834.868	0.629	0.506	503	1	0.125	-0.138	75.450	0.048	0.025
4	703	31.614	101.692	1052.336	1834.887	0.615	0.499	504	1	0.030	-0.131	75.600	0.044	0.021
5	704	31.070	100.074	1052.350	1834.897	0.611	0.524	505	1	0.072	-0.088	75.750	0.039	0.024
6	705	31.528	100.566	1052.390	1834.886	0.569	0.532	506	1	0.130	-0.098	75.900	0.044	0.023
7	706	31.644	91.786	1052.299	1834.857	0.643	0.518	507	1	-0.006	-0.152	76.050	0.050	0.025
8	707	30.945	95.754	1052.337	1834.855	0.642	0.525	508	1	0.056	-0.160	76.200	0.047	0.028
9	708	31.085	88.320	1052.359	1834.876	0.653	0.535	509	1	0.080	-0.139	76.350	0.044	0.026
10	709	31.658	93.769	1052.348	1834.866	0.613	0.537	510	1	0.066	-0.160	76.500	0.042	0.027
11	710	31.210	98.470	1052.319	1834.861	0.619	0.510	511	1	0.008	-0.166	76.650	0.043	0.028
12	711	31.067	91.652	1052.326	1834.869	0.664	0.525	512	1	0.002	-0.152	76.800	0.044	0.028
13	712	31.237	96.973	1052.342	1834.863	0.625	0.535	513	1	0.029	-0.158	76.950	0.043	0.027
14	713	31.034	90.452	1052.345	1834.870	0.681	0.525	514	1	0.066	-0.131	77.100	0.041	0.026
15	714	31.000	94.533	1052.323	1834.871	0.658	0.519	515	1	0.006	-0.134	77.250	0.042	0.025
16	715	31.381	94.566	1052.343	1834.895	0.636	0.516	516	1	0.042	-0.101	77.400	0.040	0.026
17	716	31.465	93.844	1052.335	1834.890	0.617	0.531	517	1	0.016	-0.120	77.550	0.040	0.025
18	717	32.045	95.677	1052.321	1834.910	0.613	0.531	518	1	-0.014	-0.080	77.700	0.041	0.028
19	718	31.852	97.062	1052.350	1834.891	0.642	0.498	519	1	0.035	-0.082	77.850	0.040	0.029
