 	no	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory	x_corr	y_corr	Time	SDx	SDy
1	11872	42.499	49.014	2139.449	1644.994	1	1	501	9	0.139	-0.213	75.150	0.000	0.000
2	11873	42.829	49.285	2139.404	1645.005	1	1	502	9	0.083	-0.200	75.300	0.040	0.009
3	11874	42.864	49.366	2139.364	1645.074	1	1	503	9	0.019	-0.101	75.450	0.060	0.061
4	11875	42.728	48.002	2139.433	1645.009	1	1	504	9	0.110	-0.227	75.600	0.051	0.057
5	11876	42.930	49.786	2139.461	1645.009	1	1	505	9	0.174	-0.202	75.750	0.059	0.050
6	11877	42.879	49.535	2139.444	1645.064	1	1	506	9	0.141	-0.104	75.900	0.055	0.057
7	11878	45.301	48.963	2139.452	1645.039	1	1	507	9	0.163	-0.152	76.050	0.054	0.052
8	11879	43.167	46.829	2139.414	1644.983	1	1	508	9	0.104	-0.246	76.200	0.050	0.055
9	11880	42.636	48.240	2139.402	1644.999	1	1	509	9	0.074	-0.234	76.350	0.049	0.055
10	11881	42.538	49.491	2139.426	1644.969	1	1	510	9	0.115	-0.288	76.500	0.046	0.061
11	11882	42.768	48.016	2139.526	1644.979	1	1	511	9	0.264	-0.269	76.650	0.063	0.062
12	11883	43.213	46.780	2139.466	1645.010	1	1	512	9	0.152	-0.219	76.800	0.061	0.059
13	11884	42.976	47.983	2139.416	1645.057	1	1	513	9	0.072	-0.139	76.950	0.060	0.059
14	11885	42.333	51.581	2139.453	1644.995	1	1	514	9	0.165	-0.224	77.100	0.059	0.057
15	11886	42.394	49.035	2139.459	1644.947	1	1	515	9	0.149	-0.304	77.250	0.057	0.061
16	11887	42.872	48.010	2139.453	1644.964	1	1	516	9	0.142	-0.282	77.400	0.055	0.062
17	11888	42.583	50.102	2139.492	1645.033	1	1	517	9	0.194	-0.182	77.550	0.056	0.060
18	11889	43.240	47.362	2139.517	1645.129	1	1	518	9	0.224	-0.021	77.700	0.058	0.074
19	11890	42.797	49.081	2139.440	1645.065	1	1	519	9	0.106	-0.094	77.850	0.057	0.076
20	11891	42.988	48.682	2139.438	1645.018	1	1	520	9	0.085	-0.178	78.000	0.057	0.074
21	11892	42.290	50.961	2139.488	1644.976	1	1	521	9	0.189	-0.250	78.150	0.058	0.075
22	11893	43.101	49.548	2139.404	1645.045	1	1	522	9	0.056	-0.130	78.300	0.060	0.076
