 	trajectory	start	end
1	29	80.400	159.000
2	54	76.350	99.300
3	168	83.550	157.350
4	189	78.450	166.350
5	245	82.200	130.200
6	333	79.800	124.950
7	351	75.900	121.800
8	376	126.900	176.700
9	392	81.150	138.300
10	400	80.250	105.450
11	487	77.700	130.050
12	511	82.200	117.300
13	540	87.750	117.150
14	549	90.300	125.550
15	556	75.600	135.000
16	666	84.000	142.200
17	673	85.200	109.950
18	698	94.500	160.800
19	785	90.600	157.350
20	847	84.300	151.950
21	1050	79.050	93.750
22	1120	78.300	91.800
23	1437	124.500	142.350
24	1481	109.350	125.550
25	1519	117.750	138.150
26	1555	138.000	143.850
27	1600	145.950	156.150
28	1650	142.050	164.250
29	1661	150.000	160.650
30	1686	154.650	173.100
31	1688	157.650	173.400
32	1707	163.650	202.500
