 	trajectory	start	end
1	23	78.900	118.200
2	82	78.600	164.100
3	223	77.100	116.250
4	238	75.750	105.000
5	264	81.150	160.950
6	287	94.500	112.500
7	303	85.800	129.000
8	396	123.750	154.500
9	524	83.850	109.350
10	556	86.100	224.550
11	566	82.350	130.650
12	672	111.600	124.950
13	748	81.450	157.350
14	1053	84.600	106.650
15	1246	84.900	104.700
16	1372	98.700	115.650
17	1447	105.900	115.650
18	1705	149.550	186.600
19	1750	170.250	217.500
20	1760	161.250	178.800
21	1765	189.450	204.000
22	1798	192.900	218.250
23	1986	282.600	289.800
