 	no	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory	x_corr[um]	y_corr[um]	Time	st dev x	st dev y
1	8122	39.131	36.158	3134.205	490.724	0.797	0.743	334	11	0.168	-0.225	50.100	0.000	0.000
2	8123	39.293	36.435	3134.140	490.757	0.736	0.746	335	11	0.062	-0.215	50.250	0.075	0.007
3	8124	39.698	39.457	3134.123	490.876	0.713	0.701	336	11	0.013	0.004	50.400	0.079	0.129
4	8125	39.678	40.644	3134.151	490.755	0.748	0.684	337	11	0.081	-0.182	50.550	0.065	0.107
5	8126	39.396	41.049	3134.150	490.721	0.769	0.699	338	11	0.068	-0.260	50.700	0.056	0.104
6	8127	39.214	36.439	3134.218	490.780	0.762	0.725	339	11	0.170	-0.149	50.850	0.063	0.094
7	8128	39.253	42.186	3134.159	490.879	0.713	0.733	340	11	0.085	-0.002	51.000	0.057	0.107
8	8129	39.350	39.694	3134.161	490.851	0.774	0.719	341	11	0.106	-0.067	51.150	0.053	0.103
9	8130	39.050	41.969	3134.208	490.871	0.699	0.724	342	11	0.163	0.009	51.300	0.055	0.108
10	8131	39.738	38.345	3134.139	490.771	0.706	0.687	343	11	0.051	-0.161	51.450	0.054	0.102
11	8132	39.646	40.130	3134.179	490.824	0.729	0.671	344	11	0.105	-0.082	51.600	0.052	0.098
12	8133	39.168	38.066	3134.191	490.847	0.795	0.703	345	11	0.135	-0.047	51.750	0.050	0.096
13	8134	39.105	37.028	3134.197	490.812	0.750	0.773	346	11	0.148	-0.093	51.900	0.050	0.092
14	8135	39.473	33.867	3134.186	490.730	0.766	0.796	347	11	0.143	-0.236	52.050	0.049	0.094
15	8136	39.180	39.025	3134.205	490.796	0.710	0.754	348	11	0.154	-0.119	52.200	0.049	0.091
16	8137	39.436	36.276	3134.181	490.794	0.740	0.762	349	11	0.083	-0.130	52.350	0.048	0.088
17	8138	39.283	36.043	3134.254	490.813	0.782	0.735	350	11	0.194	-0.102	52.500	0.051	0.085
18	8139	39.348	38.797	3134.144	490.800	0.748	0.707	351	11	0.038	-0.113	52.650	0.052	0.083
19	8140	39.712	38.955	3134.121	490.829	0.704	0.674	352	11	-0.019	-0.070	52.800	0.059	0.081
20	8141	39.288	36.948	3134.127	490.953	0.715	0.735	353	11	0.016	0.109	52.950	0.060	0.094
21	8142	39.216	40.141	3134.166	490.872	0.712	0.715	354	11	0.054	-0.030	53.100	0.059	0.091
22	8143	39.212	40.795	3134.196	490.802	0.737	0.670	355	11	0.091	-0.134	53.250	0.058	0.087
23	8144	39.226	37.070	3134.196	490.880	0.762	0.766	356	11	0.117	-0.018	53.400	0.055	0.086
24	8145	39.041	36.612	3134.154	490.743	0.748	0.796	357	11	0.026	-0.221	53.550	0.058	0.089
25	8146	39.057	18.969	3134.184	490.742	0.783	1.076	358	11	0.069	-0.227	53.700	0.057	0.086
26	8147	39.489	41.202	3134.167	490.789	0.711	0.711	359	11	0.063	-0.157	53.850	0.055	0.086
27	8148	39.174	36.187	3134.214	490.748	0.754	0.732	360	11	0.150	-0.236	54.000	0.057	0.088
28	8149	39.735	38.174	3134.168	490.779	0.706	0.744	361	11	0.076	-0.166	54.150	0.057	0.089
29	8150	39.355	38.787	3134.186	490.794	0.756	0.747	362	11	0.110	-0.163	54.300	0.054	0.085
30	8151	39.580	27.088	3134.249	490.509	0.950	0.578	363	11	0.211	-0.620	54.450	0.060	0.140
31	8152	39.737	39.290	3134.173	490.828	0.721	0.724	364	11	0.077	-0.109	54.600	0.060	0.140
32	8153	39.399	37.949	3134.144	490.843	0.712	0.744	366	11	0.041	-0.069	54.900	0.061	0.139
33	8154	39.146	39.067	3134.147	490.879	0.774	0.704	367	11	0.051	-0.024	55.050	0.060	0.142
34	8155	39.303	38.141	3134.204	490.917	0.752	0.739	368	11	0.146	0.055	55.200	0.060	0.146
35	8156	39.234	35.475	3134.130	490.743	0.758	0.743	369	11	0.036	-0.229	55.350	0.059	0.148
36	8157	39.383	38.767	3134.118	490.702	0.744	0.725	370	11	0.002	-0.274	55.500	0.061	0.151
37	8158	39.572	28.062	3134.506	490.680	0.539	0.736	371	11	0.638	-0.280	55.650	0.138	0.154
38	8159	38.959	36.618	3134.203	490.775	0.764	0.756	372	11	0.144	-0.147	55.800	0.138	0.154
39	8160	39.903	36.600	3134.156	490.797	0.730	0.731	373	11	0.063	-0.097	55.950	0.135	0.153
40	8161	38.792	39.048	3134.170	490.895	0.785	0.733	375	11	0.089	0.021	56.250	0.133	0.146
41	8162	40.574	37.226	3134.142	490.785	0.713	0.665	376	11	0.073	-0.150	56.400	0.133	0.144
42	8163	39.525	36.949	3134.168	490.840	0.741	0.711	377	11	0.090	-0.070	56.550	0.133	0.145
43	8164	39.085	38.362	3134.126	490.781	0.710	0.700	378	11	0.037	-0.161	56.700	0.134	0.141
44	8165	39.153	41.376	3134.160	490.866	0.695	0.700	379	11	0.085	-0.011	56.850	0.133	0.144
