 	trajectory	start	end
1	29	56.700	108.300
2	30	51.600	60.600
3	90	53.250	73.800
4	142	55.200	79.950
5	169	54.000	97.650
6	272	57.300	160.950
7	291	53.100	73.950
8	321	51.150	66.150
9	325	51.150	67.800
10	335	55.050	104.400
11	336	53.400	88.800
12	341	52.500	67.500
13	365	52.350	63.150
14	374	53.550	78.600
15	435	52.350	68.250
16	466	54.300	71.850
17	468	51.750	76.650
18	483	51.300	73.650
19	523	50.850	70.050
20	529	54.600	61.050
21	585	53.100	70.350
22	590	54.900	64.800
23	594	53.250	70.650
24	598	54.000	71.850
25	618	53.700	64.350
26	626	60.000	73.200
27	627	51.600	67.800
28	664	53.550	71.250
29	666	55.200	78.150
30	686	68.550	90.300
31	705	50.400	67.950
32	709	52.650	70.950
33	718	51.150	64.350
34	731	51.750	64.950
35	748	65.250	109.800
36	780	55.050	65.100
37	789	63.600	96.450
38	807	54.600	72.000
39	808	53.400	69.450
40	809	54.900	83.250
41	811	62.400	101.400
42	825	61.200	83.250
43	832	62.700	110.700
44	849	55.800	71.400
45	888	52.350	70.350
46	944	53.850	62.100
47	984	52.050	63.750
48	990	53.100	62.850
49	1062	89.400	132.750
50	1067	68.550	86.850
51	1072	56.250	69.600
52	1086	57.300	83.100
53	1099	53.250	62.850
54	1218	79.500	100.650
55	1276	113.400	127.200
56	1289	118.650	135.900
57	1336	134.250	150.150
