 	no	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory	x_corr[um]	y_corr[um]	Time	st dev x	st dev y
1	14315	39.468	102.950	1039.106	2067.861	0.594	0.560	334	29	-0.045	-0.237	50.100	0.000	0.000
2	14316	39.253	100.179	1039.136	2067.937	0.586	0.563	335	29	2.000E-4	-0.158	50.250	0.032	0.056
3	14317	39.457	97.788	1039.152	2067.980	0.605	0.567	336	29	0.004	-0.060	50.400	0.027	0.089
4	14318	39.375	100.589	1039.153	2067.896	0.579	0.562	337	29	0.029	-0.187	50.550	0.031	0.074
5	14319	39.967	99.532	1039.140	2067.970	0.577	0.556	338	29	-0.003	-0.093	50.700	0.027	0.071
6	14320	39.967	99.549	1039.138	2067.924	0.597	0.564	339	29	-0.014	-0.149	50.850	0.024	0.064
7	14321	39.535	101.229	1039.155	2067.878	0.596	0.562	340	29	0.023	-0.235	51.000	0.024	0.067
8	14322	39.579	99.810	1039.140	2067.880	0.615	0.570	341	29	0.017	-0.251	51.150	0.024	0.070
9	14323	39.760	99.026	1039.137	2067.859	0.573	0.554	342	29	-0.006	-0.241	51.300	0.022	0.069
10	14324	39.359	103.837	1039.136	2067.871	0.594	0.561	343	29	-0.009	-0.232	51.450	0.021	0.068
11	14325	39.818	101.209	1039.118	2067.857	0.599	0.564	344	29	-0.047	-0.260	51.600	0.024	0.068
12	14326	39.534	103.745	1039.138	2067.861	0.587	0.537	345	29	-0.005	-0.256	51.750	0.023	0.068
13	14327	39.865	99.102	1039.147	2067.939	0.593	0.549	346	29	0.013	-0.121	51.900	0.023	0.068
14	14328	39.682	100.162	1039.131	2067.949	0.601	0.562	347	29	-2.000E-4	-0.116	52.050	0.022	0.068
15	14329	39.526	95.759	1039.147	2068.076	0.593	0.570	348	29	0.006	0.098	52.200	0.021	0.098
16	14330	39.516	91.337	1039.146	2068.074	0.616	0.571	349	29	-0.028	0.087	52.350	0.022	0.114
17	14331	39.510	94.640	1039.137	2068.092	0.593	0.565	350	29	-0.049	0.114	52.500	0.024	0.128
18	14332	39.832	97.077	1039.119	2068.063	0.597	0.572	351	29	-0.057	0.077	52.650	0.026	0.134
19	14333	39.384	95.794	1039.129	2068.144	0.620	0.587	352	29	-0.062	0.204	52.800	0.028	0.150
20	14334	39.680	96.340	1039.161	2068.033	0.591	0.581	353	29	0.015	0.007	52.950	0.028	0.148
21	14335	39.550	98.439	1039.143	2067.981	0.602	0.558	354	29	-0.038	-0.086	53.100	0.027	0.145
22	14336	39.283	99.009	1039.139	2068.093	0.601	0.573	355	29	-0.055	0.101	53.250	0.029	0.150
23	14337	39.793	101.255	1039.162	2067.980	0.587	0.565	356	29	0.007	-0.089	53.400	0.029	0.150
24	14338	39.403	99.396	1039.131	2067.891	0.607	0.577	357	29	-0.066	-0.215	53.550	0.030	0.151
25	14339	39.671	101.393	1039.161	2067.975	0.594	0.560	358	29	-0.023	-0.085	53.700	0.029	0.151
26	14340	39.448	98.730	1039.133	2067.935	0.609	0.575	359	29	-0.046	-0.154	53.850	0.030	0.151
27	14341	39.402	98.428	1039.159	2067.965	0.593	0.556	360	29	0.007	-0.119	54.000	0.029	0.147
28	14342	39.444	102.344	1039.184	2067.917	0.582	0.565	361	29	0.046	-0.176	54.150	0.032	0.144
29	14343	39.704	101.539	1039.165	2067.856	0.580	0.550	362	29	0.021	-0.295	54.300	0.033	0.147
30	14344	39.704	98.176	1039.137	2067.944	0.604	0.560	363	29	-0.023	-0.154	54.450	0.033	0.144
31	14345	39.981	100.831	1039.170	2067.934	0.595	0.549	364	29	0.017	-0.170	54.600	0.033	0.139
32	14346	39.634	100.524	1039.163	2067.918	0.578	0.555	365	29	0.017	-0.181	54.750	0.034	0.135
33	14347	39.861	96.707	1039.155	2067.965	0.590	0.557	366	29	0.003	-0.104	54.900	0.033	0.134
34	14348	39.123	100.304	1039.177	2067.966	0.605	0.556	367	29	0.044	-0.115	55.050	0.036	0.134
35	14349	40.280	100.162	1039.135	2067.897	0.581	0.553	368	29	-0.020	-0.208	55.200	0.035	0.133
36	14350	39.736	97.766	1039.137	2067.918	0.592	0.555	369	29	-0.008	-0.179	55.350	0.035	0.128
37	14351	39.497	100.206	1039.146	2067.932	0.589	0.569	370	29	-0.008	-0.137	55.500	0.034	0.119
38	14352	39.458	100.007	1039.164	2067.920	0.603	0.563	371	29	0.036	-0.127	55.650	0.034	0.111
39	14353	39.533	103.859	1039.141	2067.833	0.602	0.537	372	29	-0.010	-0.285	55.800	0.032	0.089
40	14354	39.596	99.208	1039.138	2067.912	0.601	0.569	373	29	-0.021	-0.144	55.950	0.032	0.083
41	14355	39.436	95.949	1039.143	2067.916	0.618	0.572	374	29	-0.012	-0.163	56.100	0.031	0.081
42	14356	39.542	98.444	1039.154	2067.944	0.593	0.565	375	29	0.008	-0.131	56.250	0.028	0.056
43	14357	39.376	102.051	1039.178	2067.903	0.611	0.569	376	29	0.075	-0.192	56.400	0.033	0.054
44	14358	39.545	98.433	1039.141	2068.002	0.601	0.557	377	29	-0.009	-0.042	56.550	0.029	0.060
45	14359	39.312	100.263	1039.122	2067.945	0.587	0.561	378	29	-0.025	-0.130	56.700	0.029	0.058
46	14360	39.542	98.315	1039.154	2067.959	0.592	0.565	379	29	0.020	-0.093	56.850	0.027	0.059
47	14361	39.358	97.837	1039.157	2068.051	0.590	0.570	380	29	0.039	0.040	57.000	0.028	0.074
48	14362	39.487	95.529	1039.141	2068.005	0.601	0.577	381	29	0.008	-0.015	57.150	0.026	0.079
49	14363	39.550	103.852	1039.152	2067.921	0.596	0.552	382	29	0.038	-0.143	57.300	0.027	0.070
50	14364	39.224	94.858	1039.186	2067.950	0.594	0.577	383	29	0.064	-0.106	57.450	0.029	0.071
51	14365	39.084	98.892	1039.161	2067.981	0.596	0.550	384	29	0.054	-0.053	57.600	0.030	0.072
52	14366	39.173	103.666	1039.152	2067.932	0.606	0.556	385	29	0.025	-0.123	57.750	0.030	0.071
53	14367	39.286	108.177	1039.168	2067.958	0.559	0.551	386	29	0.059	-0.066	57.900	0.032	0.072
