 	no	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory	x_corr[um]	y_corr[um]	Time	st dev x	st dev y
1	12822	45.138	124.257	2470.027	1712.898	0.544	0.506	334	16	0.075	-0.189	50.100	0.000	0.000
2	12823	45.336	118.618	2470.001	1712.879	0.549	0.513	335	16	0.030	-0.262	50.250	0.032	0.052
3	12824	45.230	123.497	2470.021	1712.890	0.547	0.513	336	16	0.041	-0.215	50.400	0.024	0.037
4	12825	45.635	124.072	2470.017	1712.873	0.553	0.505	337	16	0.057	-0.235	50.550	0.020	0.031
5	12826	45.449	117.450	2469.993	1712.982	0.558	0.509	338	16	0.008	-0.084	50.700	0.026	0.069
6	12827	45.672	120.099	2470.005	1712.985	0.551	0.514	339	16	0.020	-0.062	50.850	0.025	0.082
7	12828	45.589	121.303	2469.983	1712.998	0.551	0.511	340	16	-0.006	-0.054	51.000	0.028	0.088
8	12829	45.424	119.297	2470.036	1712.946	0.555	0.506	341	16	0.097	-0.157	51.150	0.035	0.082
9	12830	45.569	120.996	2470.026	1712.952	0.540	0.513	342	16	0.063	-0.103	51.300	0.033	0.078
10	12831	45.502	116.597	2470.041	1712.991	0.555	0.515	343	16	0.085	-0.051	51.450	0.034	0.080
11	12832	45.400	119.888	2470.044	1712.974	0.537	0.517	344	16	0.080	-0.084	51.600	0.034	0.078
12	12833	45.430	123.413	2470.064	1712.864	0.543	0.516	345	16	0.123	-0.262	51.750	0.038	0.083
13	12834	45.796	123.270	2470.040	1712.996	0.558	0.492	346	16	0.088	-0.040	51.900	0.038	0.085
14	12835	45.304	120.409	2470.054	1712.958	0.558	0.509	347	16	0.123	-0.112	52.050	0.040	0.082
15	12836	45.405	123.197	2470.061	1712.905	0.551	0.514	348	16	0.115	-0.187	52.200	0.041	0.080
16	12837	45.403	119.975	2470.037	1712.962	0.554	0.518	349	16	0.044	-0.103	52.350	0.040	0.078
17	12838	45.627	117.406	2470.058	1712.894	0.546	0.507	350	16	0.071	-0.214	52.500	0.039	0.077
18	12839	45.401	118.672	2470.048	1712.851	0.557	0.510	351	16	0.075	-0.273	52.650	0.038	0.081
19	12840	45.287	123.145	2470.075	1712.918	0.554	0.513	352	16	0.098	-0.169	52.800	0.037	0.079
20	12841	45.370	120.428	2470.065	1712.970	0.562	0.511	353	16	0.107	-0.105	52.950	0.038	0.078
21	12842	45.231	122.522	2470.058	1713.035	0.557	0.516	354	16	0.072	-0.011	53.100	0.038	0.083
22	12843	45.353	117.157	2470.035	1712.958	0.550	0.515	355	16	0.025	-0.126	53.250	0.038	0.078
23	12844	45.313	124.467	2470.055	1712.958	0.545	0.501	356	16	0.083	-0.135	53.400	0.037	0.075
24	12845	45.352	120.388	2470.051	1712.923	0.532	0.510	357	16	0.053	-0.174	53.550	0.037	0.072
25	12846	45.470	120.345	2470.025	1712.865	0.555	0.526	358	16	0.006	-0.272	53.700	0.038	0.078
26	12847	45.137	125.046	2470.000	1712.964	0.542	0.505	359	16	-0.013	-0.118	53.850	0.040	0.076
27	12848	45.163	117.538	2470.005	1712.933	0.548	0.521	360	16	0.007	-0.181	54.000	0.039	0.074
28	12849	45.186	124.148	2470.011	1712.919	0.543	0.505	361	16	0.016	-0.184	54.150	0.040	0.075
29	12850	45.543	122.417	2469.999	1713.028	0.544	0.508	362	16	0.001	-0.030	54.300	0.043	0.078
30	12851	45.306	119.576	2470.017	1712.973	0.551	0.519	363	16	0.031	-0.119	54.450	0.043	0.076
31	12852	45.227	121.850	2469.996	1712.966	0.547	0.499	364	16	-0.015	-0.130	54.600	0.046	0.075
32	12853	44.977	123.975	2470.009	1712.968	0.554	0.519	365	16	0.017	-0.112	54.750	0.044	0.070
33	12854	45.322	121.348	2470.019	1712.943	0.547	0.500	366	16	0.032	-0.150	54.900	0.043	0.066
34	12855	45.549	117.943	2470.020	1712.951	0.551	0.516	367	16	0.039	-0.150	55.050	0.040	0.065
35	12856	45.403	119.375	2470.012	1712.933	0.547	0.517	368	16	0.030	-0.161	55.200	0.036	0.065
36	12857	45.270	123.080	2470.008	1712.914	0.549	0.517	369	16	0.031	-0.197	55.350	0.036	0.065
37	12858	45.165	120.893	2470.029	1712.934	0.544	0.501	370	16	0.051	-0.144	55.500	0.035	0.063
38	12859	45.693	119.695	2470.030	1712.955	0.536	0.506	371	16	0.068	-0.082	55.650	0.035	0.057
39	12860	45.233	122.271	2469.966	1712.957	0.548	0.519	372	16	-0.044	-0.098	55.800	0.036	0.057
40	12861	45.075	125.291	2470.018	1712.920	0.553	0.505	373	16	0.033	-0.142	55.950	0.031	0.057
41	12862	45.039	116.852	2470.014	1712.992	0.557	0.524	374	16	0.028	-0.052	56.100	0.029	0.053
42	12863	45.378	120.785	2469.995	1712.952	0.543	0.520	375	16	-1.000E-4	-0.129	56.250	0.030	0.053
