 	no	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory	x_corr[um]	y_corr[um]	Time	st dev x	st dev y
1	23665	39.129	145.497	1313.131	1880.086	0.579	0.543	334	28	0.072	0.023	50.100	0.000	0.000
2	23666	38.913	153.788	1313.116	1880.025	0.569	0.538	335	28	0.046	-0.117	50.250	0.018	0.099
3	23667	38.993	148.100	1313.113	1880.016	0.580	0.550	336	28	0.019	-0.102	50.400	0.026	0.077
4	23668	39.225	151.031	1313.132	1880.063	0.576	0.548	337	28	0.073	-0.020	50.550	0.026	0.067
5	23669	38.714	145.586	1313.111	1880.046	0.586	0.545	338	28	0.028	-0.071	50.700	0.025	0.058
6	23670	38.630	145.338	1313.126	1880.136	0.568	0.552	339	28	0.045	0.090	50.850	0.022	0.080
7	23671	38.836	149.976	1313.138	1880.081	0.580	0.555	340	28	0.073	-0.010	51.000	0.022	0.073
8	23672	39.833	147.442	1313.145	1880.037	0.570	0.547	341	28	0.103	-0.100	51.150	0.028	0.072
9	23673	38.980	150.828	1313.118	1880.093	0.567	0.543	342	28	0.041	0.034	51.300	0.027	0.072
10	23674	39.331	147.396	1313.131	1880.054	0.574	0.543	343	28	0.061	-0.039	51.450	0.025	0.068
11	23675	38.864	146.703	1313.123	1879.986	0.576	0.559	344	28	0.038	-0.154	51.600	0.024	0.074
12	23676	39.053	148.249	1313.126	1880.056	0.579	0.540	345	28	0.053	-0.044	51.750	0.023	0.071
13	23677	39.153	151.118	1313.117	1880.016	0.582	0.549	346	28	0.043	-0.097	51.900	0.022	0.069
14	23678	39.080	149.298	1313.115	1880.024	0.575	0.542	347	28	0.052	-0.096	52.050	0.022	0.068
15	23679	38.941	145.584	1313.111	1880.050	0.579	0.557	348	28	0.026	-0.044	52.200	0.022	0.065
16	23680	39.268	148.132	1313.117	1880.071	0.570	0.548	349	28	0.003	-0.018	52.350	0.024	0.064
17	23681	39.360	146.951	1313.118	1880.106	0.571	0.535	350	28	-0.002	0.036	52.500	0.027	0.065
18	23682	39.117	144.905	1313.123	1880.119	0.575	0.533	351	28	0.027	0.067	52.650	0.026	0.068
19	23683	38.757	151.469	1313.120	1880.047	0.569	0.552	352	28	0.002	-0.052	52.800	0.027	0.066
20	23684	39.019	151.870	1313.140	1880.010	0.558	0.543	353	28	0.059	-0.130	52.950	0.027	0.068
21	23685	39.233	141.159	1313.122	1880.027	0.586	0.552	354	28	0.006	-0.113	53.100	0.027	0.068
22	23686	38.744	148.768	1313.121	1880.086	0.574	0.537	355	28	-0.006	-0.010	53.250	0.029	0.066
23	23687	39.031	142.772	1313.111	1880.006	0.585	0.550	356	28	0.003	-0.147	53.400	0.030	0.069
24	23688	39.068	149.979	1313.131	1880.014	0.572	0.537	357	28	0.012	-0.118	53.550	0.029	0.071
25	23689	38.967	150.942	1313.149	1880.035	0.561	0.540	358	28	0.035	-0.089	53.700	0.029	0.071
26	23690	38.966	148.441	1313.159	1879.946	0.578	0.537	359	28	0.073	-0.236	53.850	0.030	0.074
27	23691	38.976	146.119	1313.119	1879.949	0.570	0.546	360	28	0.021	-0.245	54.000	0.029	0.082
28	23692	39.117	146.359	1313.131	1879.954	0.573	0.539	361	28	0.039	-0.217	54.150	0.024	0.088
29	23693	38.893	153.666	1313.142	1880.047	0.568	0.543	362	28	0.061	-0.089	54.300	0.025	0.083
30	23694	38.812	143.529	1313.129	1880.107	0.581	0.550	363	28	0.042	0.006	54.450	0.024	0.086
31	23695	38.890	148.178	1313.133	1880.010	0.591	0.550	364	28	0.035	-0.148	54.600	0.024	0.085
32	23696	38.767	147.807	1313.122	1880.029	0.582	0.542	365	28	0.029	-0.104	54.750	0.023	0.085
33	23697	38.865	146.596	1313.159	1879.994	0.582	0.552	366	28	0.087	-0.158	54.900	0.026	0.086
34	23698	39.090	142.434	1313.149	1880.073	0.569	0.553	367	28	0.077	-0.044	55.050	0.028	0.087
35	23699	38.955	149.715	1313.149	1880.105	0.574	0.555	368	28	0.080	0.025	55.200	0.030	0.090
36	23700	38.565	145.917	1313.126	1880.056	0.576	0.555	369	28	0.052	-0.059	55.350	0.029	0.089
37	23701	38.744	145.361	1313.152	1880.054	0.567	0.546	370	28	0.079	-0.041	55.500	0.029	0.084
38	23702	38.817	141.595	1313.122	1880.073	0.591	0.550	371	28	0.046	0.018	55.650	0.029	0.080
39	23703	38.775	141.220	1313.130	1880.028	0.586	0.549	372	28	0.050	-0.073	55.800	0.028	0.080
40	23704	38.885	145.825	1313.142	1880.013	0.564	0.551	373	28	0.063	-0.083	55.950	0.028	0.079
41	23705	39.250	151.672	1313.127	1879.938	0.563	0.547	374	28	0.040	-0.228	56.100	0.026	0.085
42	23706	38.866	144.984	1313.110	1879.972	0.579	0.544	375	28	0.015	-0.186	56.250	0.024	0.084
43	23707	38.896	148.062	1313.128	1879.974	0.569	0.531	376	28	0.073	-0.178	56.400	0.023	0.085
44	23708	39.522	146.115	1313.142	1879.971	0.580	0.535	377	28	0.071	-0.192	56.550	0.021	0.087
45	23709	38.554	147.394	1313.114	1880.012	0.579	0.536	378	28	0.040	-0.122	56.700	0.021	0.086
46	23710	38.994	144.746	1313.130	1880.011	0.581	0.547	379	28	0.059	-0.110	56.850	0.021	0.082
