trajectory	start	end	x1	y1	x2	y2	duration	distance	rate	angle_deg	msd_y	L_um	F_pN_abs	F_pN		
966	135.45	136.2	-15.771	0.074	-16.646	-0.08500000000000001	0.75	0.889	1.186	-169.704	3.831651548646445e-14	13.94361953651464	1.103771135882619	-1.103771135882619
998	190.05	194.1	-0.285	-0.146	0.626	-0.351	4.05	0.9340000000000001	0.231	-12.673	2.195318642818988e-14	14.41486161050547	1.735968005255837	1.735968005255837
998	195.15	196.5	0.721	-0.471	1.22	-0.413	1.35	0.502	0.372	6.656	2.195318642818988e-14	14.41486161050547	1.735968005255837	1.735968005255837
1012	180	181.8	-0.137	0.199	-1.232	0.264	1.8	1.097	0.609	176.594	4.414167230980773e-14	13.79413495054595	0.9761289289830899	-0.9761289289830899
1039	212.85	214.65	-0.101	-0.006	0.346	0.432	1.8	0.626	0.348	44.404	2.571661213461302e-14	14.29726855837407	1.53369879715684	1.53369879715684
1060	121.35	122.1	-0.17	0.402	-1.805	-0.641	0.75	1.939	2.586	-147.464	2.246384660577896e-14	14.39846296033008	1.705373631542883	-1.705373631542883
1068	167.4	168.6	-0.424	0.203	-1.315	-0.04	1.2	0.924	0.77	-164.735	1.957979049417361e-14	14.49320450933324	1.894471455408809	-1.894471455408809
1070	176.55	179.85	-1.584	-0.194	-2.325	-0.029	3.3	0.759	0.23	167.413	5.864881719700125e-14	13.44578694586515	0.7547226771794464	-0.7547226771794464
1078	178.2	179.85	0.08400000000000001	-0.203	0.698	-0.343	1.65	0.63	0.382	-12.818	3.803600577942881e-14	13.95099883927495	1.110735267897536	1.110735267897536
1153	152.1	153.15	-0.16	0.033	-0.525	0.254	1.05	0.427	0.406	148.843	1.678679211909533e-14	14.59067009620984	2.124802605330538	-2.124802605330538
1190	204	204.9	-0.029	0.322	-1.157	0.045	0.9	1.162	1.291	-166.179	5.17387275379013e-14	13.60814109917707	0.8469273106355674	-0.8469273106355674
1197	167.7	169.2	-1.636	0.089	-2.731	0.216	1.5	1.102	0.735	173.407	2.726811677792161e-14	14.2507567580547	1.463583766383266	-1.463583766383266
1197	174.9	180	-3.217	0.352	-5.848	0.139	5.1	2.64	0.518	-175.373	2.726811677792161e-14	14.2507567580547	1.463583766383266	-1.463583766383266
1212	154.5	155.7	0.214	0.053	0.778	0.008999999999999999	1.2	0.5659999999999999	0.471	-4.452	1.517709035730099e-14	14.65003358518771	2.286824579290632	2.286824579290632
1219	127.65	133.05	1.676	0.104	3.689	0.073	5.4	2.013	0.373	-0.887	1.6997184337911e-14	14.5830983259373	2.105407720939851	2.105407720939851
1331	175.65	176.4	-0.062	0.017	0.349	0.034	0.75	0.411	0.548	2.338	4.958668476954196e-14	13.65994254996611	0.8800971865112774	0.8800971865112774
