trajectory	start	end	x1	y1	x2	y2	duration	distance	rate	angle_deg	msd_y	L_um	F_pN_abs	F_pN		
170	276.15	276.9	-3.097	-0.354	-3.678	-0.08699999999999999	0.75	0.639	0.852	155.36	5.451942434555001e-14	13.54211991732386	0.8074088099283222	-0.8074088099283222
176	282.45	284.1	-0.955	0.013	-1.899	0.158	1.65	0.955	0.579	171.258	1.599281183069322e-14	14.61962315916506	2.20154874489846	-2.20154874489846
200	342.6	344.7	0.387	-0.193	-0.854	-0.067	2.1	1.247	0.594	174.184	1.590935486702481e-14	14.62270257418444	2.20996047355995	-2.20996047355995
212	307.65	308.4	-0.304	-0.042	-0.708	0.059	0.75	0.416	0.555	166.062	9.173624029594419e-15	14.9025623681753	3.242075059484984	-3.242075059484984
225	335.55	337.8	-0.705	-0.1	-1.55	-0.828	2.25	1.115	0.496	-139.26	8.775145485159786e-15	14.92184531583982	3.339068349944009	-3.339068349944009
225	338.4	339.45	-1.643	-1.225	-2.302	-1.269	1.05	0.66	0.629	-176.16	8.775145485159786e-15	14.92184531583982	3.339068349944009	-3.339068349944009
252	230.25	231.45	-0.754	-0.859	-0.308	-0.028	1.2	0.9429999999999999	0.786	61.785	1.308998807003567e-14	14.7313668242535	2.541447836795269	2.541447836795269
252	237.45	239.25	0.254	-0.253	0.755	-0.013	1.8	0.555	0.309	25.561	1.308998807003567e-14	14.7313668242535	2.541447836795269	2.541447836795269
252	245.1	246	1.043	-0.112	1.244	-0.254	0.9	0.246	0.273	-35.248	1.308998807003567e-14	14.7313668242535	2.541447836795269	2.541447836795269
252	252.3	255.3	1.414	-0.059	2.094	-0.019	3	0.681	0.227	3.343	1.308998807003567e-14	14.7313668242535	2.541447836795269	2.541447836795269
252	274.2	278.1	2.102	0.068	3.332	-0.075	3.9	1.238	0.318	-6.638	1.308998807003567e-14	14.7313668242535	2.541447836795269	2.541447836795269
304	262.35	264.15	-0.015	-0.063	0.922	0.073	1.8	0.947	0.526	8.295	5.497686167184615e-14	13.53135160603231	0.8012375259389749	0.8012375259389749
323	308.55	309.9	0.256	0.068	1.101	-0.533	1.35	1.037	0.768	-35.424	1.771226431394541e-14	14.55766003560256	2.042197226025815	2.042197226025815
369	278.85	282	0.8149999999999999	-0.146	2.462	0.02	3.15	1.655	0.525	5.74	1.792268389648436e-14	14.55025866884417	2.02435168423875	2.02435168423875
369	302.1	304.35	2.819	-0.113	4.022	-0.236	2.25	1.209	0.537	-5.816	1.792268389648436e-14	14.55025866884417	2.02435168423875	2.02435168423875
369	305.55	309.15	3.374	-0.089	4.747	-0.247	3.6	1.382	0.384	-6.578	1.792268389648436e-14	14.55025866884417	2.02435168423875	2.02435168423875
386	224.4	225.45	-0.373	-0.275	0.139	-0.101	1.05	0.541	0.515	18.746	4.308548300094521e-14	13.82074400721804	0.9971125947787572	0.9971125947787572
426	270.75	272.25	0.122	0.277	0.792	0.202	1.5	0.674	0.449	-6.393	1.340523607560258e-14	14.7187222210805	2.49909676918427	2.49909676918427
479	244.8	246.15	-0.594	0.23	-1.095	-0.136	1.35	0.62	0.46	-143.847	6.183332415441482e-14	13.37274356327495	0.7182795828141263	-0.7182795828141263
501	311.55	315.45	-2.761	-0.344	-1.146	-0.353	3.9	1.615	0.414	-0.331	5.536302556046905e-14	13.52228060951407	0.7960961299165983	0.7960961299165983
501	318.75	319.95	-0.573	-0.399	0.027	-0.42	1.2	0.6	0.5	-2.081	5.536302556046905e-14	13.52228060951407	0.7960961299165983	0.7960961299165983
501	328.5	334.65	1.003	-0.508	3.051	-0.449	6.15	2.049	0.333	1.647	5.536302556046905e-14	13.52228060951407	0.7960961299165983	0.7960961299165983
501	340.95	343.95	3.204	-0.441	3.928	-0.415	3	0.724	0.241	2.037	5.536302556046905e-14	13.52228060951407	0.7960961299165983	0.7960961299165983
501	345.15	346.95	4.147	-0.441	4.716	-0.427	1.8	0.569	0.316	1.383	5.536302556046905e-14	13.52228060951407	0.7960961299165983	0.7960961299165983
501	360.9	363	5.259	-0.6929999999999999	6.115	-0.63	2.1	0.858	0.409	4.226	5.536302556046905e-14	13.52228060951407	0.7960961299165983	0.7960961299165983
506	257.1	259.35	-0.635	-0.113	-1.865	0.053	2.25	1.241	0.552	172.285	3.133051306526142e-14	14.13342362618777	1.307196031667355	-1.307196031667355
544	327	331.8	-1.264	-0.062	-0.045	0.014	4.8	1.221	0.254	3.546	1.434249237011611e-14	14.68190977260019	2.381758547080852	2.381758547080852
544	332.25	339.15	-0.012	-0.011	2.091	-0.054	6.9	2.103	0.305	-1.177	1.434249237011611e-14	14.68190977260019	2.381758547080852	2.381758547080852
544	339.75	343.05	2.195	-0.012	3.238	-0.419	3.3	1.12	0.339	-21.36	1.434249237011611e-14	14.68190977260019	2.381758547080852	2.381758547080852
556	347.4	348.15	-1.41	-0.037	-1.615	-0.271	0.75	0.311	0.414	-131.259	1.30919523338527e-14	14.73128760628002	2.541179104281627	-2.541179104281627
573	247.35	248.7	-0.219	-0.029	0.386	0.02	1.35	0.607	0.45	4.648	3.406304907872263e-14	14.05758941439528	1.219449868490106	1.219449868490106
585	268.65	269.85	-0.059	-0.054	-0.9370000000000001	-0.362	1.2	0.93	0.775	-160.666	2.367909730080062e-14	14.36002393081206	1.636829605445126	-1.636829605445126
585	271.95	273.15	-0.99	-0.287	-1.494	0.017	1.2	0.589	0.491	148.856	2.367909730080062e-14	14.36002393081206	1.636829605445126	-1.636829605445126
585	280.35	281.55	-2.341	-0.259	-1.798	0.033	1.2	0.616	0.514	28.257	2.367909730080062e-14	14.36002393081206	1.636829605445126	1.636829605445126
585	282.45	283.2	-1.717	-0.11	-1.28	0.035	0.75	0.461	0.614	18.386	2.367909730080062e-14	14.36002393081206	1.636829605445126	1.636829605445126
606	299.1	308.4	-0.187	-0.019	-0.73	-0.08400000000000001	9.300000000000001	0.547	0.059	-173.199	6.146614363333908e-15	15.06236271421169	4.201187988048183	-4.201187988048183
628	289.35	297.3	0.003	0.08500000000000001	0.347	-0.016	7.95	0.358	0.045	-16.297	5.375229605723418e-15	15.10956068460079	4.568064434673436	4.568064434673436
631	237.45	238.35	-1.318	-0.463	-1.558	-0.409	0.9	0.246	0.274	167.142	8.564158757101336e-15	14.93223462152829	3.393169037720296	-3.393169037720296
631	264	264.9	-1.833	-0.418	-2.056	-0.502	0.9	0.238	0.265	-159.366	8.564158757101336e-15	14.93223462152829	3.393169037720296	-3.393169037720296
631	273.3	274.65	-2.483	-0.407	-3.013	-0.376	1.35	0.531	0.393	176.689	8.564158757101336e-15	14.93223462152829	3.393169037720296	-3.393169037720296
646	237.9	238.65	-0.178	-0.171	0.054	-0.077	0.75	0.25	0.334	22.047	1.008137357894821e-14	14.86013997213256	3.04322517009518	3.04322517009518
668	235.05	236.7	-0.063	-0.185	-0.826	0.247	1.65	0.876	0.531	150.523	2.858479329759921e-14	14.21206222156124	1.408951678245093	-1.408951678245093
704	258.3	261.45	-0.651	-0.056	0.9360000000000001	-0.046	3.15	1.587	0.504	0.359	2.914624115563284e-14	14.19576467876223	1.386879502599588	1.386879502599588
726	209.1	211.2	-0.08500000000000001	-0.158	-0.607	0.212	2.1	0.64	0.305	144.693	2.928316300093432e-14	14.19180777504078	1.381601177186269	-1.381601177186269
726	213	214.05	-0.61	-0.289	-0.847	-0.059	1.05	0.33	0.315	135.816	2.928316300093432e-14	14.19180777504078	1.381601177186269	-1.381601177186269
729	208.2	209.1	-0.179	-0.115	-0.12	-0.152	0.9	0.07000000000000001	0.078	-32.753	8.777731411468172e-15	14.92171877117014	3.338417500604111	3.338417500604111
780	261.75	262.65	-0.66	-0.484	-1.049	-0.262	0.9	0.448	0.497	150.323	4.093416486874274e-14	13.87559573380512	1.042649577323947	-1.042649577323947
788	236.1	237.15	-0.3	0.006	-0.742	-0.293	1.05	0.534	0.508	-145.937	2.877489365045168e-14	14.20653090435865	1.401399987951093	-1.401399987951093
802	285.9	287.4	-0.183	0.075	-0.395	-0.07000000000000001	1.5	0.257	0.171	-145.637	1.278968933190934e-14	14.74354309717597	2.58327565650773	-2.58327565650773
828	258.3	260.25	-1.494	-0.081	-3.011	-0.123	1.95	1.518	0.778	-178.412	1.10734232781056e-14	14.81586976822093	2.854879863996269	-2.854879863996269
839	262.8	264.15	0.492	0.283	-0.196	0.073	1.35	0.719	0.533	-163.023	5.606467271846928e-14	13.50584380125186	0.7869106171657566	-0.7869106171657566
839	295.5	296.4	-1.012	-0.216	-1.671	0.07099999999999999	0.9	0.719	0.799	156.422	5.606467271846928e-14	13.50584380125186	0.7869106171657566	-0.7869106171657566
856	258.6	259.35	-0.261	-0.211	-0.597	-0.351	0.75	0.364	0.486	-157.332	2.236433436938424e-14	14.40164675570951	1.711248290490248	-1.711248290490248
861	242.4	244.2	-1.328	-0.092	-0.84	-0.11	1.8	0.488	0.271	-2.113	1.024405478137386e-14	14.85273958485882	3.010445111120889	3.010445111120889
861	250.05	252.6	-0.672	-0.013	-0.057	-0.051	2.55	0.616	0.242	-3.585	1.024405478137386e-14	14.85273958485882	3.010445111120889	3.010445111120889
861	254.4	258	0.032	0.05	1.021	0.041	3.6	0.989	0.275	-0.531	1.024405478137386e-14	14.85273958485882	3.010445111120889	3.010445111120889
861	259.2	261.9	1.103	-0.06	1.724	-0.013	2.7	0.623	0.231	4.311	1.024405478137386e-14	14.85273958485882	3.010445111120889	3.010445111120889
861	268.05	270.15	1.757	0.05	2.333	-0.175	2.1	0.618	0.294	-21.325	1.024405478137386e-14	14.85273958485882	3.010445111120889	3.010445111120889
861	316.5	322.2	1.909	-0.045	3.144	0.101	5.7	1.244	0.218	6.745	1.024405478137386e-14	14.85273958485882	3.010445111120889	3.010445111120889
861	326.55	331.2	3.644	0.123	4.92	-0.064	4.65	1.29	0.277	-8.346	1.024405478137386e-14	14.85273958485882	3.010445111120889	3.010445111120889
861	336.45	340.95	5.231	-0.002	6.184	0.016	4.5	0.953	0.212	1.095	1.024405478137386e-14	14.85273958485882	3.010445111120889	3.010445111120889
865	249.15	250.05	-0.005	-0.153	-0.415	-0.137	0.9	0.41	0.456	177.744	3.087339658350477e-14	14.14633611678077	1.323108896861548	-1.323108896861548
865	252.3	253.35	-0.54	-0.189	-0.6889999999999999	-0.188	1.05	0.149	0.142	179.577	3.087339658350477e-14	14.14633611678077	1.323108896861548	-1.323108896861548
865	285.15	286.35	-1.799	-0.246	-2.674	-0.746	1.2	1.007	0.84	-150.29	3.087339658350477e-14	14.14633611678077	1.323108896861548	-1.323108896861548
874	242.55	244.05	-0.506	-0.15	-0.9419999999999999	-0.031	1.5	0.452	0.301	164.641	3.410674194104288e-14	14.05639463699647	1.21814114880819	-1.21814114880819
874	246.3	247.2	-0.986	-0.117	-1.311	-0.222	0.9	0.341	0.379	-162.16	3.410674194104288e-14	14.05639463699647	1.21814114880819	-1.21814114880819
884	279.9	281.4	-0.136	-0.188	-0.909	-0.143	1.5	0.774	0.516	176.648	4.162248277408286e-14	13.85794723528861	1.027650640126685	-1.027650640126685
884	289.5	297.15	-0.997	-0.187	-3.225	0.073	7.65	2.243	0.293	173.366	4.162248277408286e-14	13.85794723528861	1.027650640126685	-1.027650640126685
884	305.1	308.4	-4.113	0.131	-2.467	0.371	3.3	1.663	0.504	8.263999999999999	4.162248277408286e-14	13.85794723528861	1.027650640126685	1.027650640126685
909	250.35	252.3	-0.067	0.168	0.458	0.487	1.95	0.615	0.315	31.351	3.558858814508723e-14	14.01618222486135	1.175333027597549	1.175333027597549
912	225.3	227.1	-0.887	-0.063	-1.827	-0.139	1.8	0.9429999999999999	0.524	-175.404	4.039591193368712e-14	13.88946369080113	1.054676041870602	-1.054676041870602
912	248.4	249.45	-2.216	-0.004	-2.611	-0.208	1.05	0.444	0.423	-152.705	4.039591193368712e-14	13.88946369080113	1.054676041870602	-1.054676041870602
912	252	252.9	-2.578	-0.263	-3.248	-0.242	0.9	0.67	0.745	178.131	4.039591193368712e-14	13.88946369080113	1.054676041870602	-1.054676041870602
916	240.3	241.2	-0.291	0.018	0.34	-0.2	0.9	0.668	0.742	-19.097	1.953093753545163e-14	14.49485688018343	1.898051036008444	1.898051036008444
926	250.95	251.7	-0.895	-0.124	-1.372	-0.18	0.75	0.48	0.64	-173.371	3.3527556083313e-14	14.0722762274766	1.235717035496572	-1.235717035496572
926	258.75	260.25	-2.978	-0.212	-3.89	-0.038	1.5	0.928	0.619	169.219	3.3527556083313e-14	14.0722762274766	1.235717035496572	-1.235717035496572
938	222.9	226.2	-0.294	-0.12	-0.878	-0.07000000000000001	3.3	0.586	0.178	175.102	1.98052692615056e-14	14.48560012479824	1.878130741450674	-1.878130741450674
946	234.15	234.9	-0.435	-1.398	0.12	-0.405	0.75	1.138	1.517	60.81	4.359080997309629e-14	13.80798769960711	0.9869662517445591	0.9869662517445591
953	322.8	323.85	-2.218	-0.024	-2.583	-0.018	1.05	0.365	0.348	179.009	2.650689179203252e-14	14.27344785877455	1.497157673960815	-1.497157673960815
953	328.35	329.55	-3.436	-0.041	-4.03	-0.333	1.2	0.662	0.552	-153.801	2.650689179203252e-14	14.27344785877455	1.497157673960815	-1.497157673960815
956	259.2	261.15	-0.765	-0.028	-0.162	0.003	1.95	0.604	0.31	2.871	1.703332802115257e-14	14.58180164042214	2.102113518094328	2.102113518094328
956	266.55	269.55	0.252	-0.08500000000000001	1.232	0.056	3	0.99	0.33	8.178000000000001	1.703332802115257e-14	14.58180164042214	2.102113518094328	2.102113518094328
956	279.3	284.85	2.097	-0.092	4.168	0.11	5.55	2.081	0.375	5.556	1.703332802115257e-14	14.58180164042214	2.102113518094328	2.102113518094328
956	286.2	289.35	4.404	0.1	5.22	-0.06900000000000001	3.15	0.833	0.265	-11.714	1.703332802115257e-14	14.58180164042214	2.102113518094328	2.102113518094328
956	315.45	319.05	4.99	-0.114	6.332	-0.096	3.6	1.342	0.373	0.763	1.703332802115257e-14	14.58180164042214	2.102113518094328	2.102113518094328
979	288.45	289.8	-0.1	-0.012	-0.609	0.185	1.35	0.546	0.404	158.886	1.862143666574764e-14	14.52594110682762	1.967372883112068	-1.967372883112068
980	207.3	208.8	-0.266	-0.246	-0.5	-0.252	1.5	0.234	0.156	-178.475	7.510772533973962e-15	14.98618698654756	3.696796997567827	-3.696796997567827
1014	277.8	283.05	-0.254	-0.076	-0.8149999999999999	-0.039	5.25	0.5620000000000001	0.107	176.237	2.606490660413985e-14	14.28673628365071	1.517374406876068	-1.517374406876068
1024	239.55	240.9	-0.177	-0.08699999999999999	0.103	0.001	1.35	0.294	0.218	17.571	1.63969113156125e-14	14.60481102983661	2.161765068402674	2.161765068402674
1027	314.1	321.75	-1.404	0.109	0.9370000000000001	-0.08699999999999999	7.65	2.349	0.307	-4.796	1.222533757477907e-14	14.76679116788314	2.666113900996467	2.666113900996467
1027	324.9	334.5	0.897	-0.06900000000000001	3.908	-0.404	9.6	3.03	0.316	-6.344	1.222533757477907e-14	14.76679116788314	2.666113900996467	2.666113900996467
1027	335.7	338.4	3.961	-0.429	4.736	-0.519	2.7	0.78	0.289	-6.662	1.222533757477907e-14	14.76679116788314	2.666113900996467	2.666113900996467
1027	341.25	343.05	4.888	-0.276	5.491	-0.452	1.8	0.628	0.349	-16.246	1.222533757477907e-14	14.76679116788314	2.666113900996467	2.666113900996467
1029	238.95	239.85	-0.406	-0.361	-0.8179999999999999	0.113	0.9	0.628	0.698	130.976	5.960094093606833e-14	13.42384047232103	0.743473305829397	-0.743473305829397
1036	242.25	246	-0.474	-0.21	-2.423	0.176	3.75	1.987	0.53	168.797	2.067413291441843e-14	14.45662565643944	1.817811510001998	-1.817811510001998
1036	267.9	269.1	-4.858	0.279	-5.423	0.315	1.2	0.5659999999999999	0.472	176.319	2.067413291441843e-14	14.45662565643944	1.817811510001998	-1.817811510001998
1036	274.8	276	-6.427	0.433	-6.96	0.372	1.2	0.536	0.447	-173.513	2.067413291441843e-14	14.45662565643944	1.817811510001998	-1.817811510001998
1036	279.75	281.55	-7.227	0.654	-8.472	0.461	1.8	1.26	0.7	-171.193	2.067413291441843e-14	14.45662565643944	1.817811510001998	-1.817811510001998
1036	282.6	285	-8.723000000000001	0.722	-10.258	0.551	2.4	1.545	0.644	-173.637	2.067413291441843e-14	14.45662565643944	1.817811510001998	-1.817811510001998
1045	242.85	243.9	0.277	-0.08799999999999999	-0.043	-0.005	1.05	0.331	0.315	165.473	2.29505155964643e-14	14.38297274880549	1.677229519301609	-1.677229519301609
1045	270.75	271.65	-0.382	-0.227	-0.654	0.08799999999999999	0.9	0.416	0.462	130.838	2.29505155964643e-14	14.38297274880549	1.677229519301609	-1.677229519301609
1045	273	273.75	-0.923	-0.188	-1.315	0.335	0.75	0.654	0.872	126.805	2.29505155964643e-14	14.38297274880549	1.677229519301609	-1.677229519301609
1045	312.3	313.65	-3.052	0.018	-3.718	0.106	1.35	0.672	0.498	172.52	2.29505155964643e-14	14.38297274880549	1.677229519301609	-1.677229519301609
1046	280.35	281.85	-0.569	-0.43	-2.027	0.209	1.5	1.592	1.061	156.333	3.706805054287327e-14	13.97660404140913	1.135437084946687	-1.135437084946687
1053	232.05	238.35	-0.024	-0.109	-0.848	-0.224	6.3	0.832	0.132	-172.037	3.461035649735586e-14	14.04266157080154	1.203253472145333	-1.203253472145333
1053	256.8	258.6	-1.219	-0.047	-2.132	-0.613	1.8	1.074	0.597	-148.187	3.461035649735586e-14	14.04266157080154	1.203253472145333	-1.203253472145333
1053	259.35	260.55	-2.236	-0.497	-3.027	-0.169	1.2	0.856	0.714	157.452	3.461035649735586e-14	14.04266157080154	1.203253472145333	-1.203253472145333
1056	243.15	249	-0.145	-0.171	2.279	-0.249	5.85	2.425	0.415	-1.857	2.37780964542542e-14	14.3569272822218	1.631493074967092	1.631493074967092
1058	392.4	399.9	-0.247	-0.229	3.5	-0.134	7.5	3.748	0.5	1.454	2.108722548340272e-14	14.44302543229826	1.790519602268506	1.790519602268506
1066	310.05	312.6	-0.123	-0.031	0.658	0.055	2.55	0.786	0.308	6.315	2.545462201595895e-14	14.30522709741291	1.546214449568664	1.546214449568664
1071	249.45	250.5	-0.785	0.154	-1.185	-0.294	1.05	0.601	0.572	-131.765	1.877950092206814e-14	14.52049400142846	1.954947067492589	-1.954947067492589
1071	258.75	259.8	-1.377	-0.063	-1.87	0.127	1.05	0.528	0.503	158.913	1.877950092206814e-14	14.52049400142846	1.954947067492589	-1.954947067492589
1071	273.9	275.25	-2.002	-0.083	-2.665	-0.058	1.35	0.663	0.491	177.82	1.877950092206814e-14	14.52049400142846	1.954947067492589	-1.954947067492589
1076	283.35	285.6	0.014	-0.169	-0.511	-0.077	2.25	0.533	0.237	170.015	3.058853030885557e-14	14.15441785153476	1.333221580878654	-1.333221580878654
1076	307.8	309.6	-0.773	-0.105	-1.063	-0.171	1.8	0.297	0.165	-167.194	3.058853030885557e-14	14.15441785153476	1.333221580878654	-1.333221580878654
1077	312.6	313.95	-0.255	0.137	-1.814	-0.236	1.35	1.603	1.187	-166.531	3.278985438386894e-14	14.09264462894199	1.258839959678702	-1.258839959678702
1096	316.5	319.5	-0.639	-0.128	0.88	-0.0009	3	1.524	0.508	4.774	1.925616021651162e-14	14.50418299642752	1.918450606664953	1.918450606664953
1096	320.4	323.4	0.881	-0.214	2.185	-0.169	3	1.305	0.435	1.985	1.925616021651162e-14	14.50418299642752	1.918450606664953	1.918450606664953
1138	302.85	303.6	-0.225	0.046	-0.515	0.121	0.75	0.3	0.399	165.53	2.465780883687127e-14	14.32962846467369	1.585585903059478	-1.585585903059478
1147	300.6	304.65	-2.245	-0.541	-0.763	-0.9340000000000001	4.05	1.533	0.379	-14.835	1.28109026989265e-14	14.74267863949822	2.580271514224353	2.580271514224353
1147	308.85	310.65	-0.163	-1.078	0.648	-0.996	1.8	0.8149999999999999	0.453	5.775	1.28109026989265e-14	14.74267863949822	2.580271514224353	2.580271514224353
1159	217.5	218.7	-0.218	0.193	0.136	-0.127	1.2	0.477	0.398	-42.132	3.373577782763241e-14	14.0665557041868	1.229341192237668	1.229341192237668
1165	283.5	286.05	-0.5600000000000001	0.037	-2.28	0.098	2.55	1.721	0.675	177.994	1.528902701226592e-14	14.64581848987427	2.274705773242931	-2.274705773242931
1165	286.5	287.7	-2.291	0.066	-2.8	-0.205	1.2	0.576	0.48	-152.008	1.528902701226592e-14	14.64581848987427	2.274705773242931	-2.274705773242931
1165	301.8	303.6	-3.859	-0.033	-5.052	-0.076	1.8	1.194	0.663	-177.907	1.528902701226592e-14	14.64581848987427	2.274705773242931	-2.274705773242931
1170	273	275.85	-0.233	-0.053	-1.795	-0.209	2.85	1.57	0.551	-174.323	2.275794911140862e-14	14.38908617520197	1.688250978319301	-1.688250978319301
1170	286.05	289.8	-1.965	0.021	-4.181	-0.089	3.75	2.219	0.592	-177.154	2.275794911140862e-14	14.38908617520197	1.688250978319301	-1.688250978319301
1182	287.25	288	-0.114	0.003	0.067	-0.113	0.75	0.215	0.286	-32.504	1.76838417881195e-14	14.55866264620676	2.044633180090735	2.044633180090735
1185	260.85	262.2	-0.092	-0.023	0.384	-0.216	1.35	0.514	0.38	-22.055	2.526129089798754e-14	14.31112017831048	1.555583739446245	1.555583739446245
1187	271.95	272.85	0.007	-0.093	-1.014	-0.045	0.9	1.022	1.136	177.291	2.346272979529405e-14	14.36680959282892	1.648617927825016	-1.648617927825016
1190	209.7	210.75	0.768	0.307	0.171	-0.336	1.05	0.877	0.835	-132.884	4.867370771105804e-14	13.68211824910954	0.8949216817058405	-0.8949216817058405
1190	212.85	214.05	-0.286	0.002	-0.894	-0.416	1.2	0.738	0.615	-145.451	4.867370771105804e-14	13.68211824910954	0.8949216817058405	-0.8949216817058405
1190	327	328.35	-4.161	0.013	-5.142	0.095	1.35	0.984	0.729	175.218	4.867370771105804e-14	13.68211824910954	0.8949216817058405	-0.8949216817058405
1192	245.25	247.2	-0.707	-0.222	0.168	-0.017	1.95	0.899	0.461	13.173	4.042490526891757e-14	13.8887151573293	1.054021404636104	1.054021404636104
1192	273	280.05	1.683	-0.053	4.539	0.058	7.05	2.858	0.405	2.225	4.042490526891757e-14	13.8887151573293	1.054021404636104	1.054021404636104
1201	280.5	281.85	-0.242	-0.261	0.638	-0.151	1.35	0.887	0.657	7.162	2.331939522578318e-14	14.37131840099702	1.656523269502987	1.656523269502987
1201	285.6	286.65	0.9419999999999999	0.183	1.439	0.198	1.05	0.497	0.474	1.687	2.331939522578318e-14	14.37131840099702	1.656523269502987	1.656523269502987
1226	224.1	224.85	-0.163	-0.183	-0.395	-0.457	0.75	0.359	0.479	-130.213	2.506530259587183e-14	14.31711203145279	1.565200117493961	-1.565200117493961
1228	241.8	246	-1.152	-0.033	-3.132	0.195	4.2	1.993	0.475	173.434	5.074464862381e-14	13.63198934938687	0.8619506971772871	-0.8619506971772871
1228	247.5	249.45	-3.305	0.198	-4.252	0.319	1.95	0.955	0.49	172.709	5.074464862381e-14	13.63198934938687	0.8619506971772871	-0.8619506971772871
1235	287.25	295.35	0.346	-0.103	3.824	-0.04	8.1	3.479	0.429	1.042	3.842929909274468e-14	13.94065764922839	1.100994958562953	1.100994958562953
1252	271.8	273	-0.718	-0.296	-1.586	-0.058	1.2	0.9	0.75	164.669	4.942732668503212e-14	13.6638044597992	0.8826511544479745	-0.8826511544479745
1270	223.95	225.45	-0.252	-0.159	0.02	-0.076	1.5	0.284	0.19	16.965	9.652568398437491e-15	14.87993266867429	3.133619024467402	3.133619024467402
1282	224.7	225.9	-0.267	0.015	0.334	-0.375	1.2	0.716	0.597	-32.969	1.463078153429825e-14	14.67080732817677	2.34801981833722	2.34801981833722
1284	277.65	278.55	0.534	-0.226	0.8120000000000001	-0.127	0.9	0.295	0.328	19.63	2.089161322422078e-14	14.44945188942472	1.803336666158427	1.803336666158427
1284	286.35	289.2	1.001	0.269	2.425	0.424	2.85	1.432	0.503	6.191	2.089161322422078e-14	14.44945188942472	1.803336666158427	1.803336666158427
1302	205.35	206.1	-0.123	-0.468	-0.4	-0.275	0.75	0.338	0.45	145.13	5.163174609607375e-14	13.61070117675707	0.84852034531401	-0.84852034531401
1313	235.05	235.95	-0.068	-0.383	-0.471	-0.534	0.9	0.43	0.478	-159.524	6.953731616300207e-14	13.19986416949428	0.6422791968365401	-0.6422791968365401
1314	247.8	249.3	-0.595	-0.169	-1.624	-0.187	1.5	1.029	0.6860000000000001	-178.98	4.937404280751786e-14	13.66509657386252	0.8835082458737475	-0.8835082458737475
1323	272.4	273.3	-0.366	0.215	-0.089	-0.237	0.9	0.531	0.59	-58.527	3.707153360735535e-14	13.97651150359277	1.135346280631461	1.135346280631461
1323	287.1	288.15	0.874	0.236	1.196	0.025	1.05	0.385	0.367	-33.204	3.707153360735535e-14	13.97651150359277	1.135346280631461	1.135346280631461
1330	361.5	362.4	-1.633	-0.13	-2.686	-0.466	0.9	1.105	1.228	-162.303	5.086197102017625e-14	13.62916770624035	0.8601515237789185	-0.8601515237789185
1339	222.15	223.5	0.105	-0.629	0.756	0.272	1.35	1.111	0.823	54.139	1.085838599376731e-13	12.3761170936638	0.4089614440965659	0.4089614440965659
1340	278.1	279.15	0.041	-0.14	-0.536	-0.149	1.05	0.577	0.55	-179.092	3.810059242557915e-14	13.94929816708207	1.109124234611126	-1.109124234611126
1364	261.9	262.95	-0.222	-0.016	0.131	-0.158	1.05	0.38	0.362	-21.817	6.313795732525354e-14	13.34310431393163	0.7042749002377036	0.7042749002377036
1394	255.75	260.25	-0.672	-0.056	1.04	0.01	4.5	1.713	0.381	2.2	2.309968492102338e-14	14.37825103973505	1.668792710889898	1.668792710889898
1459	276.9	278.55	-0.414	0.328	-1.387	-0.843	1.65	1.522	0.923	-129.727	1.095574284072746e-13	12.356265475742	0.4050808566041962	-0.4050808566041962
1474	245.7	246.45	-1.066	-0.274	-1.681	-0.27	0.75	0.615	0.82	179.615	5.102376419976472e-14	13.62527964465585	0.8576819742460637	-0.8576819742460637
1477	236.7	237.45	-0.013	-0.091	-0.19	0.057	0.75	0.231	0.308	140.103	6.048948699599877e-14	13.40344338537504	0.7332523615265494	-0.7332523615265494
1500	269.25	270.45	-0.036	-0.295	-0.598	-0.235	1.2	0.5649999999999999	0.471	173.904	1.191758852621832e-14	14.77968055528555	2.713802140073609	-2.713802140073609
1500	291.45	292.2	-1.132	0.253	-1.337	0.256	0.75	0.205	0.273	179.2	1.191758852621832e-14	14.77968055528555	2.713802140073609	-2.713802140073609
1504	270.3	271.05	-0.079	0.056	0.205	0.042	0.75	0.284	0.379	-2.91	5.59672065972222e-14	13.50812362048775	0.7881747142544947	0.7881747142544947
1504	272.25	273	0.197	-0.106	0.61	0.01	0.75	0.429	0.572	15.75	5.59672065972222e-14	13.50812362048775	0.7881747142544947	0.7881747142544947
1530	240.6	241.35	0.044	-0.169	0.236	-0.205	0.75	0.195	0.26	-10.505	1.28269815858013e-14	14.74202385715007	2.577999581143184	2.577999581143184
1555	298.5	299.25	-0.498	-0.154	-1.052	0.16	0.75	0.637	0.849	150.446	4.024192231271953e-14	13.89344225102953	1.058166171772541	-1.058166171772541
1581	262.35	264	0.192	-0.089	-1.018	-0.291	1.65	1.227	0.743	-170.526	1.445807388561984e-13	11.65068465551941	0.2976078997938632	-0.2976078997938632
1623	232.2	234.75	-1.389	-0.061	-0.63	0.016	2.55	0.763	0.299	5.735	9.222000242695115e-14	12.71358772630014	0.4851380102704684	0.4851380102704684
1623	277.5	279	0.403	-0.5600000000000001	0.855	0.082	1.5	0.785	0.523	54.83	9.222000242695115e-14	12.71358772630014	0.4851380102704684	0.4851380102704684
1627	281.4	282.6	-1.612	0.142	-2.323	-0.999	1.2	1.345	1.121	-121.921	1.444039169600002e-14	14.67812836143196	2.37018457130138	-2.37018457130138
