 	trajectory	start	end
1	17	187.350	259.500
2	37	177.450	220.950
3	68	183.750	223.200
4	79	190.800	245.550
5	81	201.600	306.900
6	84	182.400	241.350
7	86	192.150	211.050
8	93	183.750	225.450
9	134	173.700	184.650
10	137	176.100	224.550
11	153	174.450	239.250
12	176	179.250	264.750
13	305	176.850	204.750
14	306	236.700	261.150
15	311	176.550	282.000
16	316	174.000	211.050
17	318	177.600	282.750
18	322	178.350	237.900
19	332	185.100	289.800
20	379	200.850	297.000
21	405	184.350	270.150
22	413	177.750	220.350
23	418	192.900	295.950
24	433	177.750	226.350
25	442	179.550	243.750
26	448	187.650	242.550
27	461	185.250	228.750
28	496	176.400	214.650
29	498	277.950	350.400
30	521	194.550	336.000
31	530	178.200	224.250
32	539	187.350	335.850
33	555	179.250	223.950
34	557	190.350	279.750
35	577	178.050	234.600
36	582	180.900	237.450
37	583	203.550	293.250
38	593	186.150	237.450
39	600	317.100	360.300
40	601	180.900	253.650
41	613	183.000	223.950
42	650	219.000	282.600
43	657	179.250	274.200
44	667	250.650	313.050
45	669	175.050	222.300
46	679	191.550	261.300
47	683	219.300	288.000
48	686	178.200	232.650
49	696	201.150	317.850
50	702	220.050	262.350
51	727	201.900	231.750
52	735	193.650	225.000
53	763	184.950	225.600
54	768	209.100	291.600
55	776	206.100	306.450
56	783	185.250	207.750
57	795	178.800	251.100
58	798	178.650	242.550
59	801	179.400	289.500
60	803	183.000	246.750
61	807	182.250	267.300
62	816	179.700	221.250
63	817	175.050	201.150
64	822	173.400	211.500
65	823	176.250	237.000
66	827	180.900	293.850
67	837	183.600	274.050
68	844	178.200	274.200
69	856	181.200	283.050
70	859	171.300	196.500
71	863	171.900	233.400
72	864	190.200	322.200
73	870	178.350	283.200
74	872	185.250	270.450
75	873	181.500	258.900
76	879	177.600	250.500
77	884	190.650	326.400
78	904	181.050	239.700
79	905	172.650	212.700
80	915	178.200	303.300
81	919	181.650	274.350
82	923	182.700	256.950
83	935	186.000	294.900
84	948	203.550	317.250
85	962	194.550	271.500
86	964	171.300	197.700
87	969	178.950	250.950
88	981	177.150	216.900
89	987	172.950	197.700
90	989	190.050	326.700
91	990	176.700	226.800
92	991	174.900	276.600
93	993	173.550	250.800
94	1029	255.150	286.350
95	1045	189.150	330.600
96	1046	172.050	202.500
97	1048	184.800	294.600
98	1056	179.250	240.900
99	1064	217.500	319.950
100	1069	171.750	228.300
101	1078	180.150	247.650
102	1085	177.450	263.550
103	1087	179.550	263.400
104	1107	181.050	188.850
105	1152	177.150	274.200
106	1154	187.650	291.600
107	1159	178.050	249.150
108	1177	180.000	267.300
109	1267	181.350	232.050
110	1281	305.700	337.950
111	1288	185.250	258.750
112	1309	184.800	248.700
113	1330	201.900	324.900
114	1340	203.250	276.000
115	1392	205.950	258.300
116	1409	262.050	343.050
117	1421	207.900	322.500
118	1423	184.800	276.300
119	1474	182.250	285.900
120	1482	222.450	235.200
121	1527	172.350	221.850
122	1533	186.900	240.750
123	1555	180.900	240.450
124	1648	234.600	285.450
125	1649	193.950	241.050
126	1663	179.400	294.150
127	1683	192.150	276.900
128	1719	191.700	254.250
129	1729	186.450	240.900
130	1751	181.650	254.850
131	1759	175.650	236.550
132	1765	180.150	265.050
133	1776	191.250	270.750
134	1777	192.450	282.150
135	1817	178.800	220.650
136	1825	193.350	279.900
137	1827	178.200	220.200
138	1831	243.300	301.200
139	1851	197.400	347.400
140	1868	196.500	306.300
141	1889	188.400	236.700
142	1977	189.600	288.750
143	2032	196.800	235.350
144	2033	201.750	283.200
145	2040	186.150	234.300
146	2048	210.450	259.200
147	2090	256.800	277.050
148	2100	210.450	270.900
149	2106	201.300	258.900
150	2123	206.550	241.200
151	2140	243.600	310.200
152	2154	255.000	282.300
153	2169	214.800	241.350
154	2187	214.650	226.500
155	2191	238.350	247.950
156	2201	223.650	276.600
157	2215	251.550	312.150
158	2221	237.150	271.650
159	2235	232.050	250.050
160	2242	235.950	259.350
161	2248	240.750	295.350
162	2259	235.350	247.800
163	2269	233.550	272.700
164	2271	239.700	299.100
165	2272	236.850	263.700
166	2285	274.800	350.850
167	2288	248.400	271.050
168	2298	239.700	256.650
169	2299	243.300	287.850
170	2315	244.200	261.000
171	2335	259.650	298.200
172	2338	258.750	327.750
173	2350	253.950	269.550
174	2354	259.200	295.050
175	2363	261.900	305.550
176	2375	268.350	338.400
177	2380	265.500	328.200
178	2387	263.850	284.100
179	2389	306.900	349.950
180	2411	273.450	298.350
181	2451	286.950	299.700
182	2458	291.150	304.500
183	2476	312.600	357.000
184	2482	300.300	324.300
185	2501	306.600	318.150
186	2504	332.700	374.700
187	2593	363.600	382.950
