 	trajectory	start	end
1	2	209.850	247.350
2	5	215.700	274.500
3	22	217.950	331.050
4	27	179.850	267.450
5	34	238.650	272.250
6	40	194.100	315.150
7	57	173.550	195.750
8	63	174.600	198.450
9	65	191.250	209.250
10	70	174.300	218.850
11	82	367.650	396.150
12	84	190.800	318.450
13	85	179.400	249.750
14	117	291.150	342.150
15	120	171.450	266.250
16	125	194.850	233.250
17	134	183.300	229.800
18	139	196.650	242.400
19	147	176.700	194.550
20	151	172.950	189.300
21	154	183.300	269.100
22	160	225.000	258.000
23	190	170.100	219.300
24	212	175.050	233.400
25	233	170.550	223.950
26	242	177.150	267.600
27	251	191.700	259.350
28	257	172.050	250.950
29	259	174.600	231.600
30	262	188.550	327.750
31	267	282.750	334.200
32	276	210.300	251.400
33	278	173.850	198.300
34	289	260.700	288.900
35	302	182.250	273.900
36	304	186.900	266.400
37	306	178.500	238.200
38	307	172.500	280.650
39	314	187.200	262.350
40	365	181.950	225.450
41	368	179.850	252.900
42	378	187.800	286.800
43	383	174.000	207.450
44	384	199.050	225.450
45	392	174.750	258.600
46	394	204.150	291.000
47	397	290.400	316.350
48	401	171.000	206.400
49	405	197.850	255.600
50	411	183.300	247.350
51	412	246.300	283.800
52	433	235.350	333.450
53	440	187.200	247.650
54	447	190.800	243.300
55	457	178.950	240.900
56	464	192.750	266.550
57	471	193.500	227.850
58	489	172.200	257.550
59	495	181.350	289.200
60	500	225.900	265.950
61	504	232.350	341.850
62	513	176.250	283.200
63	523	265.950	358.050
64	527	177.450	212.100
65	536	189.900	229.650
66	543	179.100	197.850
67	544	172.050	193.350
68	546	183.300	252.900
69	548	250.950	354.150
70	576	170.550	204.750
71	580	201.600	258.900
72	603	276.150	349.650
73	605	178.200	222.750
74	609	178.050	251.100
75	614	176.700	226.800
76	618	185.250	277.200
77	633	225.150	286.800
78	638	209.100	246.000
79	643	255.000	273.000
80	659	178.200	255.600
81	662	178.500	247.200
82	667	188.700	274.800
83	683	175.350	233.250
84	684	170.250	181.350
85	685	171.000	204.300
86	692	176.100	248.850
87	694	171.750	228.150
88	696	176.700	261.750
89	706	187.650	266.550
90	707	189.450	327.300
91	709	175.050	204.450
92	724	174.000	223.500
93	731	178.650	269.400
94	742	170.700	193.350
95	756	195.450	213.600
96	771	180.150	345.450
97	798	186.450	284.550
98	804	183.450	222.150
99	806	179.550	226.500
100	807	193.350	245.400
101	822	208.800	279.750
102	833	184.350	265.950
103	843	175.200	206.100
104	860	237.750	297.900
105	861	194.700	282.750
106	877	189.150	307.200
107	880	197.550	345.300
108	883	202.350	219.450
109	899	186.450	235.350
110	907	178.200	218.400
111	908	175.200	210.300
112	913	183.750	229.800
113	918	264.900	318.600
114	947	173.550	267.300
115	953	252.450	311.400
116	957	175.500	218.550
117	963	170.250	207.300
118	966	184.500	250.050
119	969	186.150	231.450
120	974	188.550	294.450
121	991	194.700	323.100
122	995	177.900	217.950
123	998	177.450	210.150
124	1003	189.150	271.650
125	1018	216.900	237.450
126	1029	179.400	227.250
127	1032	174.600	210.600
128	1037	187.200	237.150
129	1038	190.800	247.050
130	1053	253.200	310.200
131	1058	175.050	214.800
132	1060	180.000	279.450
133	1063	172.350	200.100
134	1067	180.150	207.900
135	1072	190.950	214.350
136	1081	245.100	276.450
137	1087	172.050	213.450
138	1101	174.000	214.950
139	1102	176.850	212.850
140	1111	188.700	262.800
141	1113	187.650	211.950
142	1134	182.850	234.600
143	1139	256.350	310.200
144	1147	174.000	201.750
145	1150	176.100	202.800
146	1157	200.550	261.750
147	1179	190.950	278.850
148	1188	186.300	213.900
149	1211	190.050	241.500
150	1225	198.300	292.800
151	1226	178.650	223.350
152	1229	176.700	205.950
153	1261	175.200	218.550
154	1265	180.600	232.350
155	1268	182.850	247.050
156	1273	190.350	246.600
157	1289	223.200	252.000
158	1337	185.550	285.000
159	1347	197.100	295.650
160	1388	185.850	247.050
161	1406	198.900	253.650
162	1426	266.700	317.700
163	1455	178.350	240.300
164	1525	178.650	255.600
165	1532	224.100	262.200
166	1579	227.250	277.650
167	1594	181.350	279.000
168	1625	186.900	240.600
169	1626	182.100	235.350
170	1663	200.400	288.600
171	1698	202.650	249.900
172	1722	216.450	267.750
173	1741	221.250	241.800
174	1749	257.100	301.500
175	1776	260.550	317.250
176	1780	234.150	243.300
177	1783	235.200	253.200
178	1788	237.900	283.800
179	1798	244.650	255.900
180	1802	252.900	290.400
181	1820	260.100	294.150
182	1822	311.550	322.350
183	1858	283.650	300.900
184	1871	291.300	303.300
185	1878	320.850	332.700
