trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)
58.0000   	130.9500  	132.4500  	-0.8540   	0.1810    	-0.4370   	0.2380    	1.5000    	0.4210    	0.2810    	7.8490    
58.0000   	133.8000  	136.6500  	-0.2790   	0.0490    	1.0080    	0.2590    	2.8500    	1.3040    	0.4580    	9.2930    
58.0000   	138.6000  	139.6500  	1.3520    	0.0970    	2.0390    	0.2780    	1.0500    	0.7100    	0.6770    	14.7650   
58.0000   	140.5500  	141.9000  	2.3380    	0.0170    	3.3690    	0.0010    	1.3500    	1.0310    	0.7640    	-0.9100   
58.0000   	143.5500  	145.0500  	3.9310    	0.0240    	4.7370    	0.2030    	1.5000    	0.8260    	0.5500    	12.5250   
96.0000   	143.1000  	143.8500  	0.0130    	0.1000    	0.2960    	0.0920    	0.7500    	0.2830    	0.3770    	-1.5650   
180.0000  	163.8000  	166.6500  	-0.1720   	0.2190    	0.7230    	0.4270    	2.8500    	0.9190    	0.3220    	13.0370   
180.0000  	168.1500  	171.7500  	0.9200    	0.4560    	2.4070    	0.9310    	3.6000    	1.5610    	0.4340    	17.6960   
187.0000  	139.3500  	140.5500  	-0.4280   	0.1660    	0.0220    	0.2940    	1.2000    	0.4680    	0.3900    	15.8420   
187.0000  	142.2000  	145.3500  	0.2530    	0.0330    	1.6000    	0.1720    	3.1500    	1.3540    	0.4300    	5.8830    
218.0000  	149.8500  	151.3500  	-0.9490   	-0.0820   	-1.9400   	-0.1840   	1.5000    	0.9960    	0.6640    	-174.1200 
223.0000  	232.5000  	233.7000  	-0.2220   	-0.0860   	0.4190    	0.0560    	1.2000    	0.6560    	0.5470    	12.4630   
282.0000  	123.7500  	124.8000  	-0.0080   	0.2960    	-0.7740   	-0.0570   	1.0500    	0.8430    	0.8030    	-155.2610 
299.0000  	224.4000  	229.6500  	1.7250    	-0.0680   	2.2140    	0.0710    	5.2500    	0.5080    	0.0970    	15.8630   
350.0000  	128.2500  	129.3000  	-0.2000   	-0.3150   	-0.5090   	0.0170    	1.0500    	0.4530    	0.4320    	132.9580  
354.0000  	193.3500  	194.1000  	-0.1940   	0.0350    	0.0001    	0.0160    	0.7500    	0.1950    	0.2600    	-5.7670   
354.0000  	194.7000  	195.6000  	0.0150    	0.0530    	0.3120    	0.1140    	0.9000    	0.3030    	0.3370    	11.7300   
370.0000  	124.5000  	128.4000  	0.8420    	0.1460    	1.9670    	0.0760    	3.9000    	1.1270    	0.2890    	-3.5290   
381.0000  	125.5500  	126.7500  	-0.2660   	0.4440    	0.1020    	-0.0220   	1.2000    	0.5930    	0.4950    	-51.6740  
402.0000  	141.7500  	144.4500  	-0.8410   	-0.1160   	0.4140    	0.2770    	2.7000    	1.3150    	0.4870    	17.4130   
402.0000  	149.4000  	157.9500  	0.6290    	0.2110    	4.9720    	-0.1370   	8.5500    	4.3570    	0.5100    	-4.5700   
402.0000  	160.6500  	161.7000  	5.4880    	0.2510    	6.0040    	-0.2830   	1.0500    	0.7430    	0.7070    	-45.9980  
402.0000  	165.9000  	167.2500  	6.9780    	-0.0660   	7.7700    	-0.3970   	1.3500    	0.8580    	0.6360    	-22.6980  
425.0000  	120.3000  	121.8000  	-0.3010   	0.1110    	0.2300    	-0.0410   	1.5000    	0.5520    	0.3680    	-16.0030  
479.0000  	121.3500  	126.0000  	-1.1350   	-0.1160   	0.6700    	0.1130    	4.6500    	1.8200    	0.3910    	7.2430    
479.0000  	153.9000  	156.3000  	8.5840    	0.2700    	9.8580    	-0.0040   	2.4000    	1.3030    	0.5430    	-12.1320  
489.0000  	212.2500  	213.7500  	-0.0740   	0.2500    	0.5960    	-0.1120   	1.5000    	0.7620    	0.5080    	-28.3810  
491.0000  	188.8500  	190.5000  	-0.0040   	0.1190    	0.4780    	0.0680    	1.6500    	0.4850    	0.2940    	-6.0070   
515.0000  	193.8000  	197.5500  	-0.1840   	0.0140    	1.5020    	0.1880    	3.7500    	1.6950    	0.4520    	5.8910    
515.0000  	200.2500  	202.2000  	-0.4870   	-0.1400   	0.4610    	0.0590    	1.9500    	0.9690    	0.4970    	11.8340   
515.0000  	203.8500  	205.6500  	0.8890    	0.1340    	1.6980    	0.4210    	1.8000    	0.8580    	0.4770    	19.5330   
543.0000  	176.1000  	176.8500  	-0.1930   	0.2580    	0.0630    	0.1140    	0.7500    	0.2940    	0.3910    	-29.3080  
