trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)
89.0000   	149.2500  	150.3000  	0.0240    	-0.0730   	0.1600    	-0.0170   	1.0500    	0.1470    	0.1400    	22.4090   
188.0000  	120.0000  	120.7500  	0.0270    	-0.3120   	0.2030    	-0.2020   	0.7500    	0.2080    	0.2770    	32.0920   
209.0000  	141.3000  	142.5000  	0.0780    	-0.2250   	0.3470    	0.0030    	1.2000    	0.3530    	0.2940    	40.3350   
395.0000  	117.1500  	117.9000  	-0.0460   	-0.2200   	-0.3060   	-0.0170   	0.7500    	0.3290    	0.4390    	141.9850  
395.0000  	118.8000  	119.7000  	-0.4460   	-0.0590   	-0.7630   	-0.2100   	0.9000    	0.3510    	0.3900    	-154.4970 
430.0000  	117.3000  	118.0500  	0.0800    	-0.2300   	-0.2940   	-0.5050   	0.7500    	0.4650    	0.6200    	-143.6860 
450.0000  	121.0500  	121.8000  	0.0420    	-0.1660   	-0.1250   	-0.1140   	0.7500    	0.1740    	0.2330    	162.5090  
463.0000  	132.0000  	132.7500  	-0.3920   	-0.1020   	0.3700    	-0.1120   	0.7500    	0.7620    	1.0160    	-0.7640   
516.0000  	117.1500  	117.9000  	0.1090    	-0.0260   	-0.4100   	-0.8010   	0.7500    	0.9320    	1.2420    	-123.8030 
705.0000  	131.2500  	132.7500  	-0.0060   	-0.1320   	0.2430    	0.0040    	1.5000    	0.2840    	0.1890    	28.4660   
890.0000  	121.8000  	122.5500  	0.0180    	0.2210    	0.0770    	0.0820    	0.7500    	0.1510    	0.2020    	-66.9880  
936.0000  	113.2500  	114.1500  	-0.0930   	0.0950    	0.1410    	-0.1460   	0.9000    	0.3350    	0.3730    	-45.8410  
1219.0000 	166.3500  	167.4000  	-0.0430   	-0.1270   	0.2480    	-0.0380   	1.0500    	0.3040    	0.2900    	16.8890   
1235.0000 	156.3000  	160.6500  	1.9380    	0.0920    	-0.4590   	-0.1480   	4.3500    	2.4090    	0.5540    	-174.2860 
1235.0000 	163.9500  	165.4500  	-1.6430   	-0.2510   	-2.3820   	-0.1450   	1.5000    	0.7470    	0.4980    	171.8200  
1235.0000 	203.2500  	204.1500  	-4.6510   	-0.1990   	-5.4670   	-0.1580   	0.9000    	0.8170    	0.9080    	177.1260  
1248.0000 	198.3000  	200.4000  	0.1180    	-0.0950   	-0.4740   	0.2060    	2.1000    	0.6640    	0.3160    	153.0870  
1313.0000 	136.2000  	137.2500  	0.2800    	0.1670    	-0.4300   	0.1800    	1.0500    	0.7110    	0.6770    	178.9720  
1369.0000 	215.8500  	217.9500  	-0.8830   	0.0800    	-0.6080   	-0.0110   	2.1000    	0.2900    	0.1380    	-18.1970  
1369.0000 	230.2500  	231.1500  	-0.1280   	0.0490    	-0.0420   	-0.0760   	0.9000    	0.1520    	0.1690    	-55.3330  
1369.0000 	234.4500  	235.2000  	0.1570    	0.0580    	0.2590    	-0.0290   	0.7500    	0.1340    	0.1780    	-40.0760  
1503.0000 	143.7000  	145.3500  	2.4540    	-0.1390   	1.5230    	-0.0760   	1.6500    	0.9330    	0.5660    	176.1240  
1503.0000 	178.5000  	182.2500  	1.4590    	0.1620    	-0.6510   	-0.2080   	3.7500    	2.1420    	0.5710    	-170.0720 
1519.0000 	189.9000  	191.5500  	-0.3230   	0.2110    	-0.0130   	0.0660    	1.6500    	0.3430    	0.2080    	-25.0050  
1519.0000 	195.3000  	196.3500  	0.2590    	0.3440    	0.3860    	0.1180    	1.0500    	0.2590    	0.2470    	-60.8050  
1519.0000 	206.4000  	207.1500  	0.7550    	0.0550    	0.8750    	0.1550    	0.7500    	0.1560    	0.2080    	39.7330   
1653.0000 	242.1000  	245.7000  	-1.0320   	0.1060    	-0.1600   	0.0340    	3.6000    	0.8750    	0.2430    	-4.7150   
1653.0000 	257.8500  	260.1000  	1.1230    	-0.0620   	1.7500    	0.0820    	2.2500    	0.6430    	0.2860    	12.9220   
1656.0000 	236.4000  	237.1500  	-0.3410   	0.0830    	0.0210    	-0.1590   	0.7500    	0.4350    	0.5800    	-33.7750  
1656.0000 	241.0500  	242.2500  	0.6720    	0.2200    	1.2160    	-0.0080   	1.2000    	0.5900    	0.4920    	-22.7690  
1667.0000 	212.5500  	215.1000  	2.3710    	-0.9650   	-0.0220   	0.5930    	2.5500    	2.8560    	1.1200    	146.9470  
1687.0000 	218.8500  	220.2000  	-0.8180   	0.1260    	-0.5920   	0.1010    	1.3500    	0.2270    	0.1680    	-6.4140   
