trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)
37.0000   	258.0000  	259.5000  	0.3780    	-0.2070   	0.6750    	-0.0980   	1.5000    	0.3160    	0.2110    	20.1120   
68.0000   	241.6500  	242.5500  	0.0890    	-0.0850   	0.4600    	-0.0120   	0.9000    	0.3780    	0.4200    	11.1390   
68.0000   	243.0000  	243.7500  	0.6440    	-0.1110   	1.1190    	0.0300    	0.7500    	0.4950    	0.6610    	16.5200   
79.0000   	271.9500  	272.7000  	0.0200    	-0.3750   	-0.1270   	-0.3380   	0.7500    	0.1510    	0.2020    	166.0220  
84.0000   	279.6000  	287.1000  	-0.1880   	-0.2480   	1.3000    	-0.1260   	7.5000    	1.4930    	0.1990    	4.6810    
86.0000   	245.2500  	246.0000  	-0.2590   	-0.1140   	-0.5170   	0.0080    	0.7500    	0.2850    	0.3800    	154.7050  
86.0000   	256.8000  	258.0000  	-1.7680   	-0.1860   	-2.1920   	-0.1290   	1.2000    	0.4280    	0.3570    	172.2730  
93.0000   	258.0000  	258.7500  	-1.5510   	-0.1910   	-1.8230   	-0.4480   	0.7500    	0.3740    	0.4990    	-136.6410 
126.0000  	238.5000  	239.7000  	-0.0980   	-0.4100   	-0.9590   	-0.2170   	1.2000    	0.8820    	0.7350    	167.3740  
137.0000  	256.5000  	257.4000  	-1.2540   	0.2940    	-1.6110   	0.1690    	0.9000    	0.3780    	0.4200    	-160.7520 
153.0000  	224.7000  	225.4500  	-0.4160   	-0.1530   	-0.7900   	-0.1470   	0.7500    	0.3740    	0.4990    	179.0990  
153.0000  	235.0500  	235.8000  	-1.1550   	0.0160    	-1.3740   	-0.1770   	0.7500    	0.2920    	0.3900    	-138.5570 
153.0000  	237.4500  	238.8000  	-1.3790   	-0.2770   	-1.7840   	-0.0240   	1.3500    	0.4780    	0.3540    	148.0080  
227.0000  	220.9500  	222.1500  	-0.9550   	-0.0750   	-1.1660   	0.1240    	1.2000    	0.2900    	0.2420    	136.5830  
306.0000  	276.7500  	277.6500  	1.2610    	-0.1120   	1.8230    	-0.0240   	0.9000    	0.5690    	0.6320    	8.9240    
306.0000  	289.2000  	291.6000  	2.0550    	-0.1560   	3.3410    	0.1170    	2.4000    	1.3150    	0.5480    	11.9910   
306.0000  	292.5000  	297.3000  	3.5710    	-0.2170   	6.2290    	0.1580    	4.8000    	2.6840    	0.5590    	8.0210    
