trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)
29.0000   	161.4000  	162.3000  	-0.0140   	-0.1780   	-0.1170   	-0.1550   	0.9000    	0.1050    	0.1170    	167.0800  
168.0000  	167.5500  	168.4500  	-0.1460   	-0.3200   	0.2350    	0.0870    	0.9000    	0.5580    	0.6200    	46.9410   
189.0000  	185.7000  	186.4500  	-0.1300   	-0.0450   	0.1970    	-0.0860   	0.7500    	0.3290    	0.4390    	-7.2320   
245.0000  	115.6500  	117.0000  	0.1730    	-0.0640   	-0.2880   	-0.1100   	1.3500    	0.4630    	0.3430    	-174.2700 
333.0000  	190.9500  	192.0000  	-0.0450   	0.0450    	0.1760    	-0.0580   	1.0500    	0.2440    	0.2320    	-24.9910  
333.0000  	193.9500  	194.7000  	0.4820    	-0.0140   	0.5740    	-0.0410   	0.7500    	0.0970    	0.1290    	-16.4670  
376.0000  	197.1000  	198.0000  	0.0530    	-0.0620   	0.3920    	-0.0590   	0.9000    	0.3390    	0.3770    	0.4150    
392.0000  	152.5500  	153.4500  	-0.4380   	-0.2010   	-1.0800   	-0.1360   	0.9000    	0.6450    	0.7170    	174.1960  
487.0000  	130.8000  	131.5500  	0.0780    	-0.0110   	-0.1860   	-0.4160   	0.7500    	0.4840    	0.6450    	-123.0940 
487.0000  	137.4000  	138.4500  	-0.4030   	-1.6510   	-1.1540   	-0.3280   	1.0500    	1.5200    	1.4480    	119.5770  
511.0000  	124.0500  	124.9500  	0.1250    	-0.2570   	-0.2160   	-0.3650   	0.9000    	0.3580    	0.3970    	-162.4030 
549.0000  	134.5500  	136.0500  	-0.0430   	-0.0420   	-0.5660   	-0.1060   	1.5000    	0.5270    	0.3510    	-173.0310 
549.0000  	136.3500  	137.5500  	-1.0380   	0.1870    	-1.6260   	-1.3530   	1.2000    	1.6480    	1.3730    	-110.8720 
666.0000  	145.3500  	146.5500  	-0.0540   	0.1490    	0.3180    	-0.0800   	1.2000    	0.4370    	0.3640    	-31.5130  
673.0000  	122.1000  	123.0000  	0.0030    	-0.1480   	0.2690    	0.0720    	0.9000    	0.3450    	0.3830    	39.6000   
698.0000  	170.7000  	171.7500  	-0.1010   	-0.1410   	0.2720    	-0.0270   	1.0500    	0.3900    	0.3710    	17.1030   
847.0000  	160.0500  	163.6500  	-0.4300   	-0.1280   	-1.8510   	-0.2960   	3.6000    	1.4310    	0.3970    	-173.2210 
1120.0000 	125.7000  	126.4500  	-0.1550   	-0.1690   	0.1570    	-0.4120   	0.7500    	0.3950    	0.5270    	-37.9120  
1259.0000 	106.5000  	107.4000  	0.0860    	0.1420    	-0.2060   	0.0730    	0.9000    	0.3010    	0.3340    	-166.7860 
1437.0000 	138.0000  	138.9000  	-0.1890   	-0.2710   	-0.4160   	-0.2330   	0.9000    	0.2300    	0.2560    	170.5110  
1600.0000 	144.4500  	145.5000  	0.0420    	-0.3860   	-0.0720   	-0.4340   	1.0500    	0.1240    	0.1180    	-156.8600 
1650.0000 	160.9500  	161.8500  	0.0270    	-0.0730   	-0.2780   	-0.0190   	0.9000    	0.3100    	0.3450    	170.0620  
1661.0000 	160.0500  	161.1000  	0.0900    	0.1090    	-0.4030   	-0.0390   	1.0500    	0.5140    	0.4900    	-163.3200 
1686.0000 	172.8000  	174.3000  	0.0020    	-0.0270   	0.1180    	-0.0970   	1.5000    	0.1360    	0.0910    	-30.7670  
1688.0000 	185.4000  	186.6000  	-0.3900   	-0.0590   	-0.6480   	0.0600    	1.2000    	0.2840    	0.2360    	155.2060  
1707.0000 	203.1000  	203.8500  	-0.0450   	-0.0870   	0.0320    	-0.1050   	0.7500    	0.0790    	0.1050    	-13.2430  
