trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)
17.0000   	384.9000  	386.2500  	0.3520    	-1.7290   	-1.6370   	-1.5090   	1.3500    	2.0010    	1.4820    	173.7080  
44.0000   	295.9500  	298.5000  	-0.3670   	0.0820    	0.4640    	-0.5020   	2.5500    	1.0150    	0.3980    	-35.0660  
44.0000   	299.5500  	301.3500  	0.7800    	-0.3570   	1.5950    	-0.6870   	1.8000    	0.8790    	0.4890    	-22.0480  
44.0000   	302.2500  	304.3500  	1.6750    	-0.7090   	2.7340    	-1.0910   	2.1000    	1.1260    	0.5360    	-19.8390  
170.0000  	269.2500  	270.9000  	-1.1370   	-0.4660   	-2.0770   	-0.1770   	1.6500    	0.9830    	0.5960    	162.8960  
170.0000  	274.3500  	275.8500  	-1.9870   	-0.1740   	-3.0410   	-0.1200   	1.5000    	1.0550    	0.7040    	177.0940  
170.0000  	276.1500  	276.9000  	-3.0970   	-0.3540   	-3.6780   	-0.0870   	0.7500    	0.6390    	0.8520    	155.3600  
176.0000  	282.4500  	284.1000  	-0.9550   	0.0130    	-1.8990   	0.1580    	1.6500    	0.9550    	0.5790    	171.2580  
200.0000  	342.6000  	344.7000  	0.3870    	-0.1930   	-0.8540   	-0.0670   	2.1000    	1.2470    	0.5940    	174.1840  
212.0000  	307.6500  	308.4000  	-0.3040   	-0.0420   	-0.7080   	0.0590    	0.7500    	0.4160    	0.5550    	166.0620  
225.0000  	335.5500  	337.8000  	-0.7050   	-0.1000   	-1.5500   	-0.8280   	2.2500    	1.1150    	0.4960    	-139.2600 
225.0000  	338.4000  	339.4500  	-1.6430   	-1.2250   	-2.3020   	-1.2690   	1.0500    	0.6600    	0.6290    	-176.1600 
252.0000  	230.2500  	231.4500  	-0.7540   	-0.8590   	-0.3080   	-0.0280   	1.2000    	0.9430    	0.7860    	61.7850   
252.0000  	237.4500  	239.2500  	0.2540    	-0.2530   	0.7550    	-0.0130   	1.8000    	0.5550    	0.3090    	25.5610   
252.0000  	245.1000  	246.0000  	1.0430    	-0.1120   	1.2440    	-0.2540   	0.9000    	0.2460    	0.2730    	-35.2480  
252.0000  	252.3000  	255.3000  	1.4140    	-0.0590   	2.0940    	-0.0190   	3.0000    	0.6810    	0.2270    	3.3430    
252.0000  	274.2000  	278.1000  	2.1020    	0.0680    	3.3320    	-0.0750   	3.9000    	1.2380    	0.3180    	-6.6380   
304.0000  	262.3500  	264.1500  	-0.0150   	-0.0630   	0.9220    	0.0730    	1.8000    	0.9470    	0.5260    	8.2950    
323.0000  	308.5500  	309.9000  	0.2560    	0.0680    	1.1010    	-0.5330   	1.3500    	1.0370    	0.7680    	-35.4240  
369.0000  	278.8500  	282.0000  	0.8150    	-0.1460   	2.4620    	0.0200    	3.1500    	1.6550    	0.5250    	5.7400    
369.0000  	302.1000  	304.3500  	2.8190    	-0.1130   	4.0220    	-0.2360   	2.2500    	1.2090    	0.5370    	-5.8160   
369.0000  	305.5500  	309.1500  	3.3740    	-0.0890   	4.7470    	-0.2470   	3.6000    	1.3820    	0.3840    	-6.5780   
386.0000  	224.4000  	225.4500  	-0.3730   	-0.2750   	0.1390    	-0.1010   	1.0500    	0.5410    	0.5150    	18.7460   
426.0000  	270.7500  	272.2500  	0.1220    	0.2770    	0.7920    	0.2020    	1.5000    	0.6740    	0.4490    	-6.3930   
479.0000  	244.8000  	246.1500  	-0.5940   	0.2300    	-1.0950   	-0.1360   	1.3500    	0.6200    	0.4600    	-143.8470 
501.0000  	311.5500  	315.4500  	-2.7610   	-0.3440   	-1.1460   	-0.3530   	3.9000    	1.6150    	0.4140    	-0.3310   
501.0000  	318.7500  	319.9500  	-0.5730   	-0.3990   	0.0270    	-0.4200   	1.2000    	0.6000    	0.5000    	-2.0810   
501.0000  	328.5000  	334.6500  	1.0030    	-0.5080   	3.0510    	-0.4490   	6.1500    	2.0490    	0.3330    	1.6470    
501.0000  	340.9500  	343.9500  	3.2040    	-0.4410   	3.9280    	-0.4150   	3.0000    	0.7240    	0.2410    	2.0370    
501.0000  	345.1500  	346.9500  	4.1470    	-0.4410   	4.7160    	-0.4270   	1.8000    	0.5690    	0.3160    	1.3830    
501.0000  	360.9000  	363.0000  	5.2590    	-0.6930   	6.1150    	-0.6300   	2.1000    	0.8580    	0.4090    	4.2260    
506.0000  	257.1000  	259.3500  	-0.6350   	-0.1130   	-1.8650   	0.0530    	2.2500    	1.2410    	0.5520    	172.2850  
544.0000  	327.0000  	331.8000  	-1.2640   	-0.0620   	-0.0450   	0.0140    	4.8000    	1.2210    	0.2540    	3.5460    
544.0000  	332.2500  	339.1500  	-0.0120   	-0.0110   	2.0910    	-0.0540   	6.9000    	2.1030    	0.3050    	-1.1770   
544.0000  	339.7500  	343.0500  	2.1950    	-0.0120   	3.2380    	-0.4190   	3.3000    	1.1200    	0.3390    	-21.3600  
556.0000  	347.4000  	348.1500  	-1.4100   	-0.0370   	-1.6150   	-0.2710   	0.7500    	0.3110    	0.4140    	-131.2590 
573.0000  	247.3500  	248.7000  	-0.2190   	-0.0290   	0.3860    	0.0200    	1.3500    	0.6070    	0.4500    	4.6480    
585.0000  	268.6500  	269.8500  	-0.0590   	-0.0540   	-0.9370   	-0.3620   	1.2000    	0.9300    	0.7750    	-160.6660 
585.0000  	271.9500  	273.1500  	-0.9900   	-0.2870   	-1.4940   	0.0170    	1.2000    	0.5890    	0.4910    	148.8560  
585.0000  	280.3500  	281.5500  	-2.3410   	-0.2590   	-1.7980   	0.0330    	1.2000    	0.6160    	0.5140    	28.2570   
585.0000  	282.4500  	283.2000  	-1.7170   	-0.1100   	-1.2800   	0.0350    	0.7500    	0.4610    	0.6140    	18.3860   
606.0000  	299.1000  	308.4000  	-0.1870   	-0.0190   	-0.7300   	-0.0840   	9.3000    	0.5470    	0.0590    	-173.1990 
628.0000  	289.3500  	297.3000  	0.0030    	0.0850    	0.3470    	-0.0160   	7.9500    	0.3580    	0.0450    	-16.2970  
631.0000  	237.4500  	238.3500  	-1.3180   	-0.4630   	-1.5580   	-0.4090   	0.9000    	0.2460    	0.2740    	167.1420  
631.0000  	264.0000  	264.9000  	-1.8330   	-0.4180   	-2.0560   	-0.5020   	0.9000    	0.2380    	0.2650    	-159.3660 
631.0000  	273.3000  	274.6500  	-2.4830   	-0.4070   	-3.0130   	-0.3760   	1.3500    	0.5310    	0.3930    	176.6890  
646.0000  	237.9000  	238.6500  	-0.1780   	-0.1710   	0.0540    	-0.0770   	0.7500    	0.2500    	0.3340    	22.0470   
668.0000  	235.0500  	236.7000  	-0.0630   	-0.1850   	-0.8260   	0.2470    	1.6500    	0.8760    	0.5310    	150.5230  
704.0000  	258.3000  	261.4500  	-0.6510   	-0.0560   	0.9360    	-0.0460   	3.1500    	1.5870    	0.5040    	0.3590    
726.0000  	209.1000  	211.2000  	-0.0850   	-0.1580   	-0.6070   	0.2120    	2.1000    	0.6400    	0.3050    	144.6930  
726.0000  	213.0000  	214.0500  	-0.6100   	-0.2890   	-0.8470   	-0.0590   	1.0500    	0.3300    	0.3150    	135.8160  
729.0000  	208.2000  	209.1000  	-0.1790   	-0.1150   	-0.1200   	-0.1520   	0.9000    	0.0700    	0.0780    	-32.7530  
