trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)
98.0000   	145.3500  	146.5500  	-0.5470   	-0.0380   	-1.4940   	0.2600    	1.2000    	0.9930    	0.8270    	162.5450  
125.0000  	137.5500  	139.0500  	-0.3160   	-0.0790   	-0.0340   	0.1240    	1.5000    	0.3480    	0.2320    	35.7720   
163.0000  	195.9000  	198.3000  	-0.2070   	0.0210    	0.1260    	0.5570    	2.4000    	0.6310    	0.2630    	58.1600   
226.0000  	161.4000  	162.1500  	-0.1420   	0.2640    	0.2710    	0.1150    	0.7500    	0.4390    	0.5860    	-19.8850  
251.0000  	120.9000  	121.6500  	-0.1890   	-0.1020   	-0.4660   	0.4300    	0.7500    	0.6000    	0.8000    	117.5120  
252.0000  	125.7000  	126.7500  	-0.2690   	0.4270    	-0.0390   	0.0150    	1.0500    	0.4720    	0.4490    	-60.8220  
285.0000  	214.2000  	216.0000  	-0.1400   	0.0420    	0.5250    	0.0290    	1.8000    	0.6650    	0.3700    	-1.0740   
285.0000  	216.9000  	219.1500  	0.6280    	-0.0510   	1.3110    	-0.1340   	2.2500    	0.6880    	0.3060    	-6.8710   
285.0000  	219.6000  	220.5000  	1.3790    	-0.1660   	1.6660    	-0.2160   	0.9000    	0.2910    	0.3240    	-9.8230   
306.0000  	185.4000  	187.6500  	-0.9540   	0.5020    	-1.7660   	0.0230    	2.2500    	0.9430    	0.4190    	-149.4470 
310.0000  	186.9000  	187.6500  	-0.0590   	0.3640    	-1.1270   	-0.3360   	0.7500    	1.2770    	1.7030    	-146.7500 
320.0000  	163.2000  	166.3500  	-0.7660   	0.0180    	0.4160    	-0.0090   	3.1500    	1.1820    	0.3750    	-1.2900   
320.0000  	169.0500  	171.7500  	-0.3840   	0.0100    	0.9180    	0.0520    	2.7000    	1.3030    	0.4820    	1.8150    
370.0000  	127.9500  	128.7000  	-0.3110   	0.0170    	-0.5020   	-0.7780   	0.7500    	0.8170    	1.0900    	-103.5120 
377.0000  	194.4000  	195.7500  	-0.2400   	-0.2810   	0.0730    	0.1470    	1.3500    	0.5300    	0.3930    	53.8320   
384.0000  	175.8000  	177.0000  	-0.2300   	-0.1950   	-0.9940   	-0.6940   	1.2000    	0.9130    	0.7610    	-146.8350 
426.0000  	181.5000  	182.8500  	-0.9760   	1.1380    	-0.5710   	0.5210    	1.3500    	0.7380    	0.5460    	-56.6970  
441.0000  	129.7500  	130.5000  	-0.2320   	0.1900    	-0.0070   	0.1630    	0.7500    	0.2270    	0.3020    	-6.8530   
445.0000  	137.8500  	139.2000  	-0.0770   	0.2640    	0.6840    	0.5040    	1.3500    	0.7980    	0.5910    	17.5150   
459.0000  	151.5000  	153.0000  	-0.5900   	-0.0780   	-1.5160   	0.1270    	1.5000    	0.9480    	0.6320    	167.4970  
472.0000  	140.8500  	143.4000  	-0.5490   	-0.0970   	-1.6340   	0.4030    	2.5500    	1.1950    	0.4690    	155.2420  
499.0000  	132.7500  	135.1500  	-0.0090   	-0.0270   	0.8580    	0.1330    	2.4000    	0.8820    	0.3670    	10.4450   
539.0000  	161.2500  	162.6000  	-0.2860   	0.0020    	-1.6160   	-0.1020   	1.3500    	1.3340    	0.9880    	-175.5390 
539.0000  	165.4500  	167.5500  	-1.6810   	-0.1610   	-3.0430   	-0.2190   	2.1000    	1.3630    	0.6490    	-177.5510 
564.0000  	142.8000  	144.1500  	0.1370    	0.1260    	-0.4230   	0.2210    	1.3500    	0.5680    	0.4210    	170.3550  
589.0000  	134.4000  	135.6000  	-0.1610   	0.4050    	-0.6200   	0.0740    	1.2000    	0.5660    	0.4720    	-144.1810 
589.0000  	135.7500  	136.6500  	-0.5710   	0.1500    	-1.2090   	0.2700    	0.9000    	0.6490    	0.7210    	169.3160  
590.0000  	127.8000  	129.1500  	-0.2340   	-0.0300   	0.2900    	-0.1190   	1.3500    	0.5310    	0.3940    	-9.6250   
590.0000  	136.9500  	140.1000  	0.8520    	-0.0750   	1.7120    	-1.4440   	3.1500    	1.6170    	0.5130    	-57.8590  
595.0000  	166.6500  	169.2000  	-0.4330   	0.0500    	-1.7430   	0.0030    	2.5500    	1.3110    	0.5140    	-177.9340 
607.0000  	182.7000  	184.0500  	-0.1990   	0.2840    	0.4990    	0.0160    	1.3500    	0.7480    	0.5540    	-21.0220  
607.0000  	186.6000  	188.8500  	0.8980    	0.1300    	2.0010    	0.0310    	2.2500    	1.1070    	0.4920    	-5.1630   
607.0000  	193.8000  	195.1500  	2.0200    	0.3000    	2.4400    	0.1640    	1.3500    	0.4420    	0.3270    	-17.9980  
607.0000  	199.6500  	201.0000  	3.2810    	0.0590    	3.7490    	0.1480    	1.3500    	0.4760    	0.3530    	10.7120   
607.0000  	202.3500  	206.1000  	3.9090    	0.2100    	5.4110    	0.2640    	3.7500    	1.5030    	0.4010    	2.0860    
618.0000  	255.0000  	256.0500  	-0.0990   	-0.0050   	0.0210    	-0.1050   	1.0500    	0.1560    	0.1480    	-39.6010  
635.0000  	122.5500  	123.9000  	-2.1860   	0.0910    	-3.1700   	0.1560    	1.3500    	0.9860    	0.7300    	176.2100  
635.0000  	127.2000  	128.2500  	-3.4360   	0.0850    	-3.9450   	0.0960    	1.0500    	0.5090    	0.4850    	178.8560  
635.0000  	129.1500  	130.9500  	-4.3990   	0.0600    	-5.6030   	0.2760    	1.8000    	1.2230    	0.6800    	169.8140  
635.0000  	131.7000  	134.7000  	-5.8630   	0.1600    	-7.6510   	0.4390    	3.0000    	1.8100    	0.6030    	171.1490  
643.0000  	148.9500  	150.0000  	0.6080    	-0.0050   	1.1600    	0.0410    	1.0500    	0.5540    	0.5280    	4.7780    
643.0000  	150.6000  	153.3000  	1.3740    	0.0700    	2.6800    	-0.2840   	2.7000    	1.3530    	0.5010    	-15.1530  
661.0000  	190.3500  	193.9500  	-0.3350   	-0.0030   	0.9870    	0.1010    	3.6000    	1.3260    	0.3680    	4.5080    
678.0000  	121.9500  	122.7000  	-0.6990   	0.0290    	-1.0540   	-0.0600   	0.7500    	0.3660    	0.4880    	-165.9480 
678.0000  	127.3500  	129.0000  	-1.1930   	0.0860    	-2.2650   	-0.0640   	1.6500    	1.0820    	0.6560    	-172.0200 
