trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)
12.0000   	244.9500  	247.2000  	-0.3020   	-0.0370   	-0.0510   	-0.0830   	2.2500    	0.2550    	0.1130    	-10.5280  
12.0000   	264.1500  	265.9500  	0.0550    	-0.2110   	0.2430    	0.1920    	1.8000    	0.4440    	0.2470    	64.9400   
12.0000   	303.4500  	304.3500  	0.1430    	0.0810    	0.3470    	-0.0260   	0.9000    	0.2310    	0.2560    	-27.8140  
12.0000   	306.7500  	307.5000  	0.7460    	-0.1490   	0.9710    	0.1080    	0.7500    	0.3420    	0.4560    	48.8160   
12.0000   	309.7500  	312.6000  	1.0750    	-0.1850   	1.7350    	-0.0860   	2.8500    	0.6670    	0.2340    	8.5280    
12.0000   	313.9500  	316.0500  	1.8100    	-0.1630   	2.4050    	-0.1880   	2.1000    	0.5960    	0.2840    	-2.4380   
206.0000  	270.3000  	273.6000  	-2.0430   	0.0760    	-2.9490   	-0.0660   	3.3000    	0.9170    	0.2780    	-171.0840 
206.0000  	277.3500  	278.2500  	-3.2560   	-0.0600   	-3.6530   	0.0590    	0.9000    	0.4150    	0.4610    	163.2780  
403.0000  	251.5500  	252.9000  	-0.5090   	0.1830    	-1.3240   	-0.3370   	1.3500    	0.9670    	0.7160    	-147.4610 
416.0000  	245.5500  	248.5500  	-0.4890   	-0.0650   	0.6040    	0.0240    	3.0000    	1.0970    	0.3660    	4.6690    
416.0000  	249.6000  	253.6500  	0.4090    	0.0020    	2.1710    	0.0330    	4.0500    	1.7620    	0.4350    	1.0350    
496.0000  	227.2500  	228.3000  	-0.2490   	-0.3770   	-0.5820   	0.0330    	1.0500    	0.5280    	0.5030    	129.0930  
505.0000  	233.4000  	235.8000  	-0.8310   	0.2970    	-1.2280   	0.4730    	2.4000    	0.4340    	0.1810    	156.0470  
505.0000  	247.5000  	253.2000  	-1.2680   	0.4080    	-1.9470   	0.4220    	5.7000    	0.6790    	0.1190    	178.8210  
505.0000  	270.7500  	272.5500  	-2.7560   	0.3810    	-3.8040   	0.4740    	1.8000    	1.0520    	0.5840    	174.9510  
507.0000  	253.6500  	254.4000  	-0.7450   	-0.0400   	-0.9180   	0.0620    	0.7500    	0.2010    	0.2680    	149.4490  
509.0000  	235.5000  	237.3000  	-0.0220   	0.0020    	-0.4690   	-0.1960   	1.8000    	0.4890    	0.2720    	-156.1270 
530.0000  	281.4000  	283.6500  	-1.8420   	-0.0470   	-3.2220   	-0.0990   	2.2500    	1.3810    	0.6140    	-177.8510 
535.0000  	270.4500  	271.3500  	-1.0950   	-0.1370   	-1.3040   	-0.1490   	0.9000    	0.2090    	0.2330    	-176.7180 
552.0000  	255.3000  	257.4000  	-0.2180   	-0.0140   	0.7680    	0.0580    	2.1000    	0.9890    	0.4710    	4.1830    
