trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)
2.0000    	302.8500  	312.6000  	-1.0960   	-0.5080   	-0.4940   	-0.7070   	9.7500    	0.6340    	0.0650    	-18.3080  
27.0000   	278.5500  	282.4500  	-1.0850   	-0.3420   	-1.5490   	-0.3020   	3.9000    	0.4660    	0.1190    	175.1200  
34.0000   	304.5000  	308.1000  	-1.4140   	-0.1280   	0.0470    	-0.1320   	3.6000    	1.4610    	0.4060    	-0.1710   
40.0000   	363.1500  	364.0500  	0.2420    	-0.1980   	0.4340    	-0.1990   	0.9000    	0.1920    	0.2130    	-0.2690   
40.0000   	374.7000  	375.6000  	0.8960    	-0.0190   	1.3380    	-0.0170   	0.9000    	0.4420    	0.4910    	0.2490    
40.0000   	376.2000  	377.5500  	1.6740    	-0.0030   	2.3040    	-0.2150   	1.3500    	0.6650    	0.4920    	-18.5850  
40.0000   	382.3500  	383.1000  	2.2690    	-0.2790   	2.7000    	-0.1320   	0.7500    	0.4550    	0.6070    	18.8740   
40.0000   	385.6500  	390.9000  	3.3040    	-0.4120   	6.2100    	-0.1670   	5.2500    	2.9160    	0.5550    	4.8150    
74.0000   	367.2000  	368.2500  	-0.2030   	0.0720    	-0.2800   	0.1350    	1.0500    	0.1000    	0.0950    	140.4220  
117.0000  	292.0500  	293.1000  	-0.3110   	0.3030    	-0.4920   	-0.0750   	1.0500    	0.4190    	0.3990    	-115.5750 
117.0000  	301.6500  	302.5500  	-0.7050   	0.0370    	-0.8030   	-0.0080   	0.9000    	0.1080    	0.1200    	-155.3380 
120.0000  	363.4500  	364.5000  	0.0730    	0.0430    	0.7240    	-0.0750   	1.0500    	0.6620    	0.6300    	-10.3400  
125.0000  	236.4000  	237.4500  	-1.7560   	0.2810    	-2.1220   	-0.2590   	1.0500    	0.6520    	0.6210    	-124.1380 
139.0000  	259.0500  	260.8500  	-0.2540   	-0.0380   	0.5590    	-0.1200   	1.8000    	0.8170    	0.4540    	-5.7980   
150.0000  	314.1000  	314.8500  	-0.5680   	-0.2580   	-0.9450   	-0.6530   	0.7500    	0.5460    	0.7290    	-133.6300 
154.0000  	294.0000  	295.2000  	-0.4850   	-0.1350   	-1.0610   	-0.2360   	1.2000    	0.5850    	0.4870    	-170.0490 
160.0000  	261.6000  	262.5000  	-0.9280   	-0.2160   	-1.1890   	-0.4190   	0.9000    	0.3300    	0.3670    	-142.1710 
190.0000  	252.6000  	253.6500  	-0.0220   	0.1320    	-0.8940   	-0.2910   	1.0500    	0.9690    	0.9230    	-154.1230 
190.0000  	283.9500  	285.1500  	-2.2940   	0.6340    	-3.5840   	0.6150    	1.2000    	1.2900    	1.0750    	-179.1420 
212.0000  	258.6000  	260.1000  	-0.4050   	0.1220    	-1.6000   	-0.2790   	1.5000    	1.2600    	0.8400    	-161.4600 
257.0000  	315.0000  	315.9000  	-1.3270   	-0.0860   	-2.0550   	0.1100    	0.9000    	0.7540    	0.8380    	164.8780  
257.0000  	318.0000  	318.7500  	-2.3050   	0.2440    	-2.8460   	0.3760    	0.7500    	0.5570    	0.7430    	166.2820  
259.0000  	245.5500  	246.4500  	-0.3950   	-0.1330   	-0.5480   	0.0160    	0.9000    	0.2140    	0.2370    	135.7220  
262.0000  	344.1000  	345.6000  	-0.6880   	-0.6210   	-0.1910   	-0.3830   	1.5000    	0.5510    	0.3670    	25.5850   
276.0000  	249.1500  	250.2000  	-0.7390   	-0.2820   	-0.3710   	-0.4380   	1.0500    	0.4000    	0.3810    	-23.0390  
276.0000  	256.0500  	258.1500  	-0.3510   	-0.3980   	0.6450    	-0.4670   	2.1000    	0.9980    	0.4750    	-3.9360   
304.0000  	263.4000  	264.1500  	0.0200    	0.1040    	0.2070    	0.0420    	0.7500    	0.1970    	0.2630    	-18.3750  
304.0000  	274.3500  	276.3000  	1.0110    	0.2060    	1.7550    	0.0590    	1.9500    	0.7580    	0.3890    	-11.1370  
304.0000  	279.3000  	280.8000  	2.3470    	0.0610    	3.1420    	-0.0600   	1.5000    	0.8040    	0.5360    	-8.7180   
304.0000  	284.1000  	285.0000  	3.7370    	0.1320    	4.2430    	0.1580    	0.9000    	0.5070    	0.5630    	2.9120    
