trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)
90.0000   	136.2000  	137.2500  	-0.2800   	0.2390    	0.1040    	0.1620    	1.0500    	0.3920    	0.3730    	-11.4390  
123.0000  	131.5500  	132.3000  	-0.0900   	-0.1850   	-0.3580   	0.0600    	0.7500    	0.3640    	0.4850    	137.6050  
151.0000  	132.3000  	133.3500  	-0.0800   	0.1980    	0.4980    	-0.0070   	1.0500    	0.6130    	0.5840    	-19.5440  
215.0000  	135.6000  	136.5000  	-0.2110   	-0.1240   	0.0930    	-0.0280   	0.9000    	0.3190    	0.3540    	17.5780   
377.0000  	156.6000  	157.3500  	-0.0860   	-0.1200   	0.2290    	-0.1520   	0.7500    	0.3170    	0.4220    	-5.8230   
506.0000  	127.3500  	128.7000  	-0.0350   	-0.1360   	0.4000    	-0.0670   	1.3500    	0.4410    	0.3260    	8.9760    
704.0000  	126.4500  	128.7000  	0.0340    	-0.1220   	0.4860    	0.0490    	2.2500    	0.4840    	0.2150    	20.6700   
772.0000  	217.8000  	220.8000  	0.9120    	0.0940    	2.1650    	0.1110    	3.0000    	1.2530    	0.4180    	0.7680    
949.0000  	133.9500  	134.7000  	0.0780    	0.1290    	0.3440    	0.0660    	0.7500    	0.2730    	0.3640    	-13.3530  
999.0000  	136.2000  	136.9500  	-0.0620   	0.0980    	-0.3020   	0.3900    	0.7500    	0.3780    	0.5040    	129.4310  
1042.0000 	160.0500  	162.1500  	-0.1970   	-0.1540   	0.6860    	0.2580    	2.1000    	0.9740    	0.4640    	24.9980   
1267.0000 	151.5000  	152.2500  	0.0560    	-0.0800   	-0.1200   	-0.1450   	0.7500    	0.1880    	0.2500    	-159.5280 
1283.0000 	142.5000  	143.2500  	0.4540    	-0.0390   	-0.2880   	0.1760    	0.7500    	0.7730    	1.0310    	163.8250  
1288.0000 	168.0000  	174.4500  	-0.0130   	-0.1670   	1.2860    	-0.3010   	6.4500    	1.3060    	0.2020    	-5.8810   
1891.0000 	136.2000  	138.1500  	-0.1060   	-0.0230   	0.6530    	-0.0960   	1.9500    	0.7620    	0.3910    	-5.5300   
1897.0000 	124.2000  	126.1500  	-0.0820   	-0.0110   	0.5340    	-0.4160   	1.9500    	0.7370    	0.3780    	-33.3200  
1992.0000 	142.2000  	143.5500  	-0.1120   	-0.1820   	0.3740    	-0.1270   	1.3500    	0.4890    	0.3630    	6.4470    
1992.0000 	144.9000  	145.6500  	0.3820    	-0.2920   	0.5900    	-0.1680   	0.7500    	0.2420    	0.3230    	30.6930   
2086.0000 	126.7500  	127.6500  	0.0750    	-0.1190   	-0.4620   	0.1040    	0.9000    	0.5820    	0.6470    	157.4520  
2224.0000 	145.6500  	146.5500  	0.2430    	0.1410    	0.7140    	-0.1530   	0.9000    	0.5550    	0.6160    	-32.0050  
2242.0000 	172.6500  	174.0000  	-0.4580   	-0.0650   	-0.1820   	0.1540    	1.3500    	0.3520    	0.2610    	38.5120   
2329.0000 	128.1000  	129.1500  	-0.0800   	-0.0340   	-0.4530   	-0.2040   	1.0500    	0.4100    	0.3900    	-155.5080 
2329.0000 	131.8500  	132.9000  	-0.8910   	0.0340    	-1.3040   	-0.2220   	1.0500    	0.4860    	0.4630    	-148.1640 
2512.0000 	129.9000  	130.8000  	0.0220    	0.0300    	0.1330    	0.0050    	0.9000    	0.1130    	0.1260    	-12.6450  
2559.0000 	157.0500  	158.8500  	-0.0100   	-0.1630   	0.8530    	0.0070    	1.8000    	0.8790    	0.4880    	11.2050   
2620.0000 	119.8500  	121.0500  	-0.0380   	-0.1440   	0.4830    	-0.1890   	1.2000    	0.5240    	0.4360    	-4.9710   
2638.0000 	137.1000  	139.5000  	-0.2960   	0.0420    	-1.2860   	-0.1440   	2.4000    	1.0080    	0.4200    	-169.3530 
2708.0000 	126.6000  	127.3500  	-0.0480   	-0.0130   	-0.3650   	0.0970    	0.7500    	0.3350    	0.4470    	160.8620  
2911.0000 	135.3000  	136.3500  	-0.0080   	-0.1290   	-0.5790   	-0.1540   	1.0500    	0.5720    	0.5450    	-177.4140 
2967.0000 	121.5000  	122.2500  	0.1220    	0.0005    	-0.3040   	-0.2190   	0.7500    	0.4790    	0.6380    	-152.7350 
3157.0000 	128.2500  	129.6000  	-0.0660   	-0.0710   	0.2670    	-0.2530   	1.3500    	0.3790    	0.2810    	-28.5970  
3338.0000 	121.8000  	122.8500  	-0.0350   	0.0590    	-0.4270   	-0.2380   	1.0500    	0.4920    	0.4680    	-142.8410 
3338.0000 	123.0000  	124.3500  	-0.3280   	-0.1040   	-1.5120   	-0.3520   	1.3500    	1.2100    	0.8960    	-168.1750 
3673.0000 	128.1000  	128.8500  	-0.3410   	-0.0160   	-0.7700   	-0.1660   	0.7500    	0.4540    	0.6060    	-160.6480 
3731.0000 	152.5500  	153.3000  	-0.5010   	-0.1220   	-0.9550   	-0.1170   	0.7500    	0.4540    	0.6060    	179.3780  
3976.0000 	120.0000  	120.7500  	0.1070    	-0.2660   	0.1810    	-0.3290   	0.7500    	0.0970    	0.1300    	-40.7650  
4167.0000 	196.2000  	197.5500  	-1.0580   	-0.2720   	-1.3950   	0.1250    	1.3500    	0.5210    	0.3860    	130.4110  
4167.0000 	201.1500  	202.0500  	-2.6850   	0.0900    	-2.0540   	0.1450    	0.9000    	0.6330    	0.7030    	4.9810    
4167.0000 	202.8000  	204.6000  	-1.5900   	0.0770    	-1.1150   	0.0040    	1.8000    	0.4810    	0.2670    	-8.7170   
4167.0000 	207.0000  	208.6500  	-0.2800   	0.2050    	0.3020    	-0.0300   	1.6500    	0.6280    	0.3810    	-21.9510  
4167.0000 	220.9500  	222.3000  	0.3620    	0.2540    	1.0540    	0.1890    	1.3500    	0.6960    	0.5150    	-5.3020   
