trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)
35.0000   	75.0000   	76.6500   	0.3140    	0.0520    	0.5840    	0.0630    	1.6500    	0.2700    	0.1640    	2.2640    
47.0000   	63.4500   	64.2000   	-0.0580   	-0.1210   	0.1020    	-0.1240   	0.7500    	0.1600    	0.2130    	-1.4010   
58.0000   	105.4500  	106.9500  	0.0700    	0.0810    	0.4250    	-0.1340   	1.5000    	0.4150    	0.2770    	-31.2070  
125.0000  	73.2000   	74.1000   	-0.0450   	-0.0500   	-0.2270   	-0.0770   	0.9000    	0.1840    	0.2040    	-171.4520 
125.0000  	74.7000   	75.7500   	-0.2070   	-0.0970   	-0.4210   	0.0740    	1.0500    	0.2740    	0.2610    	141.3420  
178.0000  	124.5000  	126.3000  	0.0170    	-0.0600   	0.1390    	0.0580    	1.8000    	0.1700    	0.0940    	44.1650   
227.0000  	87.4500   	88.2000   	0.0570    	-0.0860   	-0.3340   	-0.1610   	0.7500    	0.3980    	0.5310    	-169.1160 
305.0000  	98.4000   	99.4500   	0.0420    	0.0040    	0.1540    	0.0300    	1.0500    	0.1150    	0.1100    	13.0880   
322.0000  	76.6500   	80.4000   	-0.1140   	-0.1940   	-1.9140   	-0.1360   	3.7500    	1.8010    	0.4800    	178.1620  
389.0000  	89.8500   	90.7500   	0.1080    	-0.0540   	-0.6210   	0.2800    	0.9000    	0.8020    	0.8910    	155.3640  
435.0000  	79.5000   	80.2500   	0.0510    	-0.0220   	0.1920    	-0.1280   	0.7500    	0.1760    	0.2350    	-36.8820  
470.0000  	64.5000   	65.2500   	-0.0790   	-0.1050   	0.1110    	-0.1220   	0.7500    	0.1910    	0.2540    	-5.2190   
564.0000  	69.0000   	70.0500   	0.0360    	-0.0220   	-0.1250   	-0.0730   	1.0500    	0.1690    	0.1610    	-162.7230 
582.0000  	84.9000   	85.9500   	-0.7930   	0.0760    	-1.3000   	-0.1900   	1.0500    	0.5720    	0.5450    	-152.3840 
606.0000  	239.8500  	242.4000  	0.1570    	0.0130    	0.8800    	0.0340    	2.5500    	0.7230    	0.2840    	1.7080    
