trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)
2.0000    	145.0500  	145.8000  	-0.1120   	0.1690    	-0.5970   	0.1900    	0.7500    	0.4850    	0.6470    	177.4900  
19.0000   	149.5500  	158.5500  	-0.5430   	0.0740    	2.5140    	0.0090    	9.0000    	3.0580    	0.3400    	-1.2240   
19.0000   	167.7000  	170.7000  	2.7110    	-0.0710   	3.8250    	-0.0880   	3.0000    	1.1140    	0.3710    	-0.8670   
44.0000   	202.9500  	204.1500  	-0.1320   	0.1420    	0.1200    	0.2270    	1.2000    	0.2660    	0.2220    	18.6020   
118.0000  	166.2000  	171.6000  	2.4520    	-0.0060   	3.8240    	-0.1270   	5.4000    	1.3770    	0.2550    	-5.0640   
118.0000  	175.8000  	181.2000  	3.9030    	0.1330    	1.7310    	-0.0590   	5.4000    	2.1800    	0.4040    	-174.9430 
118.0000  	184.9500  	190.2000  	0.6280    	-0.0810   	-1.8670   	0.0230    	5.2500    	2.4970    	0.4760    	177.6290  
122.0000  	183.7500  	188.2500  	-1.1880   	-0.0850   	-0.3570   	0.0060    	4.5000    	0.8360    	0.1860    	6.2560    
122.0000  	199.0500  	201.6000  	0.7290    	-0.0020   	1.2970    	0.0950    	2.5500    	0.5760    	0.2260    	9.6720    
122.0000  	217.6500  	218.8500  	2.5410    	0.1260    	3.1060    	0.1400    	1.2000    	0.5650    	0.4710    	1.4170    
122.0000  	228.3000  	232.3500  	4.1190    	0.0170    	4.9240    	0.1660    	4.0500    	0.8190    	0.2020    	10.4740   
122.0000  	242.1000  	246.0000  	3.6380    	0.1180    	4.3730    	0.1680    	3.9000    	0.7370    	0.1890    	3.8900    
276.0000  	120.3000  	121.5000  	-0.3070   	-0.2210   	-0.6230   	0.2550    	1.2000    	0.5720    	0.4760    	123.5630  
301.0000  	134.2500  	138.9000  	-0.6720   	0.0190    	1.1540    	0.1490    	4.6500    	1.8310    	0.3940    	4.0590    
301.0000  	147.9000  	155.5500  	1.9320    	0.0780    	4.6900    	0.1610    	7.6500    	2.7590    	0.3610    	1.7210    
301.0000  	157.5000  	160.2000  	3.8340    	0.0230    	4.7450    	0.1850    	2.7000    	0.9250    	0.3430    	10.0890   
301.0000  	161.7000  	165.0000  	3.3120    	0.0420    	4.7350    	0.0770    	3.3000    	1.4230    	0.4310    	1.4000    
307.0000  	122.5500  	123.3000  	-0.1840   	0.0440    	-0.3700   	0.2590    	0.7500    	0.2840    	0.3790    	130.8500  
315.0000  	136.8000  	137.8500  	-0.2780   	-0.0540   	-0.5900   	0.2570    	1.0500    	0.4410    	0.4200    	135.0600  
373.0000  	201.3000  	202.2000  	0.0600    	-0.1820   	-0.6460   	-0.1830   	0.9000    	0.7060    	0.7840    	-179.8710 
375.0000  	226.2000  	228.0000  	-1.0770   	0.0430    	-0.6900   	0.0060    	1.8000    	0.3890    	0.2160    	-5.4500   
375.0000  	229.2000  	232.3500  	-0.5560   	0.0560    	0.7410    	0.0960    	3.1500    	1.2980    	0.4120    	1.7640    
375.0000  	236.5500  	243.9000  	0.9150    	-0.0230   	4.3050    	-0.0120   	7.3500    	3.3900    	0.4610    	0.1910    
433.0000  	130.5000  	131.4000  	-0.1420   	0.0880    	-0.4000   	-0.0040   	0.9000    	0.2740    	0.3040    	-160.5490 
434.0000  	204.6000  	206.1000  	-0.6920   	0.4760    	-0.2940   	0.1100    	1.5000    	0.5410    	0.3610    	-42.6590  
465.0000  	123.7500  	125.2500  	-0.5850   	0.2160    	-1.3500   	-0.0050   	1.5000    	0.7960    	0.5310    	-163.8720 
465.0000  	126.3000  	128.5500  	-1.2910   	0.1370    	-0.4970   	0.3120    	2.2500    	0.8130    	0.3610    	12.4110   
465.0000  	133.2000  	135.3000  	-0.3450   	0.2350    	0.5270    	0.3110    	2.1000    	0.8750    	0.4170    	4.9920    
488.0000  	200.5500  	205.0500  	-1.0220   	-0.0850   	0.3240    	0.1800    	4.5000    	1.3720    	0.3050    	11.1320   
488.0000  	210.1500  	213.7500  	0.7990    	0.2230    	1.8050    	0.3830    	3.6000    	1.0190    	0.2830    	9.0440    
488.0000  	215.4000  	217.3500  	1.9990    	0.3030    	2.4190    	0.3780    	1.9500    	0.4270    	0.2190    	10.0690   
488.0000  	222.3000  	226.5000  	2.6550    	0.4320    	3.7970    	0.5210    	4.2000    	1.1450    	0.2730    	4.4670    
488.0000  	229.0500  	232.9500  	4.0850    	0.5760    	5.0400    	0.6630    	3.9000    	0.9590    	0.2460    	5.1790    
502.0000  	151.2000  	152.7000  	-0.2320   	0.0960    	0.1080    	0.0540    	1.5000    	0.3430    	0.2280    	-7.1650   
502.0000  	153.9000  	156.1500  	0.1910    	0.0500    	0.7170    	0.0690    	2.2500    	0.5260    	0.2340    	2.0590    
570.0000  	132.9000  	135.3000  	-0.4280   	0.1260    	-0.0860   	0.1090    	2.4000    	0.3420    	0.1430    	-2.9430   
570.0000  	136.5000  	138.1500  	-0.1270   	-0.0370   	0.1450    	0.1890    	1.6500    	0.3530    	0.2140    	39.6350   
674.0000  	124.2000  	125.2500  	0.0030    	-0.0420   	-0.2540   	-0.0060   	1.0500    	0.2600    	0.2470    	172.0080  
679.0000  	179.2500  	180.3000  	-0.1590   	0.3470    	-1.7390   	0.0390    	1.0500    	1.6100    	1.5330    	-168.9580 
679.0000  	181.0500  	181.9500  	-1.9510   	0.0090    	-3.0110   	0.1230    	0.9000    	1.0660    	1.1850    	173.8230  
679.0000  	184.0500  	185.5500  	-3.4070   	-0.2560   	-4.9840   	-0.0930   	1.5000    	1.5850    	1.0570    	174.0860  
