trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)
28.0000   	420.9000  	426.0000  	2.3150    	-0.3610   	4.7890    	-0.4140   	5.1000    	2.4740    	0.4850    	-1.2340   
28.0000   	430.0500  	433.3500  	2.0460    	-0.4550   	3.4350    	-0.3740   	3.3000    	1.3910    	0.4220    	3.3290    
28.0000   	435.0000  	436.9500  	3.8960    	-0.1330   	4.5120    	-0.3070   	1.9500    	0.6400    	0.3280    	-15.7790  
28.0000   	441.4500  	446.2500  	1.8670    	-0.1380   	3.6480    	-0.5930   	4.8000    	1.8380    	0.3830    	-14.3420  
245.0000  	427.0500  	429.3000  	-0.9460   	-0.3130   	-0.3460   	-0.4940   	2.2500    	0.6270    	0.2790    	-16.8020  
356.0000  	383.4000  	384.3000  	-0.2720   	-0.1430   	-0.5950   	-0.2710   	0.9000    	0.3480    	0.3860    	-158.3630 
457.0000  	381.3000  	382.2000  	-0.7020   	-0.6410   	-0.4830   	-0.2010   	0.9000    	0.4910    	0.5450    	63.4770   
539.0000  	447.9000  	448.8000  	-0.1780   	0.1900    	0.2130    	0.1830    	0.9000    	0.3900    	0.4340    	-1.0510   
540.0000  	441.4500  	442.2000  	-0.0080   	-0.1460   	0.2900    	-0.1810   	0.7500    	0.3000    	0.4000    	-6.7340   
619.0000  	333.4500  	334.5000  	0.0860    	0.1490    	-0.2770   	0.0480    	1.0500    	0.3770    	0.3590    	-164.4030 
830.0000  	449.8500  	450.9000  	-0.0290   	0.1260    	-0.6020   	0.5110    	1.0500    	0.6900    	0.6570    	146.0990  
874.0000  	439.6500  	441.7500  	0.0100    	0.1460    	0.7520    	0.0940    	2.1000    	0.7440    	0.3540    	-3.9900   
1153.0000 	351.1500  	352.0500  	-0.2060   	-0.0270   	0.3060    	-0.0950   	0.9000    	0.5170    	0.5740    	-7.5770   
1351.0000 	398.8500  	400.0500  	-1.0240   	-0.2670   	-0.3700   	0.5120    	1.2000    	1.0170    	0.8480    	49.9680   
1351.0000 	405.9000  	406.8000  	-0.6290   	0.0190    	-0.1420   	0.3400    	0.9000    	0.5830    	0.6480    	33.4700   
1351.0000 	434.1000  	437.4000  	0.4900    	-0.1510   	1.8400    	-0.1010   	3.3000    	1.3510    	0.4090    	2.1050    
1351.0000 	447.3000  	450.0000  	3.8960    	-0.0180   	4.8210    	0.0610    	2.7000    	0.9280    	0.3440    	4.8920    
1351.0000 	454.2000  	457.5000  	6.5120    	-0.1450   	7.5660    	-0.3010   	3.3000    	1.0660    	0.3230    	-8.4420   
1372.0000 	379.5000  	380.5500  	0.1520    	-0.0880   	0.3380    	0.0600    	1.0500    	0.2370    	0.2260    	38.5210   
1600.0000 	418.5000  	420.4500  	-1.0050   	-0.6010   	0.0380    	0.1750    	1.9500    	1.3000    	0.6670    	36.6490   
1662.0000 	391.3500  	394.0500  	-1.0180   	0.0080    	-0.1680   	-0.1450   	2.7000    	0.8630    	0.3200    	-10.2420  
1662.0000 	397.0500  	399.4500  	0.3090    	-0.1760   	0.9660    	-0.0520   	2.4000    	0.6690    	0.2790    	10.6350   
1662.0000 	402.6000  	403.6500  	1.2400    	-0.0290   	1.8260    	-0.1940   	1.0500    	0.6080    	0.5790    	-15.7520  
1707.0000 	431.8500  	433.2000  	-0.5010   	-0.3080   	-1.1500   	-0.1870   	1.3500    	0.6610    	0.4900    	169.4160  
2020.0000 	378.9000  	381.0000  	-1.1230   	0.0590    	-4.1420   	-0.2350   	2.1000    	3.0330    	1.4450    	-174.4370 
2095.0000 	341.8500  	343.0500  	0.0700    	-0.3090   	-0.3230   	0.1710    	1.2000    	0.6200    	0.5170    	129.3900  
2132.0000 	452.7000  	454.2000  	-0.1950   	-0.0910   	0.3760    	0.2940    	1.5000    	0.6890    	0.4590    	33.9710   
2152.0000 	428.8500  	430.3500  	0.0320    	-0.0160   	0.5420    	-0.1570   	1.5000    	0.5300    	0.3530    	-15.4670  
2178.0000 	462.4500  	463.3500  	-1.8190   	-1.0880   	-2.2300   	-1.1640   	0.9000    	0.4180    	0.4650    	-169.5140 
2178.0000 	463.9500  	465.6000  	-2.4590   	-1.1750   	-3.0320   	-1.1650   	1.6500    	0.5730    	0.3470    	179.0130  
