trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)
3106.0000 	373.3500  	375.1500  	-2.3020   	-0.0410   	-2.7890   	-1.7450   	1.8000    	1.7720    	0.9840    	-105.9360 
3247.0000 	352.3500  	353.2500  	-0.2990   	-0.2140   	-0.6080   	-0.3910   	0.9000    	0.3560    	0.3950    	-150.2260 
3269.0000 	361.2000  	362.1000  	-0.1250   	-0.0880   	0.2260    	-0.1110   	0.9000    	0.3510    	0.3900    	-3.8200   
3272.0000 	335.5500  	336.4500  	0.1330    	-0.3820   	-0.3500   	0.2480    	0.9000    	0.7940    	0.8820    	127.4780  
3308.0000 	361.3500  	362.4000  	0.4190    	0.8900    	-0.8580   	-0.8250   	1.0500    	2.1380    	2.0360    	-126.6730 
3355.0000 	356.7000  	357.4500  	0.2980    	-0.3380   	-0.6480   	-0.0970   	0.7500    	0.9760    	1.3010    	165.6980  
3411.0000 	318.0000  	318.7500  	0.3540    	0.3940    	-0.8430   	-0.0000   	0.7500    	1.2600    	1.6800    	-161.7650 
3429.0000 	357.6000  	359.4000  	-0.0610   	0.4090    	-0.6290   	-0.1810   	1.8000    	0.8190    	0.4550    	-133.9250 
3454.0000 	366.9000  	369.7500  	-1.6590   	-0.3610   	-2.2850   	-0.6650   	2.8500    	0.6950    	0.2440    	-154.0930 
3525.0000 	324.3000  	325.0500  	-0.0960   	-0.1020   	-0.8300   	-0.0110   	0.7500    	0.7400    	0.9870    	172.8850  
3546.0000 	336.0000  	338.1000  	0.0800    	0.1350    	-0.5220   	-0.9260   	2.1000    	1.2200    	0.5810    	-119.5570 
3593.0000 	383.2500  	386.2500  	-0.9260   	-0.4490   	-0.3620   	-0.2750   	3.0000    	0.5910    	0.1970    	17.1230   
3654.0000 	376.0500  	377.8500  	-0.0430   	-0.0340   	0.2340    	-0.2850   	1.8000    	0.3730    	0.2070    	-42.1200  
3655.0000 	359.1000  	360.0000  	-0.1900   	-0.0890   	0.0780    	0.2890    	0.9000    	0.4640    	0.5160    	54.6160   
3655.0000 	359.2500  	360.0000  	-0.1920   	-0.1170   	0.0780    	0.2960    	0.7500    	0.4940    	0.6590    	56.8380   
3695.0000 	412.0500  	412.8000  	-0.8580   	0.1820    	-2.0160   	0.0700    	0.7500    	1.1640    	1.5520    	-174.4780 
3752.0000 	488.7000  	489.6000  	-0.1180   	-0.2370   	0.5040    	0.0020    	0.9000    	0.6660    	0.7400    	20.9460   
3803.0000 	402.4500  	403.6500  	-2.5780   	0.1870    	-1.4500   	0.0080    	1.2000    	1.1420    	0.9520    	-8.9910   
3871.0000 	340.8000  	341.5500  	0.1170    	-0.0630   	-0.2260   	0.2470    	0.7500    	0.4620    	0.6160    	137.8630  
3949.0000 	319.9500  	320.8500  	0.0640    	0.5010    	-0.3660   	-0.3250   	0.9000    	0.9310    	1.0340    	-117.5490 
4206.0000 	341.2500  	342.0000  	-0.0940   	-0.2210   	-0.8340   	0.2910    	0.7500    	0.8990    	1.1990    	145.3130  
4382.0000 	468.0000  	468.9000  	-0.5740   	0.5110    	0.1170    	-0.1260   	0.9000    	0.9400    	1.0440    	-42.6450  
4779.0000 	458.5500  	460.0500  	0.1180    	-0.1970   	-0.4770   	-0.2720   	1.5000    	0.6000    	0.4000    	-172.9030 
5113.0000 	325.9500  	326.8500  	0.1140    	0.0840    	-0.1860   	0.2530    	0.9000    	0.3440    	0.3820    	150.4900  
5329.0000 	378.0000  	379.2000  	0.3870    	-0.0120   	-0.7180   	-0.0310   	1.2000    	1.1060    	0.9210    	-179.0150 
5544.0000 	487.9500  	490.3500  	0.0400    	0.0170    	1.5540    	-0.1040   	2.4000    	1.5180    	0.6330    	-4.5520   
5566.0000 	347.4000  	348.6000  	0.3970    	0.5000    	-0.2030   	0.2820    	1.2000    	0.6380    	0.5320    	-160.0830 
5751.0000 	320.7000  	321.4500  	0.0430    	0.1410    	-0.2110   	0.2990    	0.7500    	0.2990    	0.3990    	148.1620  
5753.0000 	345.7500  	346.6500  	-0.1360   	-0.0001   	-0.0300   	-0.0150   	0.9000    	0.1070    	0.1180    	-7.9300   
5796.0000 	334.8000  	335.5500  	0.0740    	0.1650    	-0.7070   	0.0730    	0.7500    	0.7860    	1.0480    	-173.2740 
6002.0000 	322.9500  	323.7000  	0.2510    	0.0650    	-0.0460   	0.2140    	0.7500    	0.3330    	0.4440    	153.4090  
6227.0000 	412.2000  	413.1000  	0.0110    	-0.0820   	-0.8340   	0.5480    	0.9000    	1.0540    	1.1710    	143.3100  
6493.0000 	316.9500  	318.3000  	-0.3740   	0.5810    	-0.5460   	0.0580    	1.3500    	0.5500    	0.4070    	-108.1330 
