trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)	msd_y
7570	456.75	458.55	3.189	0.652	3.581	0.474	1.8	0.43	0.239	-24.397	2.427959735349717e-14
7688	488.7	489.75	0.173	0.601	-0.272	-0.422	1.05	1.116	1.062	-113.498	8.639125979220918e-14
7702	380.55	381.45	-0.398	-0.047	-0.766	0.089	0.9	0.392	0.436	159.694	1.372311383381599e-14
7810	465.6	466.95	-0.171	-0.154	-1.41	-0.08	1.35	1.241	0.919	176.589	3.832340635060607e-14
7810	471.75	473.85	-2.626	-0.046	-4.067	0.572	2.1	1.568	0.747	156.798	3.832340635060607e-14
8915	448.35	449.55	-0.115	0.08699999999999999	0.864	-0.254	1.2	1.037	0.864	-19.205	4.364758258458941e-14
9079	463.65	465.3	-0.618	-0.1	-1.57	0.106	1.65	0.974	0.59	167.759	3.147037787317467e-14
9314	464.7	465.6	0.323	0.017	-0.669	0.026	0.9	0.992	1.102	179.504	2.487869147936508e-14
9316	484.05	485.4	0.846	-0.169	1.72	0.106	1.35	0.916	0.678	17.481	2.152204023103765e-14
9410	481.05	482.4	-0.018	0.026	0.322	-0.008	1.35	0.341	0.253	-5.684	3.838246711432505e-14
9593	523.05	524.55	-0.045	0.278	0.248	0.029	1.5	0.384	0.256	-40.374	6.421977920946746e-14
