trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)	msd_y
16	618.15	618.9	-0.357	-0.266	0.168	-0.235	0.75	0.526	0.701	3.382	7.253369598927554e-14
16	622.35	623.4	1.196	-0.206	1.778	-0.395	1.05	0.612	0.583	-18.039	7.253369598927554e-14
65	428.55	429.3	0.08500000000000001	-0.183	-1.034	0.179	0.75	1.176	1.568	162.065	2.706758545454544e-14
61	476.1	477	0.043	0.373	-0.62	0.016	0.9	0.753	0.836	-151.723	3.158823128149175e-14
107	489.75	491.1	0.06	0.099	-0.534	-0.262	1.35	0.695	0.515	-148.756	4.926356427712579e-14
99	558	558.75	-0.123	0.243	0.114	0.285	0.75	0.241	0.321	10.078	3.374763607408206e-14
107	489.75	491.55	0.06	0.158	-0.416	-0.276	1.8	0.645	0.358	-137.605	4.926356427712579e-14
173	431.1	432	-0.272	0.118	-0.764	-0.007	0.9	0.508	0.5639999999999999	-165.739	1.200662794959059e-14
290	538.2	539.1	0.193	-0.132	0.649	-0.646	0.9	0.6870000000000001	0.763	-48.419	2.419562689563843e-14
290	540.6	541.5	0.92	-0.322	1.091	-0.396	0.9	0.186	0.207	-23.342	2.419562689563843e-14
317	430.95	431.7	-0.295	0.263	-0.522	-0.159	0.75	0.478	0.638	-118.324	4.211033890053344e-14
379	612	614.55	-1.467	0.256	-3.237	0.192	2.55	1.771	0.695	-177.94	7.108109980418115e-14
417	416.25	417.6	-0.111	-0.29	-0.416	-0.151	1.35	0.335	0.248	155.513	4.175756967978314e-14
626	434.1	435	0.236	0.08599999999999999	-0.622	-0.037	0.9	0.867	0.963	-171.811	2.067107371365304e-14
626	462.45	463.5	-0.262	-0.164	-0.772	-0.099	1.05	0.514	0.49	172.674	2.067107371365304e-14
671	579.15	580.2	-1.762	0.153	-2.438	0.116	1.05	0.677	0.645	-176.841	2.448783168354095e-15
671	588.15	589.5	-2.705	0.146	-4.427	0.158	1.35	1.722	1.276	179.585	2.448783168354095e-15
674	513.9	515.1	0.035	-0.264	0.508	-0.011	1.2	0.536	0.447	28.118	3.618802971080673e-14
674	519	519.75	0.638	-0.252	1.12	-0.261	0.75	0.482	0.643	-1.028	3.618802971080673e-14
674	524.1	525	1.109	-0.093	1.588	-0.191	0.9	0.489	0.543	-11.549	3.618802971080673e-14
674	525.75	526.95	1.46	-0.442	1.814	-0.076	1.2	0.509	0.425	45.987	3.618802971080673e-14
674	527.55	529.8	0.9	0.123	2.139	0.044	2.25	1.242	0.552	-3.665	3.618802971080673e-14
705	492.6	493.65	-0.5629999999999999	0.401	0.011	0.224	1.05	0.601	0.572	-17.128	4.308477051971603e-14
705	501.45	503.25	0.583	0.137	1.109	0.171	1.8	0.527	0.293	3.667	4.308477051971603e-14
705	505.2	507	1.165	0.076	1.67	0.178	1.8	0.515	0.286	11.405	4.308477051971603e-14
705	513.75	515.1	1.971	-0.013	2.507	0.126	1.35	0.554	0.41	14.452	4.308477051971603e-14
705	517.65	518.55	2.909	-0.207	3.167	-0.274	0.9	0.267	0.296	-14.572	4.308477051971603e-14
748	518.25	520.05	-1.279	-0.099	-0.967	0.08500000000000001	1.8	0.362	0.201	30.569	5.93693432583826e-15
748	528.75	529.95	-0.305	-0.034	-0.005	0.058	1.2	0.314	0.261	17.007	5.93693432583826e-15
748	567.45	568.65	2.125	0.468	2.4	0.207	1.2	0.379	0.316	-43.458	5.93693432583826e-15
748	577.65	580.35	2.629	0.433	3.162	0.438	2.7	0.533	0.197	0.517	5.93693432583826e-15
775	546.75	547.5	-1.143	-0.26	-1.953	0.035	0.75	0.862	1.149	159.989	4.576157914690014e-14
833	429.3	430.05	-0.198	0.573	-1.713	0.227	0.75	1.554	2.072	-167.127	5.180759779614323e-14
835	515.7	517.2	-0.444	0.027	-1.482	0.129	1.5	1.043	0.695	174.358	2.426496822406893e-14
837	510.9	511.65	-2.745	-0.452	-2.29	-0.441	0.75	0.455	0.607	1.464	5.032388106253164e-14
837	512.1	512.85	-2.197	-0.5590000000000001	-1.716	-0.536	0.75	0.482	0.642	2.747	5.032388106253164e-14
837	513.15	513.9	-1.656	-0.489	-1.404	-0.377	0.75	0.275	0.367	23.817	5.032388106253164e-14
837	517.65	519.3	-1.398	-0.483	-0.412	-0.5590000000000001	1.65	0.989	0.599	-4.391	5.032388106253164e-14
837	527.55	529.2	0.272	-0.5	1.003	0.233	1.65	1.036	0.628	45.1	5.032388106253164e-14
837	540.15	541.2	0.463	-0.345	1.084	-0.099	1.05	0.668	0.636	21.621	5.032388106253164e-14
837	542.55	547.35	1.497	0.475	3.811	0.004	4.8	2.361	0.492	-11.483	5.032388106253164e-14
837	549	551.7	1.384	-0.123	3.066	-0.177	2.7	1.683	0.623	-1.823	5.032388106253164e-14
837	552.3	555.3	3.015	0.177	4.469	-0.217	3	1.506	0.502	-15.129	5.032388106253164e-14
837	560.7	561.6	5.309	-0.134	5.747	-0.006	0.9	0.456	0.507	16.28	5.032388106253164e-14
846	457.95	459	-0.078	0.176	-0.323	0.057	1.05	0.272	0.259	-154.147	4.580936961423989e-14
863	561.9	562.95	0.677	-0.331	-0.965	0.545	1.05	1.861	1.772	151.919	6.640120755186612e-15
863	591.3	592.5	-2.065	1.17	-3.059	0.903	1.2	1.029	0.858	-164.957	6.640120755186612e-15
871	424.95	426.15	0.252	-0.048	-0.265	-0.063	1.2	0.517	0.431	-178.393	2.585678326122603e-14
903	475.5	476.25	-0.625	-0.042	-0.983	0.053	0.75	0.371	0.494	165.041	9.814364857078579e-15
942	457.8	458.7	-0.062	-0.329	-1.217	0.581	0.9	1.471	1.634	141.744	3.031968917895227e-14
1014	503.25	504.3	0.124	0.509	-0.63	0.121	1.05	0.848	0.8070000000000001	-152.802	7.590948661881282e-14
1014	509.25	510.15	-0.985	0.101	-1.58	-0.048	0.9	0.613	0.6820000000000001	-165.94	7.590948661881282e-14
1014	550.65	552.15	-1.832	0.187	-1.35	-0.141	1.5	0.583	0.389	-34.28	7.590948661881282e-14
1014	556.95	558	-2.587	0.104	-2.38	0.447	1.05	0.401	0.382	58.93	7.590948661881282e-14
1076	601.95	603	-0.035	0.195	0.407	0.128	1.05	0.447	0.426	-8.585000000000001	2.46926865079365e-14
1082	443.7	445.05	0.017	0.278	-0.342	0.584	1.35	0.472	0.35	139.497	6.192172143345266e-14
1137	489	491.4	-0.202	0.06900000000000001	0.462	-0.066	2.4	0.678	0.282	-11.479	3.041540948003444e-14
1148	658.95	660	-0.31	-0.024	0.111	-0.025	1.05	0.421	0.401	-0.089	5.487995204115598e-14
1148	660.3	661.35	0.067	0.054	0.632	0.171	1.05	0.577	0.55	11.698	5.487995204115598e-14
