trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)	msd_y
29	161.4	162.3	-0.014	-0.178	-0.117	-0.155	0.9	0.105	0.117	167.08	5.874995141950119e-15
168	167.55	168.45	-0.146	-0.32	0.235	0.08699999999999999	0.9	0.5580000000000001	0.62	46.941	2.783469033314639e-14
189	185.7	186.45	-0.13	-0.045	0.197	-0.08599999999999999	0.75	0.329	0.439	-7.232	7.022097782911416e-15
245	115.65	117	0.173	-0.064	-0.288	-0.11	1.35	0.463	0.343	-174.27	2.904196941644948e-15
333	190.95	192	-0.045	0.045	0.176	-0.058	1.05	0.244	0.232	-24.991	8.790859850993387e-15
333	193.95	194.7	0.482	-0.014	0.574	-0.041	0.75	0.097	0.129	-16.467	8.790859850993387e-15
376	197.1	198	0.053	-0.062	0.392	-0.059	0.9	0.339	0.377	0.415	3.069800365443786e-14
392	152.55	153.45	-0.438	-0.201	-1.08	-0.136	0.9	0.645	0.717	174.196	1.001147880766875e-14
487	130.8	131.55	0.078	-0.011	-0.186	-0.416	0.75	0.484	0.645	-123.094	2.956754181000135e-15
487	137.4	138.45	-0.403	-1.651	-1.154	-0.328	1.05	1.52	1.448	119.577	2.956754181000135e-15
511	124.05	124.95	0.125	-0.257	-0.216	-0.365	0.9	0.358	0.397	-162.403	9.900156008771921e-15
549	134.55	136.05	-0.043	-0.042	-0.5659999999999999	-0.106	1.5	0.527	0.351	-173.031	9.65650551677135e-15
549	136.35	137.55	-1.038	0.187	-1.626	-1.353	1.2	1.648	1.373	-110.872	9.65650551677135e-15
666	145.35	146.55	-0.054	0.149	0.318	-0.08	1.2	0.437	0.364	-31.513	2.220152955112886e-14
673	122.1	123	0.003	-0.148	0.269	0.07199999999999999	0.9	0.345	0.383	39.6	2.168613876710286e-14
698	170.7	171.75	-0.101	-0.141	0.272	-0.027	1.05	0.39	0.371	17.103	2.160405507067532e-14
847	160.05	163.65	-0.43	-0.128	-1.851	-0.296	3.6	1.431	0.397	-173.221	2.232909576143205e-14
1437	138	138.9	-0.189	-0.271	-0.416	-0.233	0.9	0.23	0.256	170.511	6.474407713300726e-15
1650	160.95	161.85	0.027	-0.073	-0.278	-0.019	0.9	0.31	0.345	170.062	1.392613128411375e-14
1686	172.8	174.3	0.002	-0.027	0.118	-0.097	1.5	0.136	0.091	-30.767	2.769122050591276e-14
1707	203.1	203.85	-0.045	-0.08699999999999999	0.032	-0.105	0.75	0.079	0.105	-13.243	2.751315382648664e-14
1	180	180.9	-0.485	-0.162	-0.586	-0.209	0.9	0.111	0.124	-154.989	1.646911822686348e-15
115	141.3	142.05	-0.029	-0.149	0.067	-0.214	0.75	0.116	0.154	-33.94	5.130583081843164e-14
151	122.7	123.75	0.051	-0.329	-0.066	-0.232	1.05	0.152	0.145	140.137	1.855874949759998e-15
176	120.3	121.05	-0.13	-0.44	-0.29	-0.452	0.75	0.16	0.214	-175.543	3.779843491499037e-15
276	151.8	153.6	0.136	-0.228	0.414	-0.074	1.8	0.318	0.177	28.924	3.987597148916748e-14
307	131.7	132.75	0.082	-0.09	0.45	-0.055	1.05	0.37	0.352	5.489	1.18352184359566e-14
318	125.55	126.9	-0.27	-0.246	-0.43	-0.353	1.35	0.193	0.143	-146.179	1.188141321382294e-15
379	124.65	125.55	-0.08799999999999999	-0.089	0.08799999999999999	-0.037	0.9	0.183	0.204	16.421	2.092978139828021e-14
470	163.65	164.7	-0.082	-0.149	0.155	-0.065	1.05	0.251	0.239	19.449	1.028829965304673e-14
533	112.5	113.25	0.08500000000000001	-0.135	-0.24	-0.268	0.75	0.351	0.468	-157.7	1.57332253300712e-14
589	162.15	165.75	0.022	-0.123	0.306	-0.083	3.6	0.286	0.079	8.071	1.073153636922853e-14
608	151.05	153.15	-0.125	0.101	-0.117	0.102	2.1	0.008	0.004	6.525	1.130439230311669e-14
657	135.6	136.5	-0.021	-0.125	0.128	-0.058	0.9	0.163	0.181	24.272	1.721781510358656e-14
663	174.6	175.5	0.032	-0.152	-0.21	-0.287	0.9	0.277	0.308	-150.745	1.160975544553221e-14
716	125.1	125.85	0.091	0.17	-0.154	0.028	0.75	0.283	0.378	-149.76	1.689562345716387e-14
736	139.8	141.15	-0.08799999999999999	-0.132	-0.438	-0.006	1.35	0.372	0.276	160.295	9.008027649841831e-15
964	141	143.4	0.307	-0.09	-1.122	-0.012	2.4	1.431	0.596	176.846	8.357225407471077e-15
964	148.8	150	-1.282	-0.06	-2.158	0.045	1.2	0.883	0.736	173.218	8.357225407471077e-15
964	150.45	151.2	-2.381	-0.08799999999999999	-2.901	-0.023	0.75	0.524	0.699	172.843	8.357225407471077e-15
1532	133.2	134.4	-0.062	-0.0004	0.162	-0.21	1.2	0.307	0.256	-43.155	1.028080059234578e-14
1617	190.65	192.75	0.117	0.341	-2.294	0.211	2.1	2.415	1.15	-176.902	6.973391123217416e-15
1621	210.6	212.55	-0.114	0.008999999999999999	0.347	-0.195	1.95	0.504	0.258	-23.889	1.705865633755207e-14
1664	258.15	258.9	1.147	0.244	0.622	0.016	0.75	0.572	0.763	-156.498	3.199098574380215e-15
1678	169.35	170.1	-0.032	-0.436	-0.328	-0.004	0.75	0.524	0.698	124.425	1.557642704884627e-13
1695	158.1	158.85	-0.016	0.033	0.162	-0.115	0.75	0.231	0.308	-39.741	2.034457904632017e-14
1744	181.5	182.55	-0.45	-0.143	-1.163	-0.038	1.05	0.721	0.6870000000000001	171.577	1.97683520997164e-14
1847	218.1	219.15	-0.242	0.136	-0.4	0.13	1.05	0.159	0.151	-177.863	1.355093670280634e-15
29	161.4	162.3	-0.014	-0.178	-0.117	-0.155	0.9	0.105	0.117	167.08	5.972232172242123e-15
161	125.7	126.6	-0.453	0.047	-0.502	0.096	0.9	0.07000000000000001	0.077	135.335	6.180836315020003e-15
245	115.65	117	0.173	-0.064	-0.288	-0.11	1.35	0.463	0.343	-174.27	2.433503373253157e-15
333	190.95	192.15	-0.045	0.012	0.285	-0.057	1.2	0.337	0.281	-11.828	8.903144477094179e-15
333	193.95	194.7	0.482	-0.014	0.574	-0.041	0.75	0.097	0.129	-16.467	8.903144477094179e-15
511	124.05	124.8	0.125	-0.328	-0.098	-0.203	0.75	0.255	0.34	150.741	9.685032342073982e-15
549	134.85	136.05	-0.138	-0.02	-0.5659999999999999	-0.121	1.2	0.44	0.367	-166.821	1.046530671290308e-14
549	136.5	137.55	-0.947	0.547	-1.626	-1.374	1.05	2.037	1.94	-109.454	1.046530671290308e-14
666	145.65	146.4	0.051	0.156	0.261	-0.091	0.75	0.323	0.431	-49.601	2.36729971754356e-14
673	122.1	122.85	0.003	-0.114	0.163	-0.056	0.75	0.17	0.227	19.804	2.328150365219485e-14
698	170.7	171.75	-0.101	-0.141	0.272	-0.027	1.05	0.39	0.371	17.103	2.059497661863902e-14
767	144.6	145.5	0.093	-0.376	-1.354	-0.094	0.9	1.474	1.637	168.962	9.198445517721704e-15
847	158.7	159.45	-0.042	-0.131	-0.288	-0.252	0.75	0.275	0.366	-153.825	2.1038598650173e-14
847	159.9	160.95	-0.384	-0.127	-0.89	-0.256	1.05	0.522	0.497	-165.707	2.1038598650173e-14
847	161.1	163.65	-0.85	-0.181	-1.851	-0.3	2.55	1.009	0.396	-173.225	2.1038598650173e-14
861	107.1	107.85	0.048	-0.057	-0.077	-0.147	0.75	0.154	0.205	-144.14	9.374417737465325e-15
1340	181.05	181.8	-0.018	0.038	0.194	-0.204	0.75	0.321	0.428	-48.898	1.505470616785198e-14
1621	192.9	194.1	0.032	0.188	0.093	0.202	1.2	0.062	0.052	12.942	2.006061224489796e-14
1658	164.1	165.3	-0.467	0.004	-0.179	-0.019	1.2	0.289	0.241	-4.661	2.64708837383781e-14
1707	203.1	203.85	-0.045	-0.08699999999999999	0.032	-0.105	0.75	0.079	0.105	-13.243	2.878942938139124e-14
1893	298.35	299.4	0.731	-0.294	-0.448	-0.594	1.05	1.217	1.159	-165.731	5.148536955139318e-14
9	111	111.75	0.059	-0.246	-0.277	-0.212	0.75	0.338	0.45	174.127	5.800976013183632e-15
47	148.65	149.7	-0.067	0.051	0.334	-0.019	1.05	0.408	0.388	-9.944000000000001	1.019951250986603e-14
82	152.1	153.3	0.432	-0.287	0.918	-0.08	1.2	0.529	0.441	23.094	2.24590383995075e-14
82	156	156.75	1.483	-0.159	1.664	-0.24	0.75	0.198	0.264	-23.977	2.24590383995075e-14
