trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)	msd_y
172	112.5	113.4	-0.014	0.006	0.131	0.004	0.9	0.146	0.162	-0.486	6.228001113211505e-16
284	137.55	138.45	0.16	0.061	0.418	0.0002	0.9	0.265	0.294	-13.366	1.200405758240039e-14
301	117.3	118.35	0.006	0.14	0.13	-0.022	1.05	0.203	0.194	-52.726	9.024850161734093e-15
473	119.4	120.15	-0.083	0.197	0.122	0.005	0.75	0.281	0.374	-43.182	9.841606462585023e-15
476	128.85	129.75	0.048	0.245	-0.178	-0.029	0.9	0.355	0.395	-129.394	6.918753850617285e-15
495	151.05	151.8	-0.106	-0.035	0.179	0.15	0.75	0.34	0.453	32.998	1.117369479021126e-14
569	115.35	116.1	-0.053	0.11	0.099	0.238	0.75	0.199	0.265	40.034	1.31973698605801e-14
575	107.25	108	-0.091	0.011	0.077	0.133	0.75	0.207	0.276	35.849	1.113517941646103e-14
621	114.45	115.35	0.016	0.155	-0.184	0.153	0.9	0.2	0.222	-179.484	9.697389228398345e-15
638	112.2	113.1	0.06900000000000001	0.001	0.179	0.117	0.9	0.16	0.177	46.235	1.926574318694078e-14
676	120.75	121.5	0.03	-0.053	-0.082	0.055	0.75	0.156	0.207	136.04	1.111176165978859e-14
710	123	123.9	-0.104	0.032	0.019	-0.183	0.9	0.248	0.275	-60.187	8.231492722238967e-15
777	126.9	127.95	0.024	0.045	-0.349	0.098	1.05	0.377	0.359	171.956	1.098711167280297e-14
791	105.6	106.5	-0.08500000000000001	-0.035	0.165	0.02	0.9	0.256	0.284	12.483	1.350028602922651e-14
845	135.45	136.2	-0.001	0.151	0.142	0.037	0.75	0.183	0.244	-38.422	6.377082399967544e-15
951	104.85	106.35	-0.114	0.058	0.034	0.232	1.5	0.228	0.152	49.741	1.072696701155601e-14
971	106.05	107.1	0.019	0.007	0.155	0.091	1.05	0.16	0.152	31.748	2.125151029822485e-14
1069	99.59999999999999	100.35	-0.117	0.182	0.123	0.168	0.75	0.24	0.321	-3.233	1.942455900826447e-14
1114	115.95	116.85	-0.093	0.023	-0.008	0.096	0.9	0.112	0.124	40.535	1.523582618531435e-14
1190	111.3	112.2	-0.202	0.176	-0.488	0.05	0.9	0.313	0.347	-156.328	4.401638875487918e-15
1467	116.7	117.45	-0.067	-0.074	0.019	-0.017	0.75	0.103	0.138	33.355	1.514799963017751e-14
1672	115.05	115.95	3.706	0.333	2.589	0.012	0.9	1.162	1.291	-163.986	8.900534449729154e-15
1695	126.9	127.95	1.25	-0.111	1.043	-0.039	1.05	0.219	0.208	160.776	1.620838582815785e-15
1695	157.5	158.4	-0.176	0.003	-0.434	-0.063	0.9	0.266	0.295	-165.726	1.620838582815785e-15
1705	143.7	148.35	0.33	0.048	-0.147	-0.104	4.65	0.5	0.108	-162.404	9.308038347107452e-15
3	100.65	101.4	-0.01	0.029	0.176	0.062	0.75	0.188	0.251	10.008	9.698528855032307e-15
30	106.5	107.85	-0.074	0.159	0.149	0.109	1.35	0.228	0.169	-12.647	1.084089986282579e-14
66	121.95	123.6	-0.074	0.201	-3.648	0.089	1.65	3.576	2.167	-178.202	4.588164452200056e-15
76	107.4	108.15	-0.832	0.155	-1.602	0.096	0.75	0.772	1.029	-175.685	1.173431378446931e-14
100	99.75	100.5	-0.118	0.08699999999999999	0.11	0.152	0.75	0.238	0.317	15.802	1.335895436446559e-14
