trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)	msd_y
970	86.55	87.90000000000001	0.013	-0.049	-0.409	-0.108	1.35	0.426	0.316	-172.082	1.153181169635608e-15
1069	73.5	74.55	0.06900000000000001	0.002	-0.24	-0.027	1.05	0.31	0.296	-174.542	8.626035994513022e-15
1137	81	81.90000000000001	0.062	0.066	-0.329	-0.113	0.9	0.43	0.478	-155.394	8.852581028571429e-15
1153	100.95	102	0.974	-0.277	0.614	-0.101	1.05	0.401	0.382	153.958	1.072011691623239e-15
1153	106.05	107.4	-0.1	0.026	-0.454	0.1	1.35	0.361	0.268	168.33	1.072011691623239e-15
1173	106.8	107.7	2.274	-0.617	0.61	-0.446	0.9	1.673	1.859	174.145	1.771551154964398e-15
1173	144.45	145.35	-3.71	0.644	-4.709	1.054	0.9	1.08	1.2	157.691	1.771551154964398e-15
1244	114.45	115.2	0.33	0.021	0.089	0.029	0.75	0.241	0.321	178.261	1.155305201731063e-15
1327	195	198.3	1.575	-0.023	0.5669999999999999	0.163	3.3	1.025	0.311	169.537	1.274153327112656e-15
1327	205.95	207	-0.053	0.116	-0.288	0.12	1.05	0.235	0.224	178.979	1.274153327112656e-15
1327	240.75	244.5	-0.6889999999999999	-0.029	-1.246	0.034	3.75	0.5610000000000001	0.149	173.508	1.274153327112656e-15
123	79.2	80.40000000000001	0.07099999999999999	0.137	0.498	-0.022	1.2	0.456	0.38	-20.496	7.821201110380594e-15
123	85.8	88.34999999999999	0.894	-0.003	1.756	-0.297	2.55	0.911	0.357	-18.847	7.821201110380594e-15
305	120	121.65	0.07199999999999999	-0.097	0.215	-0.008	1.65	0.168	0.102	31.923	8.326908583328992e-15
305	123.6	124.5	0.23	0.07099999999999999	0.356	-0.032	0.9	0.163	0.181	-39.252	8.326908583328992e-15
316	76.34999999999999	77.7	0.022	0.147	0.29	-0.504	1.35	0.704	0.522	-67.64100000000001	1.166169605142331e-14
321	90	91.2	-0.08500000000000001	-0.012	0.201	-0.106	1.2	0.301	0.251	-18.207	1.561305230477023e-14
416	76.65000000000001	77.55	0.105	-0.098	0.219	-0.133	0.9	0.119	0.132	-16.978	9.010818248629088e-15
440	135.3	137.25	1.67	-0.209	0.757	-0.038	1.95	0.929	0.476	169.432	1.090532220603538e-14
441	77.09999999999999	78.3	0.047	-0.196	0.136	-0.285	1.2	0.126	0.105	-44.971	2.159639480604865e-14
470	82.5	83.40000000000001	-0.314	-0.034	-0.039	-0.279	0.9	0.368	0.409	-41.694	1.531415315262846e-14
470	87.45	90.3	0.404	-0.02	1.32	-0.095	2.85	0.919	0.322	-4.723	1.531415315262846e-14
526	108.6	113.7	-0.133	0.017	0.785	0.138	5.1	0.926	0.182	7.506	1.216104423342259e-14
620	77.40000000000001	78.3	0.114	-0.13	0.278	-0.068	0.9	0.175	0.195	20.794	1.650171088043059e-14
713	114	115.05	0.198	0.015	0.424	0.062	1.05	0.231	0.22	11.585	1.163030666057004e-14
715	159	159.75	0.107	0.041	0.157	0.08599999999999999	0.75	0.068	0.09	42.3	9.752838209104654e-15
769	102.75	103.8	0.23	0.0007	0.501	-0.106	1.05	0.291	0.278	-21.567	1.500541322881344e-14
769	108.75	110.4	0.8100000000000001	-0.124	1.167	0.127	1.65	0.436	0.264	35.106	1.500541322881344e-14
769	112.35	113.7	1.323	-0.081	1.594	-0.044	1.35	0.274	0.203	7.863	1.500541322881344e-14
789	108.3	109.5	0.064	-0.167	0.329	-0.175	1.2	0.265	0.221	-1.744	8.688739726516056e-15
823	85.65000000000001	87	0.065	0.041	0.305	-0.398	1.35	0.5	0.371	-61.343	1.005740660341024e-14
835	104.55	106.2	-1.164	-0.019	-2.392	-0.124	1.65	1.232	0.747	-175.118	1.504038500303234e-14
1018	79.65000000000001	80.40000000000001	-0.368	-0.046	-0.781	-0.093	0.75	0.416	0.554	-173.44	6.133748529226509e-15
1046	85.95	87	-0.035	0.02	0.199	-0.062	1.05	0.248	0.236	-19.313	1.631528403351699e-14
1049	82.05	83.25	-1.476	0.121	-1.049	-0.075	1.2	0.47	0.391	-24.614	1.703834458378924e-14
1049	88.8	91.34999999999999	0.243	-0.022	1.372	-0.096	2.55	1.131	0.444	-3.777	1.703834458378924e-14
1049	97.8	100.65	1.907	-0.253	2.676	-0.184	2.85	0.772	0.271	5.116	1.703834458378924e-14
1049	101.7	104.4	2.862	-0.047	3.902	-0.162	2.7	1.046	0.388	-6.299	1.703834458378924e-14
1049	106.8	108.6	3.273	-0.318	4.038	-0.158	1.8	0.781	0.434	11.791	1.703834458378924e-14
1107	159	160.35	0.079	-0.138	0.156	-0.042	1.35	0.123	0.091	51.108	1.070862795873634e-14
136	116.4	117.3	-0.092	0.137	0.574	-0.182	0.9	0.739	0.821	-25.617	1.666606178457496e-14
193	97.65000000000001	100.8	-0.01	0.063	0.254	-0.075	3.15	0.298	0.095	-27.688	1.932701263187627e-14
205	124.35	125.7	0.045	-0.18	0.348	0.101	1.35	0.414	0.306	42.887	1.913626440420129e-14
219	87.45	88.95	0.014	-0.07099999999999999	0.25	-0.019	1.5	0.242	0.161	12.278	1.123470398289521e-14
240	75.3	76.5	0.314	-0.213	0.757	-0.073	1.2	0.465	0.387	17.614	1.005475119000657e-14
259	68.7	69.75	0.146	-0.123	0.033	-0.176	1.05	0.125	0.119	-155.126	9.804197815058717e-15
262	70.95	72.75	-0.066	-0.128	0.253	-0.109	1.8	0.32	0.178	3.542	1.138403117768595e-14
