trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)	msd_y
2	222.45	223.5	-0.136	0.003	0.358	-0.104	1.05	0.506	0.482	-12.24	1.807860334780888e-14
84	133.35	134.25	0.107	-0.09	-0.288	-0.307	0.9	0.451	0.501	-151.207	1.118354628561453e-14
325	117.9	119.1	0.08799999999999999	-0.371	-0.286	-0.256	1.2	0.392	0.327	162.796	1.909681169784335e-14
349	130.65	131.85	0.018	0.177	-0.805	-0.074	1.2	0.86	0.717	-163.013	1.238713528430232e-14
482	135.6	136.65	-0.07000000000000001	0.029	0.134	0.19	1.05	0.261	0.248	38.214	2.312343879815701e-14
488	125.7	126.9	0.114	-0.241	-0.44	0.16	1.2	0.6830000000000001	0.57	144.095	1.207184504132231e-14
670	133.65	134.85	0.128	0.014	-0.13	-0.123	1.2	0.292	0.243	-151.975	2.845119745452633e-15
793	134.55	135.45	-0.946	0.258	-1.49	0.061	0.9	0.579	0.643	-160.086	1.462044109419385e-14
889	121.05	121.95	-0.037	0.126	0.037	0.147	0.9	0.076	0.08500000000000001	15.455	4.121552211341832e-14
920	240.3	242.4	0.131	-0.103	0.613	-0.094	2.1	0.482	0.229	0.984	2.059547863636754e-14
949	131.1	132.3	-0.019	-0.018	-0.8139999999999999	-0.018	1.2	0.795	0.663	-179.971	2.427537632733146e-14
1102	157.35	158.55	-0.198	-0.012	-0.651	-0.297	1.2	0.535	0.446	-147.789	8.546144502017706e-15
1160	127.8	128.85	0.126	-0.129	-0.112	0.017	1.05	0.28	0.266	148.454	1.457974192184196e-14
1208	146.55	147.6	0.01	0.143	-0.248	-0.1	1.05	0.354	0.337	-136.651	1.351871553879217e-14
1219	132.6	133.5	0.03	-0.107	0.304	-0.128	0.9	0.274	0.305	-4.441	1.327949023672973e-14
1445	132.75	134.25	-0.266	0.042	-1.29	0.031	1.5	1.024	0.6830000000000001	-179.355	1.868119232093665e-14
1445	138.15	140.1	-1.69	-0.145	-2.898	0.054	1.95	1.224	0.628	170.611	1.868119232093665e-14
1521	175.65	176.85	0.477	-0.399	0.9379999999999999	-0.291	1.2	0.473	0.394	13.112	2.636995822960302e-14
1762	171.45	172.5	0.032	-0.147	0.238	-0.026	1.05	0.24	0.228	30.508	7.064761888825048e-15
2306	127.2	128.1	0.062	-0.016	-0.205	-0.021	0.9	0.267	0.297	-178.736	2.388129707324105e-14
2453	140.1	141.15	-0.314	-0.499	-0.989	-0.2	1.05	0.739	0.704	156.058	3.56144921086168e-14
2535	115.8	116.85	-0.157	-0.135	0.189	0.066	1.05	0.4	0.381	30.185	2.160410870858957e-14
2542	165.6	166.95	0.021	-0.09	-0.168	-0.305	1.35	0.286	0.212	-131.237	1.111254579124114e-14
2586	118.5	119.55	-0.011	-0.264	-0.624	0.607	1.05	1.065	1.014	125.132	2.375813027725267e-14
2800	141.45	142.65	0.109	-0.113	-0.501	0.322	1.2	0.749	0.624	144.47	2.050684320597529e-14
2840	166.35	167.25	0.046	-0.24	-0.325	-0.055	0.9	0.415	0.461	153.523	1.201885196523438e-14
2908	186.6	187.5	0.224	-0.059	0.611	0.107	0.9	0.421	0.468	23.268	1.669983324298397e-14
2908	189	189.75	0.67	-0.06	1.024	0.236	0.75	0.461	0.614	39.851	1.669983324298397e-14
3011	173.4	175.05	-1.323	-0.338	-5.309	-0.106	1.65	3.992	2.42	176.659	1.537561045751636e-14
3069	127.8	129	0.221	0.203	0.038	0.307	1.2	0.21	0.175	150.195	3.083795429155556e-14
3092	173.1	173.85	-0.07199999999999999	-0.164	0.162	0.254	0.75	0.479	0.638	60.794	2.69445999130337e-14
3150	128.55	129.6	-0.438	-0.23	-0.754	-0.248	1.05	0.316	0.301	-176.633	1.615101900147929e-14
3150	129.9	131.1	-0.746	-0.344	-1.344	-0.318	1.2	0.599	0.499	177.589	1.615101900147929e-14
3153	160.95	161.85	-0.045	0.073	0.208	-0.057	0.9	0.284	0.316	-27.13	1.383614980153061e-14
3229	123.15	124.05	-0.005	-0.006	0.342	-0.198	0.9	0.397	0.441	-28.983	1.511389889069167e-14
3425	116.7	118.35	0.282	0.119	-0.334	-0.325	1.65	0.759	0.46	-144.256	1.108821431734747e-14
3473	127.35	128.1	-0.242	-0.194	-0.426	-0.218	0.75	0.186	0.247	-172.636	1.840162997500001e-14
3500	138.75	140.1	-0.256	-0.011	-1.346	0.06	1.35	1.092	0.8090000000000001	176.283	1.989036717512419e-14
3551	138.15	138.9	-0.23	-0.167	-0.058	-0.179	0.75	0.173	0.231	-3.932	1.667615916068027e-14
3577	142.05	143.1	-0.365	-0.118	-0.898	-0.065	1.05	0.535	0.51	174.324	1.602393096618651e-14
