 	trajectory	start	end
1	21	83.700	107.250
2	36	82.650	112.050
3	47	81.000	94.650
4	77	80.550	119.700
5	98	137.700	191.550
6	119	85.950	93.300
7	125	110.850	268.650
8	163	124.950	196.500
9	186	81.150	103.650
10	219	81.600	141.450
11	226	84.150	156.600
12	251	82.800	118.500
13	252	84.750	123.450
14	258	80.850	91.050
15	263	81.750	117.300
16	267	83.100	136.050
17	285	85.200	190.200
18	289	80.400	110.250
19	292	81.450	120.900
20	306	83.400	154.950
21	310	84.750	174.000
22	320	86.400	157.650
23	345	81.300	94.800
24	370	84.600	110.550
25	373	81.000	108.600
26	377	91.350	143.100
27	384	82.800	131.400
28	420	82.050	112.800
29	426	90.600	146.850
30	445	86.400	131.250
31	455	81.150	100.650
32	459	84.450	141.900
33	472	84.900	134.700
34	480	82.350	95.250
35	484	81.750	90.900
36	499	85.500	123.000
37	509	92.250	102.150
38	524	91.650	158.700
39	530	98.550	111.750
40	539	86.700	147.750
41	564	94.350	241.200
42	589	94.800	131.400
43	590	80.700	118.950
44	595	87.000	149.400
45	607	111.300	181.800
46	612	81.150	100.050
47	615	82.050	108.300
48	618	121.050	201.600
49	620	81.000	101.400
50	635	89.250	110.250
51	643	93.750	139.350
52	652	104.850	116.550
53	661	125.100	181.650
54	675	82.350	108.150
55	678	89.850	119.850
56	683	101.400	190.350
57	697	80.400	97.800
58	720	88.500	154.800
59	726	86.250	131.550
60	739	94.500	152.400
61	760	84.450	109.200
62	769	88.950	124.200
63	795	81.300	106.050
64	797	83.250	185.550
65	798	149.100	185.400
66	810	85.500	141.300
67	825	82.500	102.000
68	876	85.650	103.350
69	880	88.500	125.700
70	884	90.600	135.750
71	895	80.700	101.550
72	898	100.800	141.150
73	904	80.850	132.750
74	908	83.700	111.600
75	912	81.900	121.500
76	914	85.200	124.950
77	917	81.600	103.200
78	927	85.500	151.200
79	930	87.300	138.750
80	932	84.000	109.050
81	935	93.300	115.800
82	942	104.100	126.000
83	946	82.350	115.650
84	954	186.150	269.850
85	959	80.850	103.950
86	962	119.100	173.550
87	974	80.700	89.700
88	1017	85.650	169.350
89	1019	81.450	124.200
90	1023	80.700	120.150
91	1028	85.350	113.100
92	1041	86.400	147.450
93	1042	161.400	270.900
94	1048	85.350	127.500
95	1059	85.350	128.550
96	1064	85.500	124.650
97	1069	82.050	121.800
98	1097	85.050	130.950
99	1098	83.250	141.150
100	1101	85.650	148.950
101	1112	85.800	134.550
102	1121	80.850	102.900
103	1130	80.400	95.250
104	1133	117.450	155.550
105	1150	81.600	119.400
106	1158	151.050	192.900
107	1162	82.200	124.500
108	1209	83.700	125.850
109	1224	81.750	94.800
110	1248	87.000	115.800
111	1262	85.350	146.700
112	1264	85.950	140.400
113	1280	99.000	236.100
114	1288	165.900	212.250
115	1316	82.200	123.300
116	1323	88.800	124.500
117	1339	87.900	158.700
118	1352	156.150	210.600
119	1365	83.550	112.350
120	1399	80.700	120.150
121	1409	82.350	121.200
122	1410	84.750	134.550
123	1511	82.050	105.450
124	1512	80.550	101.100
125	1518	84.750	103.350
126	1572	109.950	145.800
127	1582	161.850	197.550
128	1630	110.850	273.300
129	1649	80.550	87.600
130	1667	86.400	119.400
131	1668	109.200	141.900
132	1672	119.250	129.450
133	1674	81.750	95.700
134	1677	81.450	113.550
135	1721	106.950	127.200
136	1779	84.450	105.900
137	1784	101.250	151.500
138	1800	80.550	104.400
139	1931	96.000	121.500
140	1939	96.150	199.650
141	1947	93.450	141.750
142	1956	100.200	123.150
143	1961	116.400	149.550
144	1983	145.200	155.700
145	2077	139.350	174.600
146	2128	151.650	169.800
147	2143	158.250	172.500
148	2159	166.950	246.900
149	2164	169.650	191.250
150	2231	207.000	252.750
151	2232	225.450	234.900
152	2237	214.800	246.900
153	2243	217.800	231.900
154	2247	224.400	234.300
155	2262	253.650	269.850
156	2284	240.750	266.250
157	2300	252.900	273.150
