 	no	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory	x_corr[um]	y_corr[um]	Time	st dev x	st dev y
1	33792	30.619	89.092	262.727	857.113	0.751	0.574	501	26	-0.163	0.181	75.150	0.000	0.000
2	33793	30.704	90.146	262.738	857.148	0.761	0.578	502	26	-0.147	0.230	75.300	0.011	0.035
3	33794	30.758	92.812	262.723	857.104	0.742	0.559	503	26	-0.177	0.158	75.450	0.015	0.037
4	33795	30.930	95.443	262.728	857.016	0.729	0.538	504	26	-0.167	0.020	75.600	0.012	0.090
5	33796	30.825	96.140	262.717	856.948	0.734	0.530	505	26	-0.176	-0.106	75.750	0.012	0.138
6	33797	30.533	92.269	262.697	857.061	0.742	0.550	506	26	-0.213	0.076	75.900	0.022	0.123
7	33798	30.982	97.703	262.771	857.097	0.721	0.541	507	26	-0.097	0.143	76.050	0.035	0.114
8	33799	31.019	97.515	262.845	857.021	0.711	0.531	508	26	0.024	0.011	76.200	0.074	0.110
9	33800	30.820	94.235	262.724	857.083	0.719	0.554	509	26	-0.175	0.117	76.350	0.070	0.104
10	33801	30.952	87.485	262.701	857.139	0.765	0.571	510	26	-0.209	0.218	76.500	0.069	0.105
11	33802	30.450	89.078	262.684	857.130	0.758	0.562	511	26	-0.230	0.191	76.650	0.070	0.103
12	33803	30.520	96.971	262.713	857.041	0.754	0.544	512	26	-0.199	0.046	76.800	0.068	0.100
13	33804	30.942	101.657	262.750	856.989	0.724	0.525	513	26	-0.124	-0.021	76.950	0.066	0.102
14	33805	30.591	88.174	262.768	857.164	0.749	0.587	514	26	-0.067	0.245	77.100	0.068	0.106
15	33806	30.549	82.243	262.732	857.297	0.745	0.683	515	26	-0.146	0.455	77.250	0.065	0.136
16	33807	30.147	83.287	262.686	857.211	0.800	0.630	516	26	-0.221	0.325	77.400	0.065	0.140
17	33808	30.541	92.222	262.714	857.084	0.734	0.562	517	26	-0.177	0.124	77.550	0.064	0.136
18	33809	30.485	91.727	262.755	857.116	0.730	0.567	518	26	-0.102	0.190	77.700	0.063	0.132
19	33810	30.807	97.478	262.723	856.995	0.730	0.529	519	26	-0.168	-0.020	77.850	0.061	0.134
20	33811	30.889	93.061	262.668	857.049	0.751	0.537	520	26	-0.238	0.060	78.000	0.062	0.131
21	33812	30.499	92.433	262.690	856.972	0.757	0.530	521	26	-0.190	-0.057	78.150	0.063	0.137
22	33813	30.517	92.200	262.683	857.026	0.753	0.541	522	26	-0.219	0.016	78.300	0.064	0.137
23	33814	30.380	89.343	262.745	857.116	0.757	0.578	523	26	-0.114	0.177	78.450	0.065	0.137
24	33815	30.564	92.174	262.725	857.116	0.743	0.564	524	26	-0.139	0.155	78.600	0.065	0.136
25	33816	30.671	86.804	262.686	857.134	0.747	0.581	525	26	-0.221	0.196	78.750	0.066	0.126
26	33817	30.547	81.107	262.682	857.200	0.768	0.654	526	26	-0.194	0.310	78.900	0.066	0.131
27	33818	30.559	91.085	262.693	857.073	0.757	0.546	527	26	-0.170	0.089	79.050	0.064	0.132
28	33819	30.335	98.736	262.720	857.024	0.726	0.537	528	26	-0.133	0.023	79.200	0.047	0.131
29	33820	30.791	95.736	262.741	856.971	0.726	0.532	529	26	-0.091	-0.062	79.350	0.051	0.139
30	33821	30.737	97.254	262.779	857.025	0.724	0.534	530	26	-0.049	0.033	79.500	0.056	0.139
31	33822	30.697	96.409	262.760	857.067	0.719	0.533	531	26	-0.074	0.089	79.650	0.057	0.138
32	33823	30.297	90.407	262.725	857.090	0.747	0.550	532	26	-0.121	0.131	79.800	0.056	0.137
33	33824	30.325	94.818	262.673	857.089	0.729	0.553	533	26	-0.223	0.127	79.950	0.058	0.133
34	33825	30.898	95.887	262.714	856.973	0.730	0.533	534	26	-0.152	-0.057	80.100	0.054	0.136
35	33826	30.575	92.076	262.683	856.963	0.758	0.526	535	26	-0.199	-0.074	80.250	0.055	0.117
