 	trajectory	start	end
1	2	81.600	140.400
2	19	89.250	137.550
3	42	85.200	125.700
4	44	119.400	183.600
5	87	82.050	96.750
6	118	94.650	167.250
7	122	97.950	223.050
8	244	81.900	105.150
9	276	83.850	114.900
10	301	111.150	160.650
11	307	100.950	124.350
12	311	83.850	112.050
13	315	82.350	130.650
14	320	85.350	145.200
15	327	93.600	111.450
16	348	95.850	129.450
17	373	112.800	187.800
18	375	96.150	215.250
19	378	83.400	93.300
20	389	82.200	103.050
21	433	85.500	121.350
22	434	138.450	195.750
23	463	80.100	95.700
24	465	82.800	119.700
25	488	84.000	138.900
26	502	81.000	103.650
27	538	89.550	107.400
28	549	82.350	94.500
29	560	86.700	112.950
30	570	96.300	134.400
31	679	84.150	158.250
32	684	83.250	111.900
33	690	85.800	135.450
34	692	82.800	123.750
35	707	90.150	157.650
36	725	81.150	112.650
37	730	89.550	192.450
38	733	83.550	157.050
39	742	84.450	127.500
40	749	84.750	139.800
41	769	97.950	123.900
42	782	82.650	97.200
43	789	91.800	162.150
44	818	82.950	108.750
45	830	82.350	99.900
46	836	87.150	113.850
47	838	84.300	110.400
48	842	95.700	251.550
49	849	82.650	109.800
50	853	91.650	152.550
51	858	86.700	122.100
52	889	82.950	123.450
53	898	81.600	121.050
54	905	84.750	108.450
55	938	85.800	155.550
56	946	82.050	92.100
57	950	80.100	111.900
58	952	92.250	148.800
59	960	85.350	191.250
60	968	144.150	207.150
61	970	95.700	215.250
62	1000	93.300	186.600
63	1029	88.050	174.000
64	1031	84.900	105.300
65	1040	83.100	115.800
66	1086	81.750	100.500
67	1115	81.450	101.400
68	1120	82.350	105.000
69	1121	83.700	135.900
70	1132	82.500	108.900
71	1149	90.300	130.950
72	1156	87.150	121.950
73	1171	86.100	150.750
74	1188	84.000	119.100
75	1236	83.850	131.400
76	1239	91.200	142.350
77	1244	85.500	95.850
78	1257	91.200	149.100
79	1262	101.850	139.650
80	1265	90.750	127.050
81	1347	85.050	119.700
82	1420	111.900	169.950
83	1535	92.400	106.500
84	1570	85.950	126.300
85	1587	93.150	103.800
86	1702	88.350	138.150
87	1872	81.750	104.700
88	1978	87.300	112.800
89	2078	80.700	129.300
90	2091	82.050	90.900
91	2108	84.000	116.250
92	2153	83.400	99.000
93	2174	84.900	144.600
94	2229	92.250	139.800
95	2235	90.450	106.050
96	2243	89.700	105.000
97	2245	133.200	155.250
98	2248	94.350	136.350
99	2282	97.050	141.000
100	2290	98.250	117.150
101	2314	133.050	195.750
102	2327	105.750	128.700
103	2328	114.600	184.500
104	2339	106.350	119.400
105	2367	109.050	126.900
106	2391	124.350	160.350
107	2424	123.000	128.400
108	2440	118.650	142.200
109	2444	122.550	180.150
110	2446	146.100	228.300
111	2453	128.400	165.450
112	2474	127.350	142.350
113	2484	128.400	143.700
114	2501	134.250	151.200
115	2507	133.950	147.450
116	2515	136.050	154.350
117	2517	138.450	148.950
118	2526	142.350	174.450
119	2529	154.350	160.350
120	2546	143.100	157.950
121	2553	144.450	162.750
122	2572	156.150	172.500
123	2604	157.200	168.000
124	2605	175.500	184.200
125	2609	160.050	203.400
126	2615	201.750	225.000
127	2628	178.350	191.100
128	2632	166.950	179.100
129	2644	176.700	272.250
130	2680	190.950	215.700
131	2692	192.300	206.400
132	2742	224.400	258.000
133	2751	228.600	251.550
134	2787	252.750	255.900
