 	trajectory	start	end
1	26	76.650	107.850
2	58	90.300	186.150
3	98	107.100	171.300
4	197	144.900	186.900
5	213	93.300	125.100
6	245	86.100	127.050
7	340	79.350	117.300
8	357	83.400	177.150
9	358	78.600	102.900
10	395	80.400	138.900
11	404	84.450	142.500
12	408	78.600	104.100
13	427	76.650	113.250
14	453	92.250	105.150
15	464	94.200	104.100
16	470	104.850	147.600
17	509	78.600	85.350
18	532	93.000	136.650
19	536	110.400	147.000
20	548	115.350	177.150
21	560	93.450	128.700
22	571	90.150	120.600
23	583	77.250	104.400
24	611	81.600	110.100
25	660	82.800	108.600
26	677	79.950	119.700
27	715	87.600	111.300
28	722	83.100	98.100
29	735	84.750	128.250
30	738	86.100	109.200
31	750	84.600	106.650
32	756	84.450	103.200
33	761	84.750	111.450
34	807	82.800	114.150
35	824	76.650	102.750
36	841	78.600	124.200
37	842	79.500	95.550
38	843	99.900	209.400
39	854	97.500	126.300
40	856	83.700	117.600
41	903	80.250	93.750
42	912	83.100	111.150
43	966	89.400	124.500
44	998	91.350	126.300
45	1012	92.700	173.250
46	1039	97.800	172.800
47	1044	81.750	196.350
48	1048	75.900	89.850
49	1053	86.550	107.550
50	1060	80.100	115.500
51	1068	78.600	144.600
52	1070	84.600	159.000
53	1073	75.900	98.100
54	1074	75.750	99.450
55	1078	77.400	127.050
56	1138	77.100	107.700
57	1153	82.950	139.950
58	1190	162.600	197.700
59	1197	99.300	161.550
60	1212	84.450	149.250
61	1219	79.200	104.100
62	1236	78.450	101.850
63	1251	78.600	106.350
64	1300	79.200	108.600
65	1331	82.650	144.000
66	1340	92.550	242.850
67	1466	84.600	151.950
68	1564	103.050	157.200
69	1590	82.350	109.200
70	1647	82.650	125.100
71	1731	82.200	144.300
72	2188	138.300	169.650
73	2213	146.100	181.050
74	2230	147.450	168.750
75	2267	168.000	231.000
76	2438	304.350	335.700
77	2501	297.300	316.500
78	2535	310.350	323.700
