 	trajectory	start	end	x1	y1	x2	y2	duration	distance	rate	angle (deg)
1	17	309	309.600	-0.304	-0.238	-1.130	-0.725	0.600	0.959	1.599	-149.447
2	37	241.950	242.100	-0.130	NaN	-0.130	NaN	0.150	NaN	NaN	NaN
3	37	258	259.500	0.378	-0.207	0.675	-0.098	1.500	0.316	0.211	20.112
4	68	241.650	242.550	0.089	-0.085	0.460	-0.012	0.900	0.378	0.420	11.139
5	68	243	243.750	0.644	-0.111	1.119	0.030	0.750	0.495	0.661	16.520
6	79	271.950	272.700	0.020	-0.375	-0.127	-0.338	0.750	0.151	0.202	166.022
7	79	274.350	274.950	-0.170	-0.456	-0.268	-0.210	0.600	0.265	0.441	111.730
8	81	296.850	344.100	2.120	0.051	-0.186	0.191	47.250	2.310	0.049	176.523
9	84	279.600	287.100	-0.188	-0.248	1.300	-0.126	7.500	1.493	0.199	4.681
10	86	245.250	246	-0.259	-0.114	-0.517	0.008	0.750	0.285	0.380	154.705
11	86	246.150	246.600	-0.570	-0.130	-0.782	-0.017	0.450	0.240	0.533	152.046
12	86	251.850	252.300	-1.275	-0.929	-1.421	-0.082	0.450	0.860	1.911	99.777
13	86	256.800	258	-1.768	-0.186	-2.192	-0.129	1.200	0.428	0.357	172.273
14	93	258	258.750	-1.551	-0.191	-1.823	-0.448	0.750	0.374	0.499	-136.641
15	126	238.500	239.700	-0.098	-0.410	-0.959	-0.217	1.200	0.882	0.735	167.374
16	134	188.700	189.150	-0.257	-0.073	-0.371	-0.220	0.450	0.186	0.414	-127.714
17	137	246.300	246.750	-0.206	-0.077	-0.819	-0.118	0.450	0.614	1.365	-176.220
18	137	252.300	252.900	-0.914	0.126	-1.090	0.273	0.600	0.229	0.382	140.120
19	137	256.500	257.400	-1.254	0.294	-1.611	0.169	0.900	0.378	0.420	-160.752
20	140	282.600	283.050	-1.027	-0.053	-1.237	0.081	0.450	0.249	0.554	147.359
21	153	224.700	225.450	-0.416	-0.153	-0.790	-0.147	0.750	0.374	0.499	179.099
22	153	235.050	235.800	-1.155	0.016	-1.374	-0.177	0.750	0.292	0.390	-138.557
23	153	237.450	238.800	-1.379	-0.277	-1.784	-0.024	1.350	0.478	0.354	148.008
24	153	243.600	244.200	-1.907	0.030	-2.098	0.007	0.600	0.192	0.321	-173.299
25	176	271.800	291.900	-0.239	-9.434E-4	-1.167	-0.119	20.100	0.935	0.047	-172.772
26	227	220.950	222.150	-0.955	-0.075	-1.166	0.124	1.200	0.290	0.242	136.583
27	227	224.700	225.150	-1.251	0.154	-1.386	0.161	0.450	0.135	0.300	176.941
28	305	215.700	216.300	-0.412	-0.044	-0.175	0.073	0.600	0.264	0.440	26.202
29	306	253.800	254.250	-0.630	-0.149	-0.422	-0.195	0.450	0.213	0.474	-12.575
30	306	271.350	271.650	0.463	-0.026	0.549	0.004	0.300	0.091	0.304	19.231
31	306	276.750	277.650	1.261	-0.112	1.823	-0.024	0.900	0.569	0.632	8.924
