 	trajectory	start	end	x1	y1	x2	y2	duration	distance	rate	angle (deg)
1	28	420.900	426	2.315	-0.361	4.789	-0.414	5.100	2.474	0.485	-1.234
2	28	430.050	433.350	2.046	-0.455	3.435	-0.374	3.300	1.391	0.422	3.329
3	28	435	436.950	3.896	-0.133	4.512	-0.307	1.950	0.640	0.328	-15.779
4	28	441.450	446.250	1.867	-0.138	3.648	-0.593	4.800	1.838	0.383	-14.342
5	72	385.800	386.250	0.224	-0.200	-0.688	-0.376	0.450	0.929	2.064	-169.051
6	245	427.050	429.300	-0.946	-0.313	-0.346	-0.494	2.250	0.627	0.279	-16.802
7	338	370.650	371.100	0.029	0.352	-0.120	0.267	0.450	0.171	0.380	-150.411
8	356	383.400	384.300	-0.272	-0.143	-0.595	-0.271	0.900	0.348	0.386	-158.363
9	457	381.300	382.200	-0.702	-0.641	-0.483	-0.201	0.900	0.491	0.545	63.477
10	539	447.900	448.800	-0.178	0.190	0.213	0.183	0.900	0.390	0.434	-1.051
11	540	441.450	442.200	-0.008	-0.146	0.290	-0.181	0.750	0.300	0.400	-6.734
12	610	352.350	352.950	-0.467	0.019	-1.238	0.318	0.600	0.827	1.379	158.800
13	619	333.450	334.500	0.086	0.149	-0.277	0.048	1.050	0.377	0.359	-164.403
14	830	449.850	450.900	-0.029	0.126	-0.602	0.511	1.050	0.690	0.657	146.099
15	854	352.050	352.650	0.262	-0.163	-0.586	-0.026	0.600	0.859	1.432	170.831
16	874	439.650	441.750	0.010	0.146	0.752	0.094	2.100	0.744	0.354	-3.990
17	1067	367.800	368.400	-0.195	0.072	0.301	-0.080	0.600	0.519	0.864	-16.970
18	1122	404.250	404.850	-0.114	0.024	-0.464	0.146	0.600	0.371	0.618	160.901
19	1153	351.150	352.050	-0.206	-0.027	0.306	-0.095	0.900	0.517	0.574	-7.577
20	1341	377.550	378	-0.022	0.576	0.306	0.080	0.450	0.595	1.321	-56.524
21	1351	398.850	400.050	-1.024	-0.267	-0.370	0.512	1.200	1.017	0.848	49.968
22	1351	405.900	406.800	-0.629	0.019	-0.142	0.340	0.900	0.583	0.648	33.470
23	1351	434.100	437.400	0.490	-0.151	1.840	-0.101	3.300	1.351	0.409	2.105
24	1351	447.300	450	3.896	-0.018	4.821	0.061	2.700	0.928	0.344	4.892
25	1351	454.200	457.500	6.512	-0.145	7.566	-0.301	3.300	1.066	0.323	-8.442
26	1372	379.500	380.550	0.152	-0.088	0.338	0.060	1.050	0.237	0.226	38.521
27	1600	418.500	420.450	-1.005	-0.601	0.038	0.175	1.950	1.300	0.667	36.649
28	1662	391.350	394.050	-1.018	0.008	-0.168	-0.145	2.700	0.863	0.320	-10.242
29	1662	397.050	399.450	0.309	-0.176	0.966	-0.052	2.400	0.669	0.279	10.635
30	1662	402.600	403.650	1.240	-0.029	1.826	-0.194	1.050	0.608	0.579	-15.752
31	1707	431.850	433.200	-0.501	-0.308	-1.150	-0.187	1.350	0.661	0.490	169.416
32	1918	375	375.600	0.051	0.205	-0.242	0.626	0.600	0.513	0.855	124.821
33	2020	378.900	381	-1.123	0.059	-4.142	-0.235	2.100	3.033	1.445	-174.437
34	2095	341.850	343.050	0.070	-0.309	-0.323	0.171	1.200	0.620	0.517	129.390
35	2132	452.700	454.200	-0.195	-0.091	0.376	0.294	1.500	0.689	0.459	33.971
36	2152	428.850	430.350	0.032	-0.016	0.542	-0.157	1.500	0.530	0.353	-15.467
