 	trajectory	start	end	x1	y1	x2	y2	duration	distance	rate	angle (deg)
1	211	142.050	155.250	-1.326	-0.169	3.203	-0.144	13.200	4.530	0.343	0.315
2	211	177.450	180.900	4.805	0.089	6.430	-0.153	3.450	1.643	0.476	-8.459
3	489	116.550	117.150	0.002	0.062	-0.240	0.014	0.600	0.246	0.411	-168.564
4	510	160.650	161.250	0.066	-0.058	-0.418	0.248	0.600	0.572	0.953	147.687
5	669	134.850	136.050	-0.130	-0.074	-2.262	-0.021	1.200	2.133	1.778	178.571
6	752	124.650	126.300	0.059	0.280	-0.398	-0.442	1.650	0.855	0.518	-122.371
7	896	153.450	155.400	-0.494	0.018	0.290	-0.138	1.950	0.799	0.410	-11.265
8	1815	126.750	127.500	0.173	-0.101	0.597	-0.113	0.750	0.424	0.566	-1.554
9	2229	153	154.500	-0.200	0.051	0.270	0.009	1.500	0.472	0.315	-5.097
10	2296	173.250	177.450	-0.206	-0.035	1.526	-0.063	4.200	1.733	0.413	-0.916
11	2419	141.600	143.400	-0.328	-0.083	-0.810	0.019	1.800	0.492	0.273	168.077
12	2442	117.300	117.900	0.248	-0.286	0.074	-0.134	0.600	0.231	0.386	138.926
13	2442	118.650	119.250	-0.282	-0.187	-0.875	-0.047	0.600	0.610	1.016	166.726
14	2520	155.850	156.750	2.589	0.199	1.426	0.235	0.900	1.164	1.293	178.219
15	2647	120.450	121.800	-0.054	0.063	-3.077	0.393	1.350	3.040	2.252	173.782
16	2706	132.150	132.750	-0.093	-0.178	-0.149	-0.211	0.600	0.065	0.109	-149.036
17	2726	125.850	126.900	0.299	-0.087	-0.699	-0.090	1.050	0.998	0.951	-179.815
18	2726	127.650	129	-0.830	-0.157	-1.456	-0.123	1.350	0.627	0.464	176.815
19	2944	128.250	129.450	-0.130	-0.011	-0.454	0.053	1.200	0.331	0.276	168.832
20	3001	190.950	192.750	-0.034	0.114	-2.741	0.067	1.800	2.708	1.504	-179.000
21	3028	152.850	153.600	-0.093	-0.171	0.248	-0.201	0.750	0.342	0.456	-5.046
22	3145	134.400	135.750	0.173	-0.068	0.464	-0.071	1.350	0.291	0.216	-0.758
23	3479	133.950	134.550	0.046	-0.091	-0.090	-0.049	0.600	0.142	0.237	162.720
24	3732	130.350	131.700	0.211	-0.164	0.618	-0.292	1.350	0.426	0.316	-17.596
25	3763	121.350	122.550	-0.126	-0.178	0.240	0.080	1.200	0.448	0.373	35.159
26	3826	117.600	118.350	0.003	-0.373	-0.333	-0.143	0.750	0.408	0.544	145.514
27	3843	123.150	123.750	-0.027	0.050	-0.037	0.034	0.600	0.019	0.031	-120.679
28	4044	126.450	127.200	0.021	-0.013	0.315	0.144	0.750	0.333	0.444	27.936
29	4061	132.450	133.950	0.110	0.224	-0.461	-0.404	1.500	0.849	0.566	-132.278
30	4086	147.300	147.750	0.082	0.036	-0.827	0.069	0.450	0.909	2.021	177.939
31	4322	133.050	133.500	0.122	0.019	-0.182	-0.130	0.450	0.338	0.752	-153.918
32	4403	146.250	146.850	0.158	0.120	0.010	0.196	0.600	0.167	0.278	153.032
33	4416	126.900	127.500	0.413	-0.401	-0.322	-0.141	0.600	0.779	1.298	160.498
34	4425	115.050	115.350	0.752	-0.045	0.366	-0.202	0.300	0.416	1.388	-157.871
35	4609	187.650	188.550	0.019	0.019	0.262	-0.050	0.900	0.253	0.281	-15.868
36	4885	135.150	136.350	0.446	0.012	-0.958	0.060	1.200	1.406	1.171	178.021
37	4991	148.050	148.950	0.584	0.121	8.000E-4	0.004	0.900	0.595	0.661	-168.656
38	5078	131.850	133.200	0.104	0.410	-0.870	0.325	1.350	0.978	0.725	-175.025
39	5240	137.850	138.300	0.107	0.056	-0.134	-0.118	0.450	0.298	0.662	-144.244
40	5272	191.100	193.350	0.107	-0.250	1.126	-0.146	2.250	1.024	0.455	5.829
41	5272	194.700	197.850	1.142	-0.201	2.112	-0.166	3.150	0.970	0.308	2.050
42	5479	149.100	150.450	0.230	0.096	-1.384	0.024	1.350	1.616	1.197	-177.425
43	5578	161.400	163.200	-0.117	0.206	-0.306	0.292	1.800	0.207	0.115	155.567
44	5621	136.050	137.550	-0.029	-0.004	0.462	-0.134	1.500	0.508	0.339	-14.903
45	5776	186.750	187.350	0.240	-0.311	-0.325	-0.180	0.600	0.580	0.966	166.933
46	5776	203.400	204.450	-1.088	-0.054	-2.027	-0.241	1.050	0.958	0.912	-168.729
47	5881	138.300	139.200	0.155	-0.138	-0.001	0.549	0.900	0.705	0.783	102.808
48	5978	148.350	149.850	0.750	0.074	1.611	-0.500	1.500	1.035	0.690	-33.709
49	6016	133.500	134.700	4.139	0.376	1.416	-0.092	1.200	2.763	2.303	-170.246
50	6095	180.750	181.650	0.003	0.153	-0.523	0.104	0.900	0.529	0.587	-174.722
51	6098	149.400	150.750	-0.072	0.090	0.250	-0.122	1.350	0.385	0.285	-33.444
52	6117	161.550	163.200	-0.099	-0.073	-1.494	0.092	1.650	1.405	0.851	173.278
53	6159	150	151.800	1.693	0.040	-1.725	0.010	1.800	3.418	1.899	-179.494
