 	trajectory	start	end	x1	y1	x2	y2	duration	distance	rate	angle (deg)
1	8	250.800	251.250	-0.132	-0.129	-0.300	-0.029	0.450	0.196	0.435	149.176
2	17	384.900	386.250	0.352	-1.729	-1.637	-1.509	1.350	2.001	1.482	173.708
3	44	295.950	298.500	-0.367	0.082	0.464	-0.502	2.550	1.015	0.398	-35.066
4	44	299.550	301.350	0.780	-0.357	1.595	-0.687	1.800	0.879	0.489	-22.048
5	44	302.250	304.350	1.675	-0.709	2.734	-1.091	2.100	1.126	0.536	-19.839
6	96	292.800	345.600	0.117	-0.032	-3.253	-0.195	52.800	3.374	0.064	-177.231
7	101	299.100	363.450	-0.050	-0.090	-2.300	-0.009	64.350	2.251	0.035	177.929
8	162	278.550	346.650	-0.486	-0.043	1.884	-0.090	68.100	2.370	0.035	-1.150
9	167	318.600	341.700	-0.185	-0.104	-1.908	-0.030	23.100	1.725	0.075	177.533
10	170	269.250	270.900	-1.137	-0.466	-2.077	-0.177	1.650	0.983	0.596	162.896
11	170	274.350	275.850	-1.987	-0.174	-3.041	-0.120	1.500	1.055	0.704	177.094
12	170	276.150	276.900	-3.097	-0.354	-3.678	-0.087	0.750	0.639	0.852	155.360
13	176	282.450	284.100	-0.955	0.013	-1.899	0.158	1.650	0.955	0.579	171.258
14	177	297	390	-0.059	0.321	-2.115	-0.319	93	2.153	0.023	-162.695
15	178	291.750	399.150	0.156	0.032	-2.673	-0.506	107.400	2.880	0.027	-169.222
16	200	342.600	344.700	0.387	-0.193	-0.854	-0.067	2.100	1.247	0.594	174.184
17	212	299.250	299.850	0.176	-0.111	0.050	-0.034	0.600	0.148	0.246	148.651
18	212	304.050	304.500	-0.051	-0.099	-0.211	0.085	0.450	0.244	0.543	130.939
19	212	307.650	308.400	-0.304	-0.042	-0.708	0.059	0.750	0.416	0.555	166.062
20	212	309.300	309.600	-0.788	0.022	-0.849	-0.034	0.300	0.083	0.276	-137.447
21	212	312.300	312.900	-0.944	0.114	-1.262	0.193	0.600	0.327	0.546	166.172
22	212	347.250	347.550	-1.289	0.285	-1.441	0.358	0.300	0.169	0.562	154.347
23	212	348.600	348.900	-1.694	0.222	-1.828	0.261	0.300	0.140	0.465	163.773
24	212	349.500	349.650	-2.148	NaN	-2.148	NaN	0.150	NaN	NaN	NaN
25	212	350.250	350.700	-2.481	0.725	-2.638	0.714	0.450	0.157	0.350	-175.942
26	216	268.350	268.650	-0.288	-0.071	-0.376	0.007	0.300	0.118	0.392	138.447
27	225	335.550	337.800	-0.705	-0.100	-1.550	-0.828	2.250	1.115	0.496	-139.260
28	225	338.400	339.450	-1.643	-1.225	-2.302	-1.269	1.050	0.660	0.629	-176.160
29	241	291.450	399.300	2.004	0.156	-1.013	-0.125	107.850	3.030	0.028	-174.692
30	252	230.250	231.450	-0.754	-0.859	-0.308	-0.028	1.200	0.943	0.786	61.785
31	252	235.950	236.400	-0.057	-0.267	0.067	-0.119	0.450	0.193	0.429	50.016
32	252	237.450	239.250	0.254	-0.253	0.755	-0.013	1.800	0.555	0.309	25.561
33	252	245.100	246	1.043	-0.112	1.244	-0.254	0.900	0.246	0.273	-35.248
34	252	252.300	255.300	1.414	-0.059	2.094	-0.019	3	0.681	0.227	3.343
35	252	274.200	278.100	2.102	0.068	3.332	-0.075	3.900	1.238	0.318	-6.638
36	260	294.750	365.850	0.849	0.052	-1.614	-0.003	71.100	2.464	0.035	-178.733
37	268	272.850	300.750	-0.110	-0.073	-1.208	0.018	27.900	1.102	0.039	175.246
38	278	318.450	383.850	-0.045	-0.219	-1.905	-0.082	65.400	1.865	0.029	175.773
39	304	262.350	264.150	-0.015	-0.063	0.922	0.073	1.800	0.947	0.526	8.295
40	305	241.950	242.400	-0.800	-0.146	-0.534	-0.257	0.450	0.288	0.641	-22.653
41	323	308.550	309.900	0.256	0.068	1.101	-0.533	1.350	1.037	0.768	-35.424
42	340	324.450	398.550	-0.466	-0.043	1.091	0.218	74.100	1.579	0.021	9.534
