 	trajectory	start	end	x1	y1	x2	y2	duration	distance	rate	angle (deg)
1	29	116.550	117.150	0.004	-0.005	-0.166	-0.076	0.600	0.184	0.307	-157.232
2	30	65.250	65.850	-0.057	-0.414	-0.474	-0.680	0.600	0.495	0.824	-147.479
3	90	76.350	78.450	0.068	-0.128	0.314	-0.235	2.100	0.268	0.128	-23.335
4	142	77.700	80.250	0.052	-0.032	0.193	-0.112	2.550	0.162	0.064	-29.500
5	169	101.400	102.150	0.048	-0.060	0.293	0.095	0.750	0.290	0.387	32.349
6	210	63.150	63.750	0.073	-0.166	-0.039	-0.185	0.600	0.114	0.189	-170.158
7	272	166.650	168.150	0.065	0.006	0.274	0.154	1.500	0.256	0.171	35.311
8	291	82.350	84.300	0.044	0.073	0.166	-0.174	1.950	0.276	0.141	-63.735
9	321	70.650	71.400	0.133	-0.047	-0.138	-0.254	0.750	0.341	0.455	-142.624
10	325	82.350	82.800	0.067	0.048	-0.329	-0.420	0.450	0.613	1.362	-130.265
11	335	117.900	119.100	0.011	0.067	0.183	-0.080	1.200	0.227	0.189	-40.597
12	336	128.700	130.650	0.007	-0.134	0.165	-0.042	1.950	0.183	0.094	30.413
13	341	67.500	72	0.102	-0.150	-1.912	0.028	4.500	2.022	0.449	174.962
14	365	64.650	65.850	-0.018	-0.115	0.113	-0.112	1.200	0.131	0.109	1.028
15	374	83.700	84.900	0.011	-0.018	0.187	-0.068	1.200	0.183	0.153	-16.009
16	435	70.050	70.950	-9.000E-4	-0.005	0.193	-0.141	0.900	0.237	0.263	-35.007
17	466	74.100	74.700	0.031	-0.082	0.160	-0.076	0.600	0.129	0.215	2.600
18	468	78.750	80.400	-0.250	-0.541	-1.095	-0.500	1.650	0.846	0.513	177.207
19	483	76.500	77.700	0.070	-0.264	-0.171	0.012	1.200	0.366	0.305	131.151
20	523	74.700	75.300	0.027	-0.105	0.174	-0.063	0.600	0.153	0.255	15.778
21	529	75.450	76.200	0.058	-0.060	0.253	0.105	0.750	0.256	0.341	40.262
22	585	72.300	72.900	-0.062	-0.258	-0.293	-0.154	0.600	0.254	0.423	155.657
23	590	68.550	69.450	0.043	-0.128	0.226	-0.075	0.900	0.190	0.211	15.900
24	594	75.600	76.650	0.154	-0.129	-0.083	0.041	1.050	0.291	0.277	144.477
25	598	83.100	84.450	0.154	-0.313	-0.243	-0.279	1.350	0.398	0.295	175.136
26	598	85.350	86.550	-0.361	-0.382	-1.280	-0.440	1.200	0.921	0.767	-176.384
27	618	68.400	69.150	0.084	-0.367	-0.158	-0.219	0.750	0.284	0.378	148.570
28	626	72	73.200	0.085	-0.089	0.203	-0.079	1.200	0.118	0.099	4.891
29	627	72.150	73.200	0.029	-0.088	0.146	-0.115	1.050	0.120	0.114	-13.231
30	664	70.050	71.850	0.005	0.010	0.267	-0.034	1.800	0.266	0.148	-9.661
31	666	74.550	77.250	0.057	0.026	0.315	0.025	2.700	0.258	0.096	-0.260
32	686	94.200	95.400	0.100	0.092	0.252	-0.111	1.200	0.253	0.211	-53.116
33	705	69.900	71.700	0.159	0.005	-0.083	-0.286	1.800	0.378	0.210	-129.755
34	709	73.950	75.150	0.005	-0.006	0.163	-0.045	1.200	0.163	0.136	-13.827
35	718	63.750	64.500	0.070	-0.086	-0.293	-0.194	0.750	0.379	0.505	-163.532
36	731	70.350	71.100	0.033	0.132	0.595	-0.233	0.750	0.670	0.894	-33.012
37	748	106.800	107.250	0.046	-0.144	0.116	-0.060	0.450	0.110	0.244	50.318
38	748	129.750	130.350	0.383	0.002	0.578	-0.169	0.600	0.259	0.432	-41.165
39	780	69.450	70.050	0.207	-0.458	-0.119	-0.080	0.600	0.499	0.832	130.801
40	789	99.600	100.350	-0.031	-0.174	-0.308	-0.144	0.750	0.279	0.371	173.829
41	807	75.300	78	0.039	-0.306	0.357	-0.033	2.700	0.419	0.155	40.684
42	808	73.650	74.700	0.026	-0.056	0.120	-0.174	1.050	0.151	0.144	-51.522
43	809	86.700	88.950	-0.783	-0.108	-2.061	-0.231	2.250	1.284	0.571	-174.484
44	811	114	116.550	0.056	-0.139	1.043	0.025	2.550	1.001	0.392	9.454
45	811	117.600	120.600	1.183	0.101	2.718	0.184	3	1.537	0.512	3.089
46	825	86.850	87.600	0.080	-0.066	0.356	0.040	0.750	0.296	0.394	21.012
47	832	117.300	118.200	0.060	-0.103	0.369	0.076	0.900	0.357	0.397	30.144
48	849	74.850	75.600	0.072	-0.080	0.230	-0.348	0.750	0.311	0.415	-59.506
49	888	74.700	78	-0.123	0.239	0.312	-0.225	3.300	0.636	0.193	-46.856
50	944	66.900	67.800	0.034	-0.162	-0.396	-0.142	0.900	0.430	0.478	177.264
51	984	69.900	70.500	-0.133	-0.150	-0.411	-0.021	0.600	0.307	0.511	155.055
52	990	64.650	65.250	0.077	-0.144	0.217	-0.237	0.600	0.168	0.280	-33.607
53	1062	164.250	179.700	-0.937	0.111	1.115	-0.019	15.450	2.056	0.133	-3.610
