 	trajectory	start	end	x1	y1	x2	y2	duration	distance	rate	angle (deg)
1	11	62.400	63.750	-0.396	-0.479	-1.112	-0.165	1.350	0.782	0.579	156.293
2	115	64.650	66.150	0.031	-0.155	0.221	-0.078	1.500	0.205	0.137	22.202
3	136	116.400	117.300	-0.092	0.137	0.574	-0.182	0.900	0.739	0.821	-25.617
4	193	97.650	100.800	-0.010	0.063	0.254	-0.075	3.150	0.298	0.095	-27.688
5	205	124.350	125.700	0.045	-0.180	0.348	0.101	1.350	0.414	0.306	42.887
6	219	87.450	88.950	0.014	-0.071	0.250	-0.019	1.500	0.242	0.161	12.278
7	240	75.300	76.500	0.314	-0.213	0.757	-0.073	1.200	0.465	0.387	17.614
8	253	61.500	63.450	0	0.070	-0.277	0.267	1.950	0.340	0.175	144.481
9	259	68.700	69.750	0.146	-0.123	0.033	-0.176	1.050	0.125	0.119	-155.126
10	262	70.950	72.750	-0.066	-0.128	0.253	-0.109	1.800	0.320	0.178	3.542
11	272	117.900	121.050	-1.199	-0.330	-1.869	-0.106	3.150	0.707	0.224	161.499
12	300	58.800	59.400	0.059	-0.425	-0.248	0.816	0.600	1.278	2.131	103.895
13	316	102.450	104.400	0.071	-0.080	0.359	-0.128	1.950	0.292	0.150	-9.472
14	376	76.800	77.550	0.164	-0.100	-0.184	-0.047	0.750	0.352	0.469	171.317
15	463	66.150	69.150	0.105	-0.122	-0.385	0.375	3	0.698	0.233	134.612
16	464	97.800	98.700	0.009	0.107	0.150	-0.047	0.900	0.209	0.233	-47.674
17	495	97.050	99.150	0.078	-0.171	0.277	-0.193	2.100	0.200	0.095	-6.272
18	517	103.200	105.300	-1.606	-0.030	-0.995	-0.033	2.100	0.611	0.291	-0.326
19	517	106.050	107.700	-0.941	-0.060	-0.538	-0.192	1.650	0.424	0.257	-18.095
20	587	67.350	68.100	-0.853	-0.133	-0.830	-0.089	0.750	0.049	0.065	62.056
21	598	98.400	99.900	0.021	0.135	0.137	-0.141	1.500	0.299	0.199	-67.153
22	613	70.650	73.050	-0.092	-0.009	0.239	-0.008	2.400	0.331	0.138	0.070
23	648	64.650	65.400	0.004	-0.063	0.111	-0.046	0.750	0.108	0.144	9.074
24	651	158.250	159.150	-0.044	0.033	0.409	-0.035	0.900	0.458	0.509	-8.573
25	656	216.150	217.500	0.115	0.078	0.337	-0.102	1.350	0.286	0.212	-39.026
26	674	139.200	140.250	-0.967	0.023	-1.469	-0.009	1.050	0.503	0.479	-176.356
27	674	160.350	163.350	-1.980	-0.216	-2.786	-0.247	3	0.807	0.269	-177.778
28	787	93	97.200	-0.267	0.016	0.344	-0.230	4.200	0.659	0.157	-21.963
29	787	98.100	100.050	0.786	-0.054	1.266	-0.163	1.950	0.492	0.252	-12.814
30	787	101.550	103.650	1.176	-0.216	1.622	-0.078	2.100	0.467	0.222	17.276
31	787	106.950	108.900	1.720	-0.204	2.122	-0.058	1.950	0.428	0.219	19.921
32	787	109.350	110.850	2.047	-0.102	2.363	-0.043	1.500	0.321	0.214	10.507
33	797	127.350	129.450	0.077	-0.152	0.320	0.109	2.100	0.356	0.170	47.012
34	801	64.650	66.900	0.013	-0.062	0.199	-0.158	2.250	0.210	0.093	-27.484
35	813	104.400	106.500	0.134	0.005	0.383	-0.280	2.100	0.378	0.180	-48.849
36	815	68.100	68.550	0.011	0.013	0.117	-0.089	0.450	0.147	0.327	-43.929
37	848	108	109.350	0.008	-0.044	0.283	-0.006	1.350	0.278	0.206	7.884
38	883	123.150	123.900	-0.001	-0.218	-0.657	-0.080	0.750	0.670	0.894	168.121
39	883	139.650	142.650	-0.700	-0.185	-2.013	-0.054	3	1.320	0.440	174.290
40	900	101.700	104.250	0.061	0.135	0.242	-0.045	2.550	0.255	0.100	-44.874
41	902	107.250	109.500	-0.053	-0.088	0.123	-0.112	2.250	0.178	0.079	-7.686
42	928	87.750	89.100	-0.033	7.900E-4	0.258	-0.076	1.350	0.301	0.223	-14.851
43	953	69.600	70.350	0.119	0.066	-0.023	-0.103	0.750	0.220	0.294	-130.105
44	960	92.850	93.900	0.062	-0.220	0.208	-0.050	1.050	0.224	0.213	49.312
45	970	78	79.500	0.182	0.048	-0.599	-0.331	1.500	0.868	0.579	-154.116
46	997	60.300	61.050	-0.011	-0.088	-0.663	0.254	0.750	0.736	0.981	152.363
47	1065	60.450	61.050	0.067	-0.112	-0.100	-0.177	0.600	0.179	0.298	-158.923
48	1065	61.500	62.100	-0.163	-0.036	-0.338	-0.078	0.600	0.180	0.300	-166.586
49	1183	71.550	72.600	-0.012	-0.011	0.156	-0.105	1.050	0.192	0.183	-29.081
50	1298	93	93.900	0.217	-0.161	0.073	-0.055	0.900	0.179	0.199	143.594
51	1313	114.150	115.350	0.700	-0.090	1.112	-0.034	1.200	0.416	0.346	7.728
52	1333	112.650	113.250	0.021	0.103	-0.581	-0.010	0.600	0.612	1.021	-169.399
53	1348	110.100	111.300	-0.283	0.047	-0.869	0.058	1.200	0.586	0.488	178.990
54	1357	121.500	123.150	0.028	-0.011	0.605	0.264	1.650	0.639	0.388	25.520
55	1367	121.050	123.300	0.450	-0.042	1.205	0.146	2.250	0.778	0.346	13.940
56	1367	125.550	128.100	-0.420	-0.094	0.646	0.010	2.550	1.071	0.420	5.580
57	1367	129.150	130.350	0.430	-0.082	0.871	0.087	1.200	0.472	0.393	20.878
58	1386	139.050	141.900	0.027	0.106	1.254	0.046	2.850	1.228	0.431	-2.802
59	1386	142.200	144.300	0.761	-0.030	1.407	0.079	2.100	0.655	0.312	9.531
