 	trajectory	start	end	x1	y1	x2	y2	duration	distance	rate	angle (deg)
1	9	115.200	115.800	-0.220	0.094	-0.589	0.072	0.600	0.370	0.616	-176.565
2	9	123.900	125.400	-0.941	0.166	-1.673	0.155	1.500	0.732	0.488	-179.153
3	28	103.500	103.800	-0.244	-0.014	-0.369	-0.047	0.300	0.129	0.431	-165.211
4	55	120.600	121.800	-0.902	-0.330	-1.396	-0.105	1.200	0.543	0.452	155.520
5	55	143.400	145.050	-2.216	-0.061	-3.155	0.035	1.650	0.944	0.572	174.149
6	55	147.300	148.650	-3.302	-0.067	-3.969	-0.071	1.350	0.667	0.494	-179.644
7	55	159.150	160.200	-3.131	-0.047	-3.924	0.076	1.050	0.802	0.764	171.226
8	59	108.750	109.950	-0.310	0.017	-0.173	0.004	1.200	0.138	0.115	-5.191
9	75	171	172.500	-0.182	-0.044	-0.878	0.038	1.500	0.701	0.467	173.298
10	75	174.300	177.450	-0.890	0.093	-2.547	-0.060	3.150	1.664	0.528	-174.748
11	77	130.800	131.400	-0.099	0.149	-0.393	0.087	0.600	0.301	0.501	-168.051
12	77	136.200	137.700	-0.564	-0.013	-1.341	0.207	1.500	0.807	0.538	164.204
13	77	138	138.900	-1.037	0.230	-2.167	0.143	0.900	1.133	1.259	-175.574
14	120	124.200	125.250	0.192	0.086	-0.491	0.004	1.050	0.688	0.655	-173.084
15	120	131.850	132.300	-1.364	-0.250	-1.831	-0.162	0.450	0.475	1.056	169.371
16	120	135	135.900	-2.001	-0.099	-3.033	-0.202	0.900	1.037	1.152	-174.303
17	135	173.700	175.200	-0.319	0.179	0.428	0.296	1.500	0.756	0.504	8.918
18	135	178.500	189.150	0.900	0.226	5.645	0.279	10.650	4.745	0.446	0.642
19	140	203.400	207	-0.025	0.062	1.509	-0.037	3.600	1.537	0.427	-3.708
20	177	99.750	100.050	-0.104	-0.338	-0.335	-0.245	0.300	0.249	0.830	158.070
21	177	101.850	103.200	-0.544	0.383	-1.295	0.164	1.350	0.782	0.579	-163.793
22	187	93.750	94.500	-0.342	0.366	-0.612	0.127	0.750	0.361	0.481	-138.477
23	199	97.500	97.800	-0.083	5.000E-4	-1.446	-0.403	0.300	1.421	4.738	-163.509
24	199	103.800	104.250	-2.497	0.121	-3.690	-0.807	0.450	1.511	3.359	-142.120
25	216	114	114.900	-0.228	0.291	0.146	0.032	0.900	0.455	0.505	-34.695
26	230	228.450	229.800	10.840	-0.869	9.502	-0.462	1.350	1.398	1.036	163.086
27	230	232.800	234.300	9.368	-0.546	8.518	-0.393	1.500	0.864	0.576	169.785
28	230	236.550	238.350	8.105	-0.496	5.956	-0.373	1.800	2.152	1.196	176.733
29	230	239.550	246.750	5.816	-0.283	1.150	0.227	7.200	4.694	0.652	173.773
30	245	131.400	131.850	0.063	-0.250	-0.700	-0.138	0.450	0.771	1.713	171.707
31	245	151.650	153.150	-0.994	0.344	-1.672	0.527	1.500	0.702	0.468	164.910
32	248	141.600	142.500	-0.107	0.082	0.160	0.128	0.900	0.271	0.301	9.803
33	267	99.300	99.900	-0.363	0.156	-0.248	0.347	0.600	0.223	0.372	58.992
34	270	112.050	112.500	-1.093	-0.633	-1.800	-1.354	0.450	1.010	2.244	-134.426
35	296	124.800	126.150	-0.243	0.250	0.328	0.036	1.350	0.610	0.452	-20.556
36	303	104.100	104.550	-0.153	-0.029	-0.675	-0.367	0.450	0.622	1.382	-147.050
37	339	120.450	121.200	-0.272	-0.058	-0.161	0.330	0.750	0.403	0.537	74.017
38	349	129.750	130.950	-2.669	0.113	-3.965	0.166	1.200	1.297	1.081	177.665
39	349	136.350	137.700	-4.177	0.172	-4.809	0.337	1.350	0.653	0.484	165.369
40	387	108.750	109.200	-0.233	-3.228E-4	-0.073	-0.056	0.450	0.169	0.376	-19.152
41	397	178.500	179.250	-0.217	0.269	0.186	0.212	0.750	0.407	0.543	-8.111
42	413	210.300	211.800	-0.754	0.114	-1.190	0.087	1.500	0.437	0.291	-176.517
43	419	98.250	99.750	0.786	0.027	-0.815	0.101	1.500	1.603	1.068	177.352
44	421	112.800	114	-0.151	0.227	0.040	-0.039	1.200	0.328	0.273	-54.363
45	443	140.250	150	-0.305	0.003	-0.843	0.062	9.750	0.541	0.056	173.728
46	457	115.500	116.850	-0.124	0.045	0.195	0.465	1.350	0.528	0.391	52.824
47	488	146.400	147.450	-0.256	0.454	0.166	-0.127	1.050	0.718	0.684	-54.022
48	489	168.150	169.500	-1.102	0.140	-1.847	0.198	1.350	0.747	0.553	175.606
49	495	98.100	98.400	-0.453	0.028	-0.608	0.008	0.300	0.156	0.521	-172.648
50	503	124.050	124.650	-0.198	0.602	-0.742	0.043	0.600	0.780	1.300	-134.210
51	507	113.400	113.850	-0.024	-0.287	-0.786	-0.112	0.450	0.782	1.738	167.043
52	533	142.800	144.150	-0.393	0.153	-1.177	0.117	1.350	0.785	0.581	-177.365
53	533	148.050	149.550	-1.355	-0.131	-2.033	0.156	1.500	0.736	0.491	157.075
54	537	114.750	115.950	-0.310	0.293	-0.018	-0.154	1.200	0.534	0.445	-56.840
55	538	190.200	190.950	-0.269	0.390	0.156	0.030	0.750	0.557	0.743	-40.268
56	543	139.050	139.500	-0.569	0.235	-0.409	0.064	0.450	0.234	0.520	-46.821
57	545	140.550	141.150	-0.155	0.083	-0.067	0.072	0.600	0.089	0.148	-6.765
58	547	106.950	108.300	-0.255	-0.636	-0.866	0.064	1.350	0.929	0.688	131.142
59	548	100.050	100.650	-0.169	-0.009	-0.770	-0.032	0.600	0.601	1.002	-177.814
60	562	142.200	143.550	-1.010	-0.028	-0.188	0.128	1.350	0.837	0.620	10.768
61	562	148.050	149.250	0.628	0.150	1.287	0.020	1.200	0.672	0.560	-11.175
62	562	153.150	153.900	1.754	0.169	2.140	0.216	0.750	0.389	0.518	6.834
63	562	182.700	183.900	3.899	0.179	4.702	0.351	1.200	0.821	0.684	12.060
64	562	187.800	190.650	5.489	0.077	6.750	0.305	2.850	1.281	0.450	10.245
65	566	121.500	121.800	-0.123	0.015	-0.652	-0.067	0.300	0.535	1.784	-171.189
66	566	123.750	124.200	-0.828	-0.323	-0.941	-0.308	0.450	0.114	0.253	172.436
67	566	126.900	127.650	-1.250	-0.404	-1.867	-0.315	0.750	0.623	0.831	171.734
68	572	117.450	118.500	0.205	0.048	-0.522	-0.026	1.050	0.731	0.696	-174.142
69	572	119.850	122.700	-0.685	0.080	-2.185	0.044	2.850	1.500	0.526	-178.612
70	572	123.600	124.050	-2.241	2.427E-4	-2.327	0.081	0.450	0.118	0.262	136.726
71	572	126.300	127.350	-2.491	0.052	-3.027	0.047	1.050	0.536	0.511	-179.370
72	581	136.800	137.850	-0.274	0.032	0.089	-0.011	1.050	0.366	0.348	-6.818
73	616	98.550	99	-0.164	0.215	-0.694	-0.563	0.450	0.941	2.092	-124.270
74	618	132.150	133.950	-0.774	0.277	-2.175	0.199	1.800	1.403	0.780	-176.789
75	623	105.150	105.750	-0.201	0.099	-0.337	0.253	0.600	0.206	0.343	131.396
76	633	111	111.900	-0.067	0.256	-0.587	-0.064	0.900	0.610	0.678	-148.435
77	635	113.700	114.450	-0.185	0.381	-0.439	-0.022	0.750	0.477	0.635	-122.208
78	635	115.800	117.750	-1.193	0.305	-3.407	0.019	1.950	2.232	1.145	-172.647
79	635	120	121.950	-3.544	0.081	-5.329	-0.293	1.950	1.824	0.935	-168.157
80	636	136.200	137.400	-0.113	-0.022	0.034	0.281	1.200	0.337	0.281	64.109
81	687	115.050	115.500	-0.211	0.095	-0.433	-0.061	0.450	0.271	0.603	-144.870
82	697	94.500	95.850	0.107	0.085	-0.542	0.263	1.350	0.673	0.498	164.663
83	708	119.250	119.700	-0.161	-0.094	-0.733	-0.010	0.450	0.578	1.285	171.683
84	713	193.350	193.800	-0.195	0.153	0.172	-0.287	0.450	0.573	1.273	-50.169
85	717	95.550	95.850	-0.193	0.149	-0.227	0.158	0.300	0.035	0.117	165.174
86	720	114.600	115.200	-0.178	0.213	-2.095	-0.145	0.600	1.950	3.250	-169.411
87	729	109.200	109.950	-0.210	0.015	-0.064	0.166	0.750	0.210	0.279	45.854
88	730	126.150	127.500	-0.345	0.261	0.427	-0.271	1.350	0.938	0.695	-34.577
89	733	98.550	98.850	-0.166	0.358	-0.589	0.484	0.300	0.441	1.471	163.413
90	755	165.300	165.900	-0.219	-0.108	0.161	-0.022	0.600	0.390	0.649	12.783
91	769	161.250	161.700	-0.172	0.035	-0.800	-0.190	0.450	0.667	1.482	-160.326
92	792	125.250	125.850	-0.176	0.088	-0.739	-0.498	0.600	0.812	1.354	-133.877
93	798	145.200	148.200	-0.154	0.118	1.290	0.028	3	1.447	0.482	-3.543
94	798	149.250	149.700	1.577	0.116	1.858	2.048E-4	0.450	0.304	0.675	-22.370
95	812	109.050	109.950	-0.321	0.392	-0.069	0.160	0.900	0.342	0.380	-42.584
96	816	137.700	138.750	-0.268	0.058	-0.638	-0.139	1.050	0.419	0.399	-151.906
97	819	163.050	163.950	-0.202	0.192	0.026	-0.463	0.900	0.693	0.770	-70.798
98	831	116.550	117.900	-0.213	0.186	-0.991	-0.202	1.350	0.869	0.644	-153.502
99	834	167.400	167.850	-0.226	0.316	-0.533	0.338	0.450	0.308	0.684	176.043
100	839	130.350	131.550	-0.673	-0.152	-1.483	-0.147	1.200	0.810	0.675	179.683
101	842	186	187.350	-0.232	0.341	0.631	-0.209	1.350	1.023	0.758	-32.474
102	863	248.100	250.950	-0.289	-1.196	1.056	-1.209	2.850	1.345	0.472	-0.556
103	863	255.450	256.500	0.945	-1.292	1.502	-1.396	1.050	0.566	0.540	-10.506
104	864	107.550	107.850	-0.150	-0.228	-0.887	0.020	0.300	0.778	2.592	161.402
105	869	169.350	169.950	-0.071	-0.049	-0.320	-0.194	0.600	0.288	0.480	-149.769
106	882	119.850	120.450	-0.143	0.097	-0.373	0.338	0.600	0.333	0.555	133.669
107	885	100.950	101.400	-0.268	0.030	-0.147	0.080	0.450	0.131	0.290	22.224
108	899	166.950	168.900	-0.253	0.091	0.854	0.127	1.950	1.108	0.568	1.855
109	914	150	150.750	-0.087	0.096	-0.440	0.069	0.750	0.354	0.472	-175.514
110	916	114	114.600	-0.262	0.073	-0.130	0.215	0.600	0.194	0.323	47.110
111	916	132.900	136.200	-0.019	0.135	0.789	0.213	3.300	0.812	0.246	5.486
112	916	141.900	142.200	0.783	0.372	0.944	0.261	0.300	0.196	0.652	-34.584
113	927	107.550	109.650	-0.068	0.169	-0.944	0.115	2.100	0.878	0.418	-176.458
114	927	119.550	121.350	-2.415	-0.147	-2.864	-0.151	1.800	0.449	0.249	-179.486
115	931	105.150	106.200	-0.215	-0.084	-1.317	-0.500	1.050	1.178	1.122	-159.350
116	932	91.050	92.550	-0.722	-0.069	-1.039	0.171	1.500	0.398	0.265	142.872
117	933	114.300	115.200	-0.316	0.126	-0.199	0.082	0.900	0.125	0.139	-20.801
118	936	225.600	234.300	-0.124	0.063	4.298	-0.133	8.700	4.426	0.509	-2.537
119	972	109.950	110.850	-0.168	-0.075	-0.510	-0.057	0.900	0.342	0.381	177.014
120	1000	146.100	146.550	-0.261	0.057	-0.495	-0.078	0.450	0.270	0.600	-150.002
121	1015	103.500	103.950	-0.137	0.089	-0.540	0.030	0.450	0.407	0.905	-171.546
122	1023	132.300	136.500	-0.367	0.229	-1.557	0.330	4.200	1.194	0.284	175.139
123	1043	214.800	216.300	-0.283	-0.440	0.188	-0.435	1.500	0.471	0.314	0.552
124	1048	203.550	206.100	-0.782	-0.024	-1.854	0.201	2.550	1.095	0.430	168.169
