 	trajectory	start	end	x1	y1	x2	y2	duration	distance	rate	angle (deg)
1	23	154.500	156	0.005	-0.147	0.189	-0.164	1.500	0.185	0.123	-5.323
2	82	182.850	184.950	-0.134	-0.430	0.234	-0.579	2.100	0.397	0.189	-22.064
3	144	268.350	270.300	-0.163	-0.009	-0.738	-0.041	1.950	0.575	0.295	-176.786
4	223	116.100	117.450	-0.051	-0.282	0.090	-0.027	1.350	0.291	0.215	61.014
5	238	109.050	109.350	0.149	-0.157	0.037	-0.171	0.300	0.113	0.376	-172.674
6	264	175.200	179.100	-0.320	-0.061	0.696	-0.095	3.900	1.017	0.261	-1.890
7	264	187.650	189.600	2.381	-0.038	3.024	-0.070	1.950	0.644	0.330	-2.883
8	264	190.500	192.450	3.264	-0.093	4.070	-0.044	1.950	0.808	0.414	3.475
9	264	193.200	195.900	4.264	-0.043	5.294	-0.159	2.700	1.037	0.384	-6.420
10	264	200.700	202.350	6.896	-0.111	7.734	0.111	1.650	0.867	0.526	14.819
11	264	203.100	205.500	6.326	-0.003	7.171	-0.077	2.400	0.848	0.353	-4.994
12	264	206.250	207.450	7.117	0.056	7.947	-0.029	1.200	0.835	0.696	-5.831
13	264	207.750	211.200	5.976	-0.162	7.635	0.033	3.450	1.671	0.484	6.700
14	287	114.900	115.500	0.130	-0.008	-0.048	-0.012	0.600	0.178	0.296	-178.918
15	303	138.300	138.900	-0.280	-0.155	-0.544	-0.080	0.600	0.275	0.458	163.985
16	396	154.200	155.100	-0.027	-0.101	-0.784	0.063	0.900	0.774	0.860	167.817
17	403	130.950	131.550	0.126	-0.163	-0.213	-0.192	0.600	0.341	0.568	-174.956
18	524	115.200	115.800	-0.090	-0.118	0.024	-0.072	0.600	0.122	0.204	21.967
19	556	235.800	237.600	1.032	-0.121	0.221	-0.013	1.800	0.818	0.455	172.397
20	556	238.800	239.850	-0.451	0.015	-1.195	0.126	1.050	0.752	0.716	171.479
21	556	240.450	241.500	-1.296	-0.061	-1.848	0.094	1.050	0.573	0.546	164.325
22	566	147.150	149.100	-0.330	-0.083	-1.176	0.025	1.950	0.853	0.438	172.721
23	672	136.350	136.950	-0.006	-0.066	-0.150	-0.250	0.600	0.233	0.389	-128.082
24	748	180.450	187.650	0.384	0.138	1.934	-0.251	7.200	1.599	0.222	-14.096
25	748	190.350	193.350	1.381	0.112	2.330	0.072	3	0.950	0.317	-2.412
26	748	211.650	214.500	4.718	-1.395	5.728	-0.072	2.850	1.665	0.584	52.668
27	748	220.500	224.100	7.378	0.338	8.846	-0.546	3.600	1.714	0.476	-31.036
28	1053	134.700	135.300	0.037	-0.343	-0.546	-0.201	0.600	0.599	0.999	166.290
29	1246	114.150	115.800	-0.070	-0.031	-0.734	0.044	1.650	0.668	0.405	173.531
30	1372	130.350	131.700	0.016	-0.181	-0.637	-0.191	1.350	0.653	0.484	-179.133
31	1372	134.700	136.350	-1.080	-0.112	-1.581	-0.127	1.650	0.501	0.304	-178.201
32	1447	132.750	133.350	-0.280	-0.093	-0.557	-0.063	0.600	0.278	0.464	173.864
33	1547	124.500	125.400	0.272	-0.072	-0.053	0.023	0.900	0.338	0.376	163.798
34	1705	191.850	192.150	-0.402	-0.155	-0.565	-0.206	0.300	0.171	0.570	-162.582
35	1712	166.200	166.650	2.891	0.358	2.390	0.138	0.450	0.547	1.216	-156.208
36	1712	167.400	168.150	1.794	-0.107	0.854	-0.175	0.750	0.942	1.256	-175.873
37	1712	173.550	174.600	0.266	-0.214	-0.379	-0.131	1.050	0.650	0.619	172.642
38	1712	182.550	183.900	-0.866	0.264	-1.726	-0.042	1.350	0.914	0.677	-160.418
39	1750	167.250	168.300	1.010	0.030	0.450	-0.107	1.050	0.576	0.549	-166.287
40	1760	179.400	180.300	0.261	-0.216	-0.334	-0.146	0.900	0.599	0.666	173.267
41	1765	205.800	206.850	-0.099	-0.043	0.227	0.186	1.050	0.399	0.380	35.121
42	1798	181.200	182.100	0.147	-0.183	-0.006	0.059	0.900	0.286	0.318	122.423
43	1906	296.250	297	-0.094	0.172	-0.184	0.188	0.750	0.091	0.121	169.899
44	1986	278.700	279.450	1.538	-2.749E-4	0.699	0.085	0.750	0.843	1.124	174.207
