 	trajectory	start	end
1	3	82.500	99.450
2	30	83.850	104.700
3	66	84.450	113.550
4	76	81.000	100.950
5	100	81.750	100.050
6	133	81.600	109.500
7	155	91.800	111.150
8	192	80.400	94.200
9	223	81.450	112.500
10	234	80.250	106.350
11	409	81.150	101.250
12	464	80.850	110.400
13	526	80.550	97.350
14	580	80.250	98.250
15	596	87.600	96.750
16	606	80.400	117.900
17	689	80.550	105.900
18	693	81.300	105.750
19	725	81.150	108.300
20	783	83.100	104.700
21	840	89.400	105.450
22	873	104.850	136.950
23	908	81.300	103.500
24	911	84.750	115.650
25	928	87.150	121.350
26	939	88.500	95.400
27	952	90.000	120.000
28	960	84.300	104.700
29	963	82.500	108.150
30	1048	83.250	105.150
31	1098	83.400	107.550
32	1113	95.250	120.900
33	1139	82.500	111.750
34	1150	92.550	105.450
35	1161	84.450	95.100
36	1190	83.100	98.850
37	1212	84.750	110.550
38	1227	81.900	96.750
39	1243	82.350	96.000
40	1253	88.800	143.250
41	1264	83.700	96.750
42	1297	81.300	93.150
43	1302	83.250	100.050
44	1328	93.600	144.450
45	1342	87.450	142.500
46	1360	87.000	112.350
47	1362	85.350	109.650
48	1370	85.350	109.800
49	1395	87.300	129.900
50	1409	90.450	118.500
51	1484	83.100	100.950
52	1485	81.900	99.150
53	1504	84.000	125.700
54	1545	83.250	103.650
55	1551	81.450	100.800
56	1560	85.350	98.250
57	1563	84.450	103.350
58	1575	82.650	94.050
59	1590	89.850	147.900
60	1628	88.800	99.450
61	1641	83.850	96.300
62	1661	90.450	116.850
63	1665	87.900	117.900
64	1752	82.950	109.800
65	1782	83.700	99.900
66	1840	82.500	91.950
67	1911	90.300	116.400
68	2004	109.650	126.900
69	2041	113.250	131.850
70	2073	121.350	148.350
71	2109	166.800	179.100
72	2114	143.250	152.100
