 	no	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory	x_corr	y_corr	Time	SDx	SDy
1	1084	30.604	84.031	237.568	1595.133	0.704	0.614	534	3	0.006	0.107	80.100	0.000	0.000
2	1085	30.670	83.445	237.548	1595.132	0.721	0.554	535	3	-0.043	0.109	80.250	0.035	0.001
3	1086	30.813	80.375	237.522	1595.295	0.696	0.571	536	3	-0.080	0.368	80.400	0.043	0.150
4	1087	30.489	88.960	237.535	1595.179	0.681	0.577	537	3	-0.054	0.157	80.550	0.036	0.124
5	1088	30.640	81.521	237.544	1595.205	0.700	0.570	538	3	-0.042	0.208	80.700	0.031	0.108
6	1089	30.598	87.556	237.499	1595.293	0.688	0.578	539	3	-0.102	0.323	80.850	0.037	0.111
7	1090	30.679	83.889	237.520	1595.285	0.698	0.600	540	3	-0.064	0.315	81.000	0.034	0.108
8	1091	30.564	85.230	237.496	1595.193	0.685	0.575	541	3	-0.091	0.157	81.150	0.034	0.103
9	1092	30.894	87.692	237.508	1595.137	0.663	0.552	542	3	-0.094	0.066	81.300	0.034	0.109
10	1093	31.001	90.364	237.543	1595.037	0.665	0.539	543	3	-0.022	-0.085	81.450	0.035	0.137
11	1094	30.508	83.403	237.575	1595.141	0.691	0.591	544	3	0.048	0.064	81.600	0.046	0.134
12	1095	30.699	85.316	237.562	1595.216	0.704	0.598	545	3	0.019	0.171	81.750	0.048	0.128
13	1096	31.077	88.158	237.546	1595.104	0.656	0.566	546	3	-0.021	-0.016	81.900	0.046	0.132
14	1097	30.797	85.274	237.528	1595.193	0.675	0.594	547	3	-0.032	0.102	82.050	0.045	0.128
15	1098	30.543	88.542	237.547	1595.211	0.702	0.580	548	3	0.005	0.149	82.200	0.045	0.123
16	1099	30.474	85.577	237.483	1595.181	0.724	0.574	549	3	-0.053	0.067	82.350	0.043	0.120
17	1100	31.336	83.191	237.477	1595.096	0.688	0.570	550	3	-0.094	-0.070	82.500	0.044	0.127
18	1101	30.725	87.775	237.523	1595.169	0.712	0.565	551	3	-0.027	0.042	82.650	0.043	0.125
19	1102	30.816	84.336	237.528	1595.174	0.720	0.590	552	3	-0.011	0.070	82.800	0.042	0.122
20	1103	30.220	84.641	237.552	1595.260	0.707	0.602	553	3	0.010	0.189	82.950	0.043	0.120
21	1104	30.415	82.100	237.574	1595.239	0.717	0.594	554	3	0.054	0.152	83.100	0.046	0.120
22	1105	30.814	87.807	237.514	1595.144	0.663	0.588	555	3	-0.053	-0.018	83.250	0.046	0.124
23	1106	31.316	91.278	237.537	1595.065	0.663	0.535	556	3	-0.013	-0.099	83.400	0.046	0.119
24	1107	30.871	89.945	237.539	1595.163	0.675	0.558	557	3	-0.001	0.037	83.550	0.046	0.119
25	1108	30.741	88.057	237.496	1595.245	0.699	0.563	558	3	-0.078	0.190	83.700	0.047	0.118
26	1109	30.951	84.682	237.534	1595.203	0.669	0.588	559	3	-0.030	0.115	83.850	0.044	0.105
27	1110	30.674	82.625	237.506	1595.196	0.688	0.599	560	3	-0.090	0.083	84.000	0.045	0.089
28	1111	30.981	88.584	237.501	1595.147	0.658	0.586	561	3	-0.109	0.022	84.150	0.047	0.087
