 	no	baseline	height	x	y	sigma_x	sigma_y	slice	trajectory	x_corr	y_corr	Time	SDx	SDy
1	39183	28.931	128.577	666.077	1042.311	0.570	0.556	534	117	-0.042	0.130	80.100	0.000	0.000
2	39184	29.223	131.844	666.088	1042.239	0.569	0.525	535	117	-0.043	0.018	80.250	0.001	0.079
3	39185	28.731	127.157	666.118	1042.214	0.593	0.558	536	117	0.010	-0.024	80.400	0.030	0.079
4	39186	28.843	128.908	666.119	1042.284	0.584	0.547	537	117	0.018	0.062	80.550	0.032	0.066
5	39187	28.828	132.835	666.100	1042.174	0.582	0.521	538	117	-0.014	-0.104	80.700	0.028	0.088
6	39188	28.819	134.978	666.106	1042.288	0.586	0.525	539	117	0.005	0.054	80.850	0.026	0.080
7	39189	29.007	122.505	666.083	1042.385	0.595	0.582	540	117	-0.027	0.213	81.000	0.025	0.103
8	39190	28.785	126.406	666.104	1042.392	0.586	0.584	541	117	0.018	0.213	81.150	0.026	0.111
9	39191	28.666	130.761	666.095	1042.374	0.574	0.554	542	117	-0.019	0.182	81.300	0.024	0.110
10	39192	28.642	123.958	666.085	1042.347	0.592	0.601	543	117	-0.019	0.150	81.450	0.023	0.106
11	39193	28.596	126.237	666.097	1042.338	0.586	0.571	544	117	0.021	0.117	81.600	0.024	0.101
12	39194	28.902	128.973	666.094	1042.234	0.594	0.551	545	117	0.006	-0.061	81.750	0.023	0.106
13	39195	28.733	133.101	666.088	1042.267	0.591	0.528	546	117	-0.018	-0.018	81.900	0.022	0.105
14	39196	28.456	133.335	666.106	1042.225	0.584	0.533	547	117	0.030	-0.107	82.050	0.024	0.112
15	39197	28.687	135.575	666.112	1042.299	0.586	0.534	548	117	0.045	0.029	82.200	0.026	0.108
16	39198	28.903	125.868	666.101	1042.302	0.596	0.562	549	117	0.072	-1.000E-4	82.350	0.031	0.105
17	39199	28.766	126.207	666.089	1042.256	0.593	0.557	550	117	0.022	-0.075	82.500	0.031	0.107
18	39200	29.077	128.731	666.114	1042.231	0.574	0.550	551	117	0.054	-0.122	82.650	0.032	0.111
19	39201	28.968	131.112	666.126	1042.311	0.573	0.587	552	117	0.082	0.027	82.800	0.036	0.108
20	39202	28.883	125.734	666.105	1042.385	0.581	0.579	553	117	0.030	0.128	82.950	0.035	0.107
21	39203	28.674	123.787	666.104	1042.336	0.590	0.573	554	117	0.040	0.045	83.100	0.033	0.105
22	39204	28.697	124.795	666.124	1042.360	0.586	0.583	555	117	0.059	0.067	83.250	0.032	0.105
23	39205	28.469	115.250	666.116	1042.423	0.594	0.634	556	117	0.050	0.211	83.400	0.032	0.110
24	39206	28.715	116.494	666.098	1042.437	0.603	0.612	557	117	0.029	0.213	83.550	0.032	0.116
25	39207	28.689	120.861	666.101	1042.460	0.608	0.581	558	117	0.026	0.272	83.700	0.031	0.119
26	39208	28.831	124.845	666.080	1042.358	0.597	0.596	559	117	-0.021	0.102	83.850	0.032	0.119
27	39209	28.885	132.856	666.100	1042.363	0.584	0.536	560	117	-0.003	0.088	84.000	0.031	0.115
28	39210	28.882	128.267	666.108	1042.237	0.574	0.569	561	117	-0.002	-0.096	84.150	0.031	0.116
29	39211	28.615	130.398	666.100	1042.424	0.595	0.559	562	117	-0.013	0.214	84.300	0.031	0.118
30	39212	29.064	125.431	666.113	1042.373	0.589	0.581	563	117	0.013	0.128	84.450	0.029	0.117
