 	trajectory	start	end
1	10	81.600	96.150
2	18	81.900	100.500
3	112	81.900	116.550
4	142	87.300	120.150
5	180	82.950	98.400
6	200	81.600	100.800
7	227	82.950	106.050
8	246	88.200	100.950
9	317	81.300	97.500
10	326	89.850	94.200
11	390	81.900	102.450
12	435	84.000	97.500
13	443	86.550	117.750
14	453	80.400	93.900
15	467	81.450	90.300
16	475	86.250	108.600
17	667	84.150	104.850
18	705	83.550	106.950
19	720	81.150	97.350
20	729	83.850	96.150
21	740	86.250	115.950
22	777	83.700	93.900
23	812	82.200	99.750
24	819	81.300	97.050
25	854	82.650	94.350
26	901	84.300	105.300
27	916	93.300	128.550
28	917	88.050	111.900
29	932	88.500	117.450
30	955	89.550	109.200
31	962	84.150	97.200
32	967	84.600	100.650
33	1018	83.100	94.800
34	1022	92.100	133.350
35	1026	83.700	99.750
36	1028	83.250	91.200
37	1040	84.000	100.500
38	1050	84.450	95.100
39	1071	87.150	119.850
40	1075	83.250	102.900
41	1088	91.650	126.000
42	1094	96.750	115.050
43	1109	80.550	91.500
44	1115	86.550	111.150
45	1150	86.850	122.550
46	1154	83.550	106.350
47	1259	91.200	102.450
48	1300	81.300	98.850
49	1337	82.650	106.200
50	1357	82.650	102.450
51	1363	84.000	104.850
52	1396	82.050	101.250
53	1438	113.850	144.300
54	1458	85.800	96.000
55	1462	119.400	139.800
56	1539	100.500	105.300
57	1547	90.900	104.700
58	1589	96.000	101.400
59	1598	95.250	102.900
60	1691	114.450	129.450
61	1762	122.850	130.500
62	1768	157.950	178.500
63	1808	137.700	150.300
64	1818	131.100	161.850
65	1842	133.200	156.300
66	1873	157.800	176.850
67	1885	172.650	178.950
