 	trajectory	start	end
1	7	82.050	117.750
2	9	82.050	97.350
3	40	90.600	111.600
4	45	86.400	102.150
5	57	80.550	96.600
6	78	84.450	101.700
7	109	82.950	108.150
8	145	82.350	100.500
9	159	143.100	157.350
10	231	89.550	100.200
11	242	84.900	127.650
12	249	81.450	86.700
13	281	82.350	102.600
14	361	82.950	103.950
15	366	82.500	101.550
16	373	81.900	92.400
17	393	91.650	131.550
18	466	90.750	137.100
19	579	83.250	94.350
20	580	89.850	134.700
21	627	82.800	98.250
22	658	84.600	108.150
23	701	106.800	151.650
24	761	98.700	121.650
25	800	84.600	99.300
26	805	83.700	96.900
27	849	85.050	100.050
28	897	82.200	105.450
29	914	89.400	97.800
30	985	82.350	93.000
31	1004	82.950	111.300
32	1043	84.900	112.200
33	1053	84.900	94.200
34	1062	86.550	138.750
35	1069	107.250	123.450
36	1116	81.450	114.300
37	1136	84.600	122.100
38	1202	127.950	139.200
39	1221	84.000	108.750
40	1251	89.400	127.050
41	1266	103.500	118.050
42	1273	86.550	103.650
43	1412	85.500	107.100
44	1446	83.400	96.750
45	1506	87.300	121.950
46	1582	94.200	113.250
47	1656	86.400	99.300
48	1696	91.800	111.750
49	1743	96.450	118.350
50	1803	84.300	102.300
51	1810	85.950	95.400
52	1899	95.550	103.500
53	1956	101.250	127.500
54	2083	117.000	123.600
55	2115	140.400	146.550
56	2136	131.400	152.250
