 	trajectory	start	end
1	53	80.700	113.250
2	69	81.600	96.600
3	127	84.150	117.600
4	161	96.150	167.700
5	195	85.200	104.550
6	212	81.600	89.700
7	297	83.850	94.800
8	371	84.750	114.900
9	410	85.650	89.700
10	430	83.400	94.050
11	436	90.450	111.000
12	486	106.800	114.150
13	497	82.200	124.200
14	498	84.450	100.200
15	609	86.850	115.200
16	616	90.450	120.600
17	650	86.700	120.450
18	708	85.200	98.850
19	727	86.700	115.200
20	729	86.550	111.150
21	762	85.350	99.600
22	780	85.950	115.650
23	801	84.900	100.050
24	851	91.500	110.550
25	883	83.100	94.950
26	887	81.000	103.800
27	893	84.900	105.450
28	894	83.700	95.700
29	916	82.800	107.700
30	988	84.000	93.150
31	993	82.500	93.900
32	1040	91.650	104.100
33	1073	88.650	102.150
34	1082	84.900	108.750
35	1095	85.050	101.700
36	1107	89.550	108.450
37	1138	84.900	101.400
38	1151	84.150	98.700
39	1166	90.000	103.350
40	1211	92.400	110.550
41	1221	96.150	133.500
42	1240	93.750	117.150
43	1248	82.800	98.250
44	1287	111.000	131.250
45	1288	83.100	95.250
46	1300	86.700	110.550
47	1328	85.950	104.550
48	1354	87.300	106.800
49	1379	84.150	112.800
50	1399	92.100	120.450
51	1458	87.600	95.250
52	1474	86.250	115.500
53	1520	85.350	96.000
54	1530	87.900	105.300
55	1542	81.750	111.900
56	1563	81.750	103.500
57	1576	85.500	108.000
58	1630	85.950	112.800
59	1658	88.650	147.300
60	1699	82.500	101.100
61	1725	84.600	98.100
62	1734	81.900	91.800
63	1798	85.800	97.500
64	1858	87.450	100.500
65	1915	96.900	129.300
66	2055	103.050	128.100
67	2056	99.900	115.950
68	2109	107.550	112.500
69	2157	153.600	167.100
