trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)	msd_y	L_um	F_pN_abs	F_pN	
29	161.4	162.3	-0.014	-0.178	-0.117	-0.155	0.9	0.105	0.117	167.08	5.874995141950119e-15	15.09723845263845	4.467726358120899	-4.467726358120899
168	167.55	168.45	-0.146	-0.32	0.235	0.08699999999999999	0.9	0.5580000000000001	0.62	46.941	2.783469033314639e-14	14.25569726654339	1.470794123131494	1.470794123131494
189	185.7	186.45	-0.13	-0.045	0.197	-0.08599999999999999	0.75	0.329	0.439	-7.232	7.022097782911416e-15	15.03172992335274	3.986483027935797	3.986483027935797
245	115.65	117	0.173	-0.064	-0.288	-0.11	1.35	0.463	0.343	-174.27	2.904196941644948e-15	15.31111581700581	6.84738856179328	-6.84738856179328
333	190.95	192	-0.045	0.045	0.176	-0.058	1.05	0.244	0.232	-24.991	8.790859850993387e-15	14.94086512740521	3.439132085168047	3.439132085168047
333	193.95	194.7	0.482	-0.014	0.574	-0.041	0.75	0.097	0.129	-16.467	8.790859850993387e-15	14.94086512740521	3.439132085168047	3.439132085168047
376	197.1	198	0.053	-0.062	0.392	-0.059	0.9	0.339	0.377	0.415	3.069800365443786e-14	14.17303184082816	1.356973274855694	1.356973274855694
392	152.55	153.45	-0.438	-0.201	-1.08	-0.136	0.9	0.645	0.717	174.196	1.001147880766875e-14	14.88345134404393	3.150116702280545	-3.150116702280545
487	130.8	131.55	0.078	-0.011	-0.186	-0.416	0.75	0.484	0.645	-123.094	2.956754181000135e-15	15.30640567218521	6.775967400715103	-6.775967400715103
487	137.4	138.45	-0.403	-1.651	-1.154	-0.328	1.05	1.52	1.448	119.577	2.956754181000135e-15	15.30640567218521	6.775967400715103	-6.775967400715103
511	124.05	124.95	0.125	-0.257	-0.216	-0.365	0.9	0.358	0.397	-162.403	9.900156008771921e-15	14.88853975617533	3.17420927553049	-3.17420927553049
549	134.55	136.05	-0.043	-0.042	-0.5659999999999999	-0.106	1.5	0.527	0.351	-173.031	9.65650551677135e-15	14.89977490208267	3.228409588709461	-3.228409588709461
549	136.35	137.55	-1.038	0.187	-1.626	-1.353	1.2	1.648	1.373	-110.872	9.65650551677135e-15	14.89977490208267	3.228409588709461	-3.228409588709461
666	145.35	146.55	-0.054	0.149	0.318	-0.08	1.2	0.437	0.364	-31.513	2.220152955112886e-14	14.42836459699953	1.761798696415721	1.761798696415721
673	122.1	123	0.003	-0.148	0.269	0.07199999999999999	0.9	0.345	0.383	39.6	2.168613876710286e-14	14.44497100983346	1.794385084441161	1.794385084441161
698	170.7	171.75	-0.101	-0.141	0.272	-0.027	1.05	0.39	0.371	17.103	2.160405507067532e-14	14.44763030446997	1.79968937033263	1.79968937033263
847	160.05	163.65	-0.43	-0.128	-1.851	-0.296	3.6	1.431	0.397	-173.221	2.232909576143205e-14	14.42427804865961	1.753919238621656	-1.753919238621656
1437	138	138.9	-0.189	-0.271	-0.416	-0.233	0.9	0.23	0.256	170.511	6.474407713300726e-15	15.06223239544703	4.200237719111936	-4.200237719111936
1650	160.95	161.85	0.027	-0.073	-0.278	-0.019	0.9	0.31	0.345	170.062	1.392613128411375e-14	14.71894762502902	2.499842255012285	-2.499842255012285
1686	172.8	174.3	0.002	-0.027	0.118	-0.097	1.5	0.136	0.091	-30.767	2.769122050591276e-14	14.25991956996056	1.476999859518303	1.476999859518303
1707	203.1	203.85	-0.045	-0.08699999999999999	0.032	-0.105	0.75	0.079	0.105	-13.243	2.751315382648664e-14	14.26517139029946	1.484775301359891	1.484775301359891
1	180	180.9	-0.485	-0.162	-0.586	-0.209	0.9	0.111	0.124	-154.989	1.646911822686348e-15	15.44484898803599	9.466169376339057	-9.466169376339057
115	141.3	142.05	-0.029	-0.149	0.067	-0.214	0.75	0.116	0.154	-33.94	5.130583081843164e-14	13.64026446211183	0.8672612665223337	0.8672612665223337
151	122.7	123.75	0.051	-0.329	-0.066	-0.232	1.05	0.152	0.145	140.137	1.855874949759998e-15	15.4189324906293	8.852022895638717	-8.852022895638717
176	120.3	121.05	-0.13	-0.44	-0.29	-0.452	0.75	0.16	0.214	-175.543	3.779843491499037e-15	15.23841152940989	5.858994706858964	-5.858994706858964
276	151.8	153.6	0.136	-0.228	0.414	-0.074	1.8	0.318	0.177	28.924	3.987597148916748e-14	13.92469483356838	1.086218197230662	1.086218197230662
307	131.7	132.75	0.082	-0.09	0.45	-0.055	1.05	0.37	0.352	5.489	1.18352184359566e-14	14.80365295977441	2.806028132687377	2.806028132687377
318	125.55	126.9	-0.27	-0.246	-0.43	-0.353	1.35	0.193	0.143	-146.179	1.188141321382294e-15	15.51049059930623	11.34318800136197	-11.34318800136197
379	124.65	125.55	-0.08799999999999999	-0.089	0.08799999999999999	-0.037	0.9	0.183	0.204	16.421	2.092978139828021e-14	14.46963056354844	1.844511437845203	1.844511437845203
470	163.65	164.7	-0.082	-0.149	0.155	-0.065	1.05	0.251	0.239	19.449	1.028829965304673e-14	14.87091592239585	3.091938903111797	3.091938903111797
533	112.5	113.25	0.08500000000000001	-0.135	-0.24	-0.268	0.75	0.351	0.468	-157.7	1.57332253300712e-14	14.65026404136536	2.287490010496905	-2.287490010496905
589	162.15	165.75	0.022	-0.123	0.306	-0.083	3.6	0.286	0.079	8.071	1.073153636922853e-14	14.85117839002416	3.003598539376494	3.003598539376494
608	151.05	153.15	-0.125	0.101	-0.117	0.102	2.1	0.008	0.004	6.525	1.130439230311669e-14	14.82623679681631	2.897359849192297	2.897359849192297
657	135.6	136.5	-0.021	-0.125	0.128	-0.058	0.9	0.163	0.181	24.272	1.721781510358656e-14	14.5963822042631	2.139615818119088	2.139615818119088
663	174.6	175.5	0.032	-0.152	-0.21	-0.287	0.9	0.277	0.308	-150.745	1.160975544553221e-14	14.81318588018263	2.844037108290041	-2.844037108290041
716	125.1	125.85	0.091	0.17	-0.154	0.028	0.75	0.283	0.378	-149.76	1.689562345716387e-14	14.60790070102331	2.16997217410912	-2.16997217410912
736	139.8	141.15	-0.08799999999999999	-0.132	-0.438	-0.006	1.35	0.372	0.276	160.295	9.008027649841831e-15	14.93037491484225	3.383387325252389	-3.383387325252389
964	141	143.4	0.307	-0.09	-1.122	-0.012	2.4	1.431	0.596	176.846	8.357225407471077e-15	14.96220738985186	3.556946472661352	-3.556946472661352
964	148.8	150	-1.282	-0.06	-2.158	0.045	1.2	0.883	0.736	173.218	8.357225407471077e-15	14.96220738985186	3.556946472661352	-3.556946472661352
964	150.45	151.2	-2.381	-0.08799999999999999	-2.901	-0.023	0.75	0.524	0.699	172.843	8.357225407471077e-15	14.96220738985186	3.556946472661352	-3.556946472661352
1532	133.2	134.4	-0.062	-0.0004	0.162	-0.21	1.2	0.307	0.256	-43.155	1.028080059234578e-14	14.87125334129422	3.093483380488587	3.093483380488587
1617	190.65	192.75	0.117	0.341	-2.294	0.211	2.1	2.415	1.15	-176.902	6.973391123217416e-15	15.03439051956547	4.004462800424524	-4.004462800424524
1621	210.6	212.55	-0.114	0.008999999999999999	0.347	-0.195	1.95	0.504	0.258	-23.889	1.705865633755207e-14	14.60206060145294	2.154499035212077	2.154499035212077
1664	258.15	258.9	1.147	0.244	0.622	0.016	0.75	0.572	0.763	-156.498	3.199098574380215e-15	15.28531974401465	6.469641640110062	-6.469641640110062
1678	169.35	170.1	-0.032	-0.436	-0.328	-0.004	0.75	0.524	0.698	124.425	1.557642704884627e-13	11.44914965856291	0.2750626925565178	-0.2750626925565178
1695	158.1	158.85	-0.016	0.033	0.162	-0.115	0.75	0.231	0.308	-39.741	2.034457904632017e-14	14.48895760557836	1.885318682653693	1.885318682653693
1744	181.5	182.55	-0.45	-0.143	-1.163	-0.038	1.05	0.721	0.6870000000000001	171.577	1.97683520997164e-14	14.50821059886649	1.92736466619656	-1.92736466619656
1847	218.1	219.15	-0.242	0.136	-0.4	0.13	1.05	0.159	0.151	-177.863	1.355093670280634e-15	15.48492476281496	10.55052300967833	-10.55052300967833
29	161.4	162.3	-0.014	-0.178	-0.117	-0.155	0.9	0.105	0.117	167.08	5.972232172242123e-15	15.09143306677928	4.421608594302008	-4.421608594302008
161	125.7	126.6	-0.453	0.047	-0.502	0.096	0.9	0.07000000000000001	0.077	135.335	6.180836315020003e-15	15.07914876500469	4.32637284630978	-4.32637284630978
245	115.65	117	0.173	-0.064	-0.288	-0.11	1.35	0.463	0.343	-174.27	2.433503373253157e-15	15.35585276122083	7.586438215183196	-7.586438215183196
333	190.95	192.15	-0.045	0.012	0.285	-0.057	1.2	0.337	0.281	-11.828	8.903144477094179e-15	14.93542532997549	3.410052123610333	3.410052123610333
333	193.95	194.7	0.482	-0.014	0.574	-0.041	0.75	0.097	0.129	-16.467	8.903144477094179e-15	14.93542532997549	3.410052123610333	3.410052123610333
511	124.05	124.8	0.125	-0.328	-0.098	-0.203	0.75	0.255	0.34	150.741	9.685032342073982e-15	14.89845237848698	3.221956613335554	-3.221956613335554
549	134.85	136.05	-0.138	-0.02	-0.5659999999999999	-0.121	1.2	0.44	0.367	-166.821	1.046530671290308e-14	14.86298565635254	3.055975111183678	-3.055975111183678
549	136.5	137.55	-0.947	0.547	-1.626	-1.374	1.05	2.037	1.94	-109.454	1.046530671290308e-14	14.86298565635254	3.055975111183678	-3.055975111183678
666	145.65	146.4	0.051	0.156	0.261	-0.091	0.75	0.323	0.431	-49.601	2.36729971754356e-14	14.38177193258724	1.675077669915978	1.675077669915978
673	122.1	122.85	0.003	-0.114	0.163	-0.056	0.75	0.17	0.227	19.804	2.328150365219485e-14	14.39405429890072	1.697289983134919	1.697289983134919
698	170.7	171.75	-0.101	-0.141	0.272	-0.027	1.05	0.39	0.371	17.103	2.059497661863902e-14	14.4806606846242	1.867632291751131	1.867632291751131
767	144.6	145.5	0.093	-0.376	-1.354	-0.094	0.9	1.474	1.637	168.962	9.198445517721704e-15	14.92127987302147	3.33616163863683	-3.33616163863683
847	158.7	159.45	-0.042	-0.131	-0.288	-0.252	0.75	0.275	0.366	-153.825	2.1038598650173e-14	14.46606097257159	1.837123128545693	-1.837123128545693
847	159.9	160.95	-0.384	-0.127	-0.89	-0.256	1.05	0.522	0.497	-165.707	2.1038598650173e-14	14.46606097257159	1.837123128545693	-1.837123128545693
847	161.1	163.65	-0.85	-0.181	-1.851	-0.3	2.55	1.009	0.396	-173.225	2.1038598650173e-14	14.46606097257159	1.837123128545693	-1.837123128545693
861	107.1	107.85	0.048	-0.057	-0.077	-0.147	0.75	0.154	0.205	-144.14	9.374417737465325e-15	14.91295730390238	3.293820450703927	-3.293820450703927
1340	181.05	181.8	-0.018	0.038	0.194	-0.204	0.75	0.321	0.428	-48.898	1.505470616785198e-14	14.67562243980655	2.362561886318775	2.362561886318775
1621	192.9	194.1	0.032	0.188	0.093	0.202	1.2	0.062	0.052	12.942	2.006061224489796e-14	14.49841730979935	1.905799492890757	1.905799492890757
1658	164.1	165.3	-0.467	0.004	-0.179	-0.019	1.2	0.289	0.241	-4.661	2.64708837383781e-14	14.29617062868424	1.531984455179827	1.531984455179827
1707	203.1	203.85	-0.045	-0.08699999999999999	0.032	-0.105	0.75	0.079	0.105	-13.243	2.878942938139124e-14	14.22780172247758	1.430787640192565	1.430787640192565
1893	298.35	299.4	0.731	-0.294	-0.448	-0.594	1.05	1.217	1.159	-165.731	5.148536955139318e-14	13.63596043407361	0.8644927821597399	-0.8644927821597399
9	111	111.75	0.059	-0.246	-0.277	-0.212	0.75	0.338	0.45	174.127	5.800976013183632e-15	15.10169270908034	4.503607397757043	-4.503607397757043
47	148.65	149.7	-0.067	0.051	0.334	-0.019	1.05	0.408	0.388	-9.944000000000001	1.019951250986603e-14	14.87491853921362	3.110336202878578	3.110336202878578
82	152.1	153.3	0.432	-0.287	0.918	-0.08	1.2	0.529	0.441	23.094	2.24590383995075e-14	14.42012487911061	1.745966723015787	1.745966723015787
82	156	156.75	1.483	-0.159	1.664	-0.24	0.75	0.198	0.264	-23.977	2.24590383995075e-14	14.42012487911061	1.745966723015787	1.745966723015787
82	158.85	160.65	1.941	-0.062	2.779	-0.06	1.8	0.838	0.466	0.167	2.24590383995075e-14	14.42012487911061	1.745966723015787	1.745966723015787
88	122.85	123.6	1.099	-0.096	0.5580000000000001	-0.161	0.75	0.545	0.726	-173.087	2.344633960440214e-15	15.36488947171589	7.750315673164497	-7.750315673164497
228	126	127.2	-0.048	-0.15	-0.491	-0.158	1.2	0.443	0.369	-178.94	8.069824055065816e-15	14.97666193067128	3.640261939713077	-3.640261939713077
228	149.4	150.3	-0.402	-0.227	-0.9330000000000001	-0.202	0.9	0.532	0.591	177.343	8.069824055065816e-15	14.97666193067128	3.640261939713077	-3.640261939713077
228	154.35	155.4	-1.669	-0.182	-2.058	-0.059	1.05	0.408	0.388	162.508	8.069824055065816e-15	14.97666193067128	3.640261939713077	-3.640261939713077
262	166.95	167.85	0.045	-0.096	0.314	-0.221	0.9	0.297	0.33	-25.052	9.291291776608965e-15	14.91687902630443	3.313669731317406	3.313669731317406
262	168.3	169.2	0.304	-0.195	0.538	-0.058	0.9	0.271	0.301	30.452	9.291291776608965e-15	14.91687902630443	3.313669731317406	3.313669731317406
399	157.2	157.95	0.074	-0.132	0.232	-0.146	0.75	0.159	0.212	-4.747	9.91856539051721e-15	14.88769637559598	3.170196680276084	3.170196680276084
403	156	157.5	-0.246	-0.194	-0.06900000000000001	-0.115	1.5	0.194	0.129	23.857	2.441121064367473e-14	14.3588249675003	1.634760217285346	1.634760217285346
480	141	143.1	-0.053	-0.249	-0.501	-0.096	2.1	0.473	0.225	161.175	9.126140787493527e-15	14.9247223098093	3.353917678316285	-3.353917678316285
487	110.55	111.75	0.101	-0.186	-0.112	-0.125	1.2	0.221	0.184	164.039	9.821603097660609e-15	14.89214707706634	3.191459617709937	-3.191459617709937
587	123.3	124.2	0.018	-0.018	-0.261	-0.052	0.9	0.28	0.312	-173.143	2.689308605988495e-14	14.28355928038806	1.512502831546615	-1.512502831546615
612	121.35	122.1	-0.04	-0.137	-0.146	-0.08799999999999999	0.75	0.117	0.155	154.927	4.635172967863878e-15	15.17646207562587	5.177545455498589	-5.177545455498589
635	209.55	211.05	-0.488	0.192	-0.728	0.106	1.5	0.255	0.17	-160.299	4.389845401716374e-15	15.19350411030509	5.35253064523665	-5.35253064523665
641	124.05	124.8	0.067	-0.131	-0.211	-0.475	0.75	0.443	0.59	-128.983	1.101236302840565e-14	14.83887446838817	2.95046095556357	-2.95046095556357
647	111.9	112.65	-0.083	-0.06900000000000001	-0.158	0.077	0.75	0.165	0.22	117.141	1.982416208085449e-14	14.50633591624999	1.923207646107694	-1.923207646107694
693	179.85	181.35	-0.022	-0.216	0.266	-0.004	1.5	0.357	0.238	36.269	8.751124565992896e-15	14.94279846989044	3.449558255130631	3.449558255130631
761	161.1	162	-0.01	-0.48	-0.789	1.193	0.9	1.846	2.051	114.972	1.337520943558675e-14	14.74066737687955	2.573302641740284	-2.573302641740284
762	121.05	121.95	0.101	-0.211	-0.234	0.035	0.9	0.415	0.461	143.652	2.083820313942751e-14	14.47264046551473	1.850776847837639	-1.850776847837639
